time,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,20.5,13.5,16.5,3.5,6.5,7.5,6.5,0.5,11.5,12.5,7.5,-5.5,36.5,32.5,39.5,36.5,36.5,38.5,25.5,19.5,29.5,22.5,20.5,20.5,29.5,32.5,35.5,34.5,25.5,33.5,30.5,28.5,35.5,28.5,36.5,26.5,16.5,33.5,23.5,31.5,20.5,29.5,18.5,17.5,23.5,26.5,14.5,14.5,27.5,34.5,15.5,32.5,16.5,23.5,22.5,11.5,15.5,9.5,11.5,27.5,23.5,27.5,16.5,18.5,19.5,19.5,16.5,6.5,13.5,19.5,12.5,10.5,9.5,15.5,10.5,13.5,11.5,14.5,13.5,10.5,13.5,12.5,2.5,5.5,,,25.5,-9.5,,,13.5,16.5,424.5,524.5
20,7.0,8.0,8.0,7.0,8.0,7.0,3.0,3.0,3.0,4.0,0.0,8.0,19.0,20.0,23.0,15.0,19.0,16.0,16.0,17.0,9.0,11.0,17.0,12.0,20.0,22.0,23.0,27.0,15.0,28.0,28.0,24.0,23.0,21.0,16.0,16.0,11.0,18.0,18.0,21.0,15.0,25.0,17.0,16.0,12.0,8.0,5.0,12.0,20.0,19.0,17.0,13.0,20.0,21.0,9.0,10.0,8.0,7.0,10.0,17.0,15.0,25.0,20.0,13.0,17.0,13.0,12.0,16.0,19.0,17.0,10.0,9.0,18.0,10.0,12.0,12.0,12.0,14.0,14.0,14.0,6.0,9.0,4.0,1.0,,,18.0,-11.0,,,16.0,16.0,298.0,345.0
40,15.5,12.5,12.5,6.5,12.5,3.5,1.5,3.5,2.5,2.5,1.5,5.5,25.5,22.5,15.5,12.5,13.5,13.5,15.5,11.5,8.5,11.5,13.5,13.5,23.5,22.5,19.5,14.5,18.5,17.5,16.5,17.5,21.5,16.5,19.5,19.5,19.5,17.5,18.5,14.5,14.5,13.5,5.5,10.5,11.5,9.5,5.5,4.5,20.5,19.5,19.5,17.5,14.5,18.5,5.5,5.5,14.5,9.5,5.5,16.5,21.5,20.5,19.5,13.5,14.5,18.5,16.5,13.5,18.5,10.5,13.5,16.5,17.5,11.5,11.5,12.5,10.5,11.5,12.5,9.5,7.5,4.5,5.5,9.5,,,18.5,-1.5,,,19.5,10.5,394.5,453.5
60,10.0,11.0,4.0,1.0,3.0,3.0,0.0,1.0,0.0,-1.0,3.0,5.0,19.0,17.0,15.0,12.0,10.0,9.0,5.0,5.0,2.0,3.0,13.0,5.0,16.0,13.0,23.0,6.0,9.0,13.0,14.0,10.0,10.0,14.0,13.0,16.0,11.0,14.0,12.0,8.0,5.0,19.0,-1.0,6.0,5.0,-1.0,-3.0,1.0,11.0,13.0,8.0,3.0,12.0,10.0,11.0,6.0,14.0,0.0,-6.0,8.0,17.0,14.0,13.0,4.0,9.0,14.0,9.0,7.0,9.0,8.0,8.0,6.0,15.0,9.0,8.0,12.0,14.0,6.0,2.0,2.0,-3.0,0.0,4.0,1.0,,,9.0,-2.0,,,18.5,20.5,527.5,611.5
80,18.5,15.5,11.5,11.5,4.5,4.5,2.5,10.5,4.5,9.5,3.5,7.5,22.5,23.5,21.5,17.5,12.5,17.5,17.5,10.5,11.5,11.5,9.5,9.5,29.5,21.5,19.5,20.5,17.5,16.5,21.5,16.5,16.5,20.5,22.5,20.5,13.5,23.5,14.5,16.5,15.5,18.5,10.5,12.5,7.5,2.5,7.5,8.5,20.5,23.5,14.5,12.5,18.5,15.5,13.5,5.5,8.5,5.5,5.5,11.5,19.5,22.5,24.5,11.5,12.5,15.5,13.5,16.5,16.5,12.5,13.5,11.5,15.5,16.5,11.5,18.5,13.5,12.5,12.5,2.5,6.5,4.5,3.5,5.5,,,15.5,4.5,,,31.5,20.5,681.5,773.5
100,18.0,16.0,18.0,12.0,1.0,4.0,8.0,2.0,7.0,5.0,9.0,5.0,24.0,18.0,15.0,19.0,16.0,19.0,10.0,10.0,10.0,15.0,10.0,10.0,22.0,26.0,20.0,16.0,21.0,17.0,17.0,19.0,22.0,10.0,16.0,22.0,13.0,25.0,18.0,12.0,18.0,16.0,6.0,6.0,8.0,3.0,10.0,8.0,19.0,22.0,13.0,13.0,6.0,15.0,14.0,4.0,8.0,7.0,7.0,16.0,23.0,15.0,20.0,12.0,11.0,15.0,9.0,13.0,15.0,15.0,11.0,10.0,21.0,11.0,12.0,14.0,16.0,11.0,17.0,9.0,7.0,8.0,7.0,4.0,,,19.0,4.0,,,23.0,22.0,800.0,930.0
120,27.0,24.0,12.0,16.0,15.0,18.0,11.0,13.0,7.0,11.0,14.0,10.0,29.0,21.0,17.0,16.0,22.0,21.0,16.0,14.0,12.0,15.0,16.0,18.0,26.0,28.0,23.0,18.0,25.0,24.0,17.0,17.0,23.0,21.0,21.0,28.0,23.0,29.0,21.0,25.0,23.0,34.0,10.0,15.0,12.0,11.0,12.0,17.0,31.0,27.0,18.0,16.0,16.0,20.0,14.0,8.0,10.0,6.0,9.0,20.0,24.0,21.0,25.0,17.0,19.0,20.0,19.0,16.0,14.0,24.0,18.0,21.0,20.0,15.0,17.0,21.0,17.0,12.0,11.0,8.0,9.0,7.0,3.0,13.0,,,27.0,2.0,,,30.5,25.5,943.5,1097.5
140,31.0,29.0,25.0,21.0,19.0,19.0,11.0,12.0,12.0,9.0,14.0,14.0,35.0,29.0,28.0,26.0,32.0,30.0,18.0,15.0,15.0,16.0,17.0,17.0,26.0,26.0,23.0,27.0,28.0,34.0,26.0,20.0,29.0,28.0,27.0,38.0,24.0,32.0,25.0,32.0,37.0,59.0,19.0,18.0,14.0,13.0,13.0,16.0,30.0,24.0,22.0,21.0,26.0,32.0,24.0,9.0,18.0,19.0,12.0,26.0,26.0,27.0,20.0,18.0,24.0,36.0,14.0,17.0,24.0,21.0,16.0,25.0,24.0,22.0,14.0,21.0,17.0,26.0,11.0,12.0,17.0,9.0,9.0,13.0,,,24.0,11.0,,,35.5,33.5,1164.5,1352.5
160,40.5,34.5,36.5,37.5,40.5,37.5,27.5,25.5,24.5,26.5,25.5,29.5,48.5,38.5,36.5,40.5,60.5,85.5,28.5,33.5,25.5,26.5,32.5,36.5,43.5,38.5,41.5,48.5,55.5,74.5,40.5,40.5,33.5,39.5,56.5,93.5,45.5,40.5,39.5,47.5,77.5,143.5,29.5,21.5,25.5,23.5,35.5,44.5,43.5,46.5,33.5,32.5,35.5,57.5,28.5,27.5,24.5,20.5,34.5,50.5,42.5,43.5,34.5,34.5,33.5,61.5,30.5,25.5,33.5,32.5,38.5,40.5,37.5,39.5,28.5,40.5,29.5,32.5,22.5,17.5,20.5,19.5,19.5,26.5,,,38.5,16.5,,,49.0,46.0,1450.0,1710.0
180,62.5,63.5,81.5,265.5,535.5,583.5,41.5,37.5,42.5,49.5,100.5,124.5,73.5,85.5,157.5,426.5,774.5,831.5,44.5,42.5,48.5,84.5,188.5,274.5,56.5,74.5,99.5,208.5,377.5,451.5,50.5,73.5,97.5,232.5,496.5,675.5,65.5,79.5,114.5,261.5,359.5,605.5,41.5,50.5,45.5,52.5,123.5,204.5,59.5,56.5,55.5,75.5,98.5,263.5,45.5,36.5,47.5,63.5,148.5,212.5,59.5,66.5,77.5,107.5,131.5,358.5,41.5,37.5,47.5,64.5,134.5,206.5,52.5,51.5,54.5,78.5,118.5,174.5,33.5,30.5,33.5,27.5,40.5,43.5,,,52.5,35.5,,,72.5,78.5,1940.5,2275.5
