ara,ohc14,E20,E38
0.0,0.0,0.043685239661419344,0.013607919805842108
0.0,0.078,0.07940476680016297,0.019485702914590668
0.0,0.313,0.0832521672607634,0.026231600433194942
0.0,1.25,0.062325020620258326,0.02539601560113715
0.0,5.0,0.05704922728299657,0.02654689268212145
0.0,20.0,0.05678094323778504,0.029403486695369206
0.051,0.0,0.049940496984303924,0.01291110502556348
0.051,0.078,0.09699330837826825,0.019703947589035365
0.051,0.313,0.11164932176791996,0.030526007135010677
0.051,1.25,0.08043035714570929,0.031331970697592436
0.051,5.0,0.07465375760835133,0.03304421937888022
0.051,20.0,0.07502893157075351,0.04034665442394659
0.203,0.0,0.07746618961358653,0.014453287419359728
0.203,0.078,0.34977508760621306,0.041526813768623154
0.203,0.313,0.5392424082738104,0.08820853928015274
0.203,1.25,0.42637120454977767,0.10314593680888014
0.203,5.0,0.40017659048262894,0.11543824483197426
0.203,20.0,0.42402274367501713,0.14849209194239468
0.8125,0.0,0.14825385318119702,0.018755492754632976
0.8125,0.078,1.0578359889609363,0.18321557607840952
0.8125,0.313,1.6943164025014958,0.43268200448739347
0.8125,1.25,1.5356352893974436,0.49080413461823585
0.8125,5.0,1.5513376696116286,0.5468148039087368
0.8125,20.0,1.515124289124188,0.6141705185389064
3.25,0.0,0.32486055830640653,0.0273574845148801
3.25,0.078,1.2596673495591602,0.3701284809251731
3.25,0.313,2.3323828737401073,0.8362321723329046
3.25,1.25,2.2406959552659007,0.9731739937832219
3.25,5.0,2.2472528493303985,1.0428323209028292
3.25,20.0,2.2437301638200897,1.1383972769460196
13.0,0.0,0.4578759608701641,0.03452002451668271
13.0,0.078,1.6655192547061144,0.48366440761988627
13.0,0.313,2.4416574611067823,0.9540378671229621
13.0,1.25,2.329069525407523,0.9723581707098432
13.0,5.0,2.2792235153390905,1.1435801805645671
13.0,20.0,2.2476247766424624,1.2503376305888656
