ara,ohc14,E20,E38
0.0,0.0,0.0330399083764255,0.011461464030859153
0.0,0.15625,0.04802881171205797,0.016719670533798962
0.0,0.3125,0.04980672167021793,0.01902891580159849
0.0,0.625,0.040095730859537396,0.01812981234185007
0.0,1.25,0.033241716055860446,0.015710888655234977
0.0,2.5,0.027296534183604095,0.017544232065398395
0.0,5.0,0.03167887025826786,0.018375182679604134
0.0,10.0,0.03229956498620212,0.018241091234466066
0.0,20.0,0.037194169807458266,0.017918073562115912
0.203125,0.0,0.04002912451549603,0.010961606664286515
0.203125,0.15625,0.07174116900601915,0.018430857661178628
0.203125,0.3125,0.07209503670273334,0.021498809509395842
0.203125,0.625,0.05893770226114251,0.021721841986280178
0.203125,1.25,0.051275560938443425,0.018730448347768852
0.203125,2.5,0.04388425411983878,0.020735171244863043
0.203125,5.0,0.04130453469666315,0.02137748300991375
0.203125,10.0,0.047043375127319535,0.021331276179972592
0.203125,20.0,0.058001383394756856,0.021611905300022088
0.40625,0.0,0.047563815011445194,0.011267387025893794
0.40625,0.15625,0.1299194725357903,0.022984909345230016
0.40625,0.3125,0.15635832076380624,0.02975288160648786
0.40625,0.625,0.1404794920280876,0.031887962723551634
0.40625,1.25,0.11740468655862349,0.027805148667643432
0.40625,2.5,0.09202855742906742,0.030791059088403624
0.40625,5.0,0.09214686831729176,0.031640096553639675
0.40625,10.0,0.11391841915543365,0.03251440255154677
0.40625,20.0,0.1473679917243197,0.03668862163796034
0.8125,0.0,0.06456506023710534,0.011890157306293406
0.8125,0.15625,0.32811576081918126,0.05347753267454086
0.8125,0.3125,0.4618438013869453,0.07938421683817026
0.8125,0.625,0.44964841498098446,0.08861360060534121
0.8125,1.25,0.3579755211715087,0.07889892922921035
0.8125,2.5,0.3197890047029194,0.08649390938113055
0.8125,5.0,0.3169909949932942,0.08830936314655832
0.8125,10.0,0.37175725185126896,0.08437707432946065
0.8125,20.0,0.4176022976168792,0.10071468767803882
1.625,0.0,0.09869478440668078,0.013055038071144985
1.625,0.15625,0.6828951936083499,0.12606161855367443
1.625,0.3125,1.0793786388500113,0.20217008326425728
1.625,0.625,1.0457939705483916,0.22573599333856073
1.625,1.25,0.9265475435402483,0.20543533165784836
1.625,2.5,0.8506068071279125,0.22054747335355504
1.625,5.0,0.7989678703308054,0.22901192888255967
1.625,10.0,0.9068714275582421,0.2044367177697194
1.625,20.0,0.9493010734725548,0.23648647003794118
3.25,0.0,0.15850511052252783,0.015988457853448056
3.25,0.15625,0.977817540663866,0.2357338261250173
3.25,0.3125,1.6545223192200145,0.37309085341304987
3.25,0.625,1.6358294889372471,0.39136633813411065
3.25,1.25,1.4503108387713621,0.35288588404464505
3.25,2.5,1.3792301852632778,0.3822471317832092
3.25,5.0,1.3611460467377046,0.38730367469240107
3.25,10.0,1.3957853198600074,0.3901829647315865
3.25,20.0,1.4957866603162242,0.39259681441766825
6.5,0.0,0.22565758857004303,0.018394166406081453
6.5,0.15625,1.4271117666120314,0.29500986713719723
6.5,0.3125,1.896687520273956,0.46116461165505673
6.5,0.625,1.9067372517625913,0.5038808651180877
6.5,1.25,1.71452968715694,0.45525635441322315
6.5,2.5,1.6612180958149696,0.4736984278918701
6.5,5.0,1.6338974685278636,0.46880984900378725
6.5,10.0,1.6685076692959961,0.5012358136142708
6.5,20.0,1.7675901173181905,0.4829607117777524
13.0,0.0,0.30053306881643216,0.022211600081446715
13.0,0.15625,1.7800763905360728,0.41365955336162413
13.0,0.3125,2.1858907724996834,0.524805584192909
13.0,0.625,2.2188530007019964,0.6158472075119006
13.0,1.25,2.0556948632119583,0.5334538154358927
13.0,2.5,1.9628529385133637,0.5551612697657999
13.0,5.0,1.9222166890686059,0.5966332461134842
13.0,10.0,1.9495543257483081,0.6172876562343029
13.0,20.0,1.9526247655448352,0.6373425896213327
26.0,0.0,0.3320102710104166,0.025529330110977338
26.0,0.15625,1.6018045227875715,0.4282612062296964
26.0,0.3125,1.889211318547278,0.5081802410993959
26.0,0.625,1.9872633480660162,0.7221595933780333
26.0,1.25,1.8009825096366268,0.5688409751779889
26.0,2.5,1.984087119381847,0.5876221218570371
26.0,5.0,2.052230692450198,0.4876913062106054
26.0,10.0,2.037604820203141,0.7535264006657363
26.0,20.0,2.5684701273823056,0.859154396652732
