ara,ohc14,E20,E38
0.0,0.0,0.042224095586007135,0.014650149543811598
0.0,0.01953125,0.03854866199294225,0.014496758888838257
0.0,0.078125,0.0439632037494372,0.015971969442965098
0.0,0.3125,0.06560623784465071,0.022290127833677856
0.0,1.25,0.05311085194688066,0.026458909295261752
0.0,5.0,0.049746216230335684,0.028096918775120806
0.025390625,0.0,0.0381531081058341,0.014411723727193739
0.025390625,0.01953125,0.036181121080430735,0.01386511064981394
0.025390625,0.078125,0.038369021019706503,0.015115051690712766
0.025390625,0.3125,0.05922754821043732,0.01953334301824062
0.025390625,1.25,0.053224713851902285,0.025071937766583802
0.025390625,5.0,0.04405318626927568,0.026203674713393597
0.1015625,0.0,0.054252420725276605,0.012760398728923972
0.1015625,0.01953125,0.04851982974277992,0.012267295312225373
0.1015625,0.078125,0.05599205766520291,0.01316522675439891
0.1015625,0.3125,0.11107295156966221,0.02289509338897573
0.1015625,1.25,0.1017649329521708,0.031645356097100674
0.1015625,5.0,0.09037425357497907,0.038857628969019085
0.40625,0.0,0.09780144877281688,0.016430097530064528
0.40625,0.01953125,0.08773123085409958,0.013878577132100799
0.40625,0.078125,0.13039339190331684,0.02178437373853565
0.40625,0.3125,0.7277528697335283,0.11522697307834905
0.40625,1.25,0.8139364715660179,0.17889960261000779
0.40625,5.0,0.7314311677808693,0.21335233517694052
1.625,0.0,0.23635292190653662,0.020961131654633303
1.625,0.01953125,0.22143858078561668,0.019731791534062317
1.625,0.078125,0.35482293084922395,0.05321942745733099
1.625,0.3125,2.1646797791678556,0.4603271368004756
1.625,1.25,2.2435649342211588,0.6163361865002678
1.625,5.0,2.146260043631281,0.7058109584708151
6.5,0.0,0.45516526512505096,0.035001840525514916
6.5,0.01953125,0.4589107554687417,0.034329375996143496
6.5,0.078125,0.6940487400181099,0.09881254598025209
6.5,0.3125,2.6854130676444243,0.758840495672353
6.5,1.25,2.710622127183196,0.9537756113962275
6.5,5.0,2.5069193105603302,1.0955073769914156
