ara,ohc14,E38
0,0,0.017727888
0,0.04,0.017449322
0,0.06,0.018676864
0,0.07,0.01861367
0,0.09,0.018725697
0,0.1,0.019198978
0,1.2,0.030458844
0,10,0.032626486
0.026,0,0.016956859
0.026,0.04,0.017144762
0.026,0.06,0.016453998
0.026,0.07,0.015405943
0.026,0.09,0.01710476
0.026,0.1,0.018013472
0.026,1.2,0.030092396
0.026,10,0.035097543
0.195,0,0.016348162
0.195,0.04,0.016444104
0.195,0.06,0.019136378
0.195,0.07,0.01935698
0.195,0.09,0.023373453
0.195,0.1,0.025375971
0.195,1.2,0.089467127
0.195,10,0.103406785
13,0,0.037204031
13,0.04,0.051265094
13,0.06,0.084285869
13,0.07,0.103213812
13,0.09,0.160939182
13,0.1,0.17871994
13,1.2,0.991144971
13,10,1.163372022
15.86,0,0.03324831
15.86,0.04,0.04848081
15.86,0.06,0.075849742
15.86,0.07,0.098625683
15.86,0.09,0.116739813
15.86,0.1,0.15384406
15.86,1.2,0.998525336
15.86,10,0.896246938
21.06,0,0.033050721
21.06,0.04,0.054615587
21.06,0.06,0.084308009
21.06,0.07,0.095887286
21.06,0.09,0.168230134
21.06,0.1,0.239122941
21.06,1.2,1.16620417
21.06,10,1.170484573
33.8,0,0.036238623
33.8,0.04,0.049327247
33.8,0.06,0.081930828
33.8,0.07,0.099495668
33.8,0.09,0.169369647
33.8,0.1,0.181933323
33.8,1.2,1.093552628
33.8,10,0.889757132
208,0,0.026555342
208,0.04,0.040685188
208,0.06,0.058717662
208,0.07,0.072108972
208,0.09,0.095761778
208,0.1,0.136383947
208,1.2,0.753529713
208,10,0.784162442
