time,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pCymRC-rJ/Cuma_0,pCymRC-rJ/Cuma_1,pCymRC-rJ/Cuma_2,pCymRC-rJ/Cuma_3,pCymRC-rJ/Cuma_4,pCymRC-rJ/Cuma_5,pCymRC-rJ/Cuma_6,pCymRC-rJ/Cuma_7,pCymRC-rJ/Cuma_8,pCymRC-rJ/Cuma_9,pCymRC-rJ/Cuma_10,pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,cymRC-pCymRC-rJ/Cuma.1_0,cymRC-pCymRC-rJ/Cuma.1_1,cymRC-pCymRC-rJ/Cuma.1_2,cymRC-pCymRC-rJ/Cuma.1_3,cymRC-pCymRC-rJ/Cuma.1_4,cymRC-pCymRC-rJ/Cuma.1_5,cymRC-pCymRC-rJ/Cuma.1_6,cymRC-pCymRC-rJ/Cuma.1_7,cymRC-pCymRC-rJ/Cuma.1_8,cymRC-pCymRC-rJ/Cuma.1_9,cymRC-pCymRC-rJ/Cuma.1_10,cymRC-pCymRC-rJ/Cuma.1_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
200,480.0,443.0,463.0,404.0,411.0,425.0,450.0,572.0,3668.0,19647.0,30346.0,33338.0,333.0,469.0,482.0,463.0,431.0,456.0,520.0,409.0,4383.0,24632.0,30410.0,37625.0,442.0,433.0,445.0,414.0,390.0,397.0,430.0,539.0,1690.0,12861.0,29375.0,34893.0,325.0,274.0,347.0,318.0,304.0,312.0,335.0,404.0,970.0,3180.0,4584.0,5822.0,349.0,333.0,337.0,316.0,295.0,390.0,712.0,1877.0,6635.0,15243.0,18632.0,20044.0,412.0,368.0,387.0,354.0,451.0,1321.0,5573.0,8690.0,9966.0,10578.0,11051.0,11480.0,341.0,316.0,308.0,280.0,306.0,293.0,288.0,380.0,1245.0,3543.0,5190.0,7649.0,,,313.0,298.0,,,460.0,512.0,9058.0,9162.0
220,610.0,606.0,600.0,567.0,554.0,578.0,630.0,950.0,10592.0,38617.0,50578.0,53135.0,576.0,725.0,780.0,732.0,706.0,765.0,887.0,1044.0,18133.0,50924.0,54127.0,60104.0,619.0,602.0,630.0,605.0,570.0,571.0,701.0,1023.0,5352.0,34773.0,54587.0,57712.0,459.0,357.0,437.0,420.0,394.0,372.0,440.0,560.0,1521.0,5049.0,7203.0,8956.0,440.0,452.0,426.0,365.0,389.0,483.0,840.0,2339.0,8936.0,21590.0,26690.0,28574.0,547.0,535.0,529.0,524.0,712.0,2138.0,9242.0,14920.0,17115.0,18007.0,18809.0,19424.0,430.0,418.0,409.0,399.0,394.0,389.0,412.0,520.0,2001.0,5723.0,8192.0,11680.0,,,413.0,394.0,,,596.0,716.0,12600.0,12616.0
240,844.5,814.5,812.5,781.5,757.5,778.5,865.5,1328.5,18837.5,60877.5,74073.5,74807.5,845.5,1025.5,1061.5,1027.5,981.5,1062.5,1288.5,2144.5,40171.5,82054.5,83023.5,87464.5,858.5,836.5,845.5,843.5,807.5,832.5,924.5,1462.5,9460.5,64480.5,84043.5,84456.5,586.5,508.5,585.5,570.5,536.5,548.5,602.5,796.5,2359.5,7765.5,10801.5,13275.5,599.5,571.5,562.5,512.5,558.5,639.5,1064.5,3280.5,12961.5,29724.5,36283.5,38954.5,719.5,683.5,737.5,693.5,930.5,2723.5,11681.5,20500.5,24184.5,25706.5,27203.5,28412.5,566.5,543.5,542.5,538.5,551.5,527.5,557.5,762.5,3036.5,8577.5,12142.5,17120.5,,,563.5,513.5,,,809.0,945.0,17265.0,17068.0
260,1042.0,1021.0,997.0,992.0,954.0,995.0,1094.0,1659.0,25645.0,87665.0,101397.0,99555.0,1104.0,1329.0,1352.0,1328.0,1302.0,1390.0,1650.0,3156.0,65465.0,117272.0,114982.0,118351.0,1098.0,1071.0,1107.0,1054.0,1022.0,1096.0,1184.0,1895.0,13040.0,97661.0,116829.0,115015.0,774.0,661.0,768.0,722.0,725.0,727.0,788.0,1116.0,3507.0,11503.0,15890.0,19207.0,781.0,764.0,757.0,696.0,698.0,829.0,1435.0,4997.0,19590.0,42866.0,50960.0,54219.0,938.0,921.0,938.0,905.0,1165.0,3206.0,13453.0,24932.0,30199.0,32541.0,34622.0,36223.0,762.0,699.0,713.0,712.0,749.0,723.0,756.0,1076.0,4488.0,12486.0,17762.0,24354.0,,,690.0,679.0,,,1003.5,1171.5,22693.5,22043.5
280,1254.0,1201.0,1210.0,1198.0,1183.0,1172.0,1303.0,2095.0,33746.0,112515.0,135212.0,130111.0,1469.0,1689.0,1712.0,1672.0,1643.0,1765.0,2115.0,4008.0,89433.0,155391.0,150293.0,152364.0,1330.0,1327.0,1320.0,1279.0,1270.0,1314.0,1475.0,2392.0,16998.0,135548.0,152790.0,147913.0,920.0,826.0,908.0,876.0,842.0,881.0,949.0,1379.0,4343.0,13903.0,19876.0,23937.0,925.0,879.0,892.0,843.0,862.0,982.0,1757.0,6574.0,29821.0,62306.0,71511.0,75275.0,1144.0,1092.0,1085.0,1065.0,1399.0,3658.0,15657.0,29645.0,36832.0,40290.0,42609.0,45063.0,908.0,872.0,890.0,869.0,888.0,847.0,921.0,1332.0,5402.0,14884.0,21541.0,31023.0,,,857.0,835.0,,,1207.5,1399.5,25977.5,24746.5
300,1423.5,1370.5,1383.5,1356.5,1330.5,1364.5,1523.5,2426.5,39560.5,134927.5,165953.5,164960.5,1717.5,1985.5,2061.5,2014.5,2005.5,2138.5,2618.5,5558.5,117814.5,198758.5,187139.5,187005.5,1586.5,1556.5,1563.5,1547.5,1549.5,1593.5,1787.5,2961.5,21844.5,176658.5,189368.5,182144.5,1046.5,936.5,1049.5,1004.5,1000.5,1013.5,1104.5,1617.5,4938.5,15282.5,22003.5,26340.5,1068.5,1012.5,1014.5,993.5,977.5,1119.5,1962.5,7853.5,38470.5,85523.5,99563.5,104316.5,1301.5,1242.5,1303.5,1246.5,1657.5,4294.5,18080.5,35916.5,46066.5,50934.5,54596.5,57161.5,1047.5,995.5,1017.5,1010.5,1016.5,980.5,1058.5,1524.5,6017.5,16314.5,23707.5,34268.5,,,1014.5,957.5,,,1356.5,1590.5,28938.5,27114.5
320,1585.5,1560.5,1566.5,1525.5,1495.5,1528.5,1697.5,2712.5,44065.5,151624.5,194584.5,197253.5,1962.5,2286.5,2271.5,2285.5,2323.5,2440.5,2979.5,7040.5,143772.5,243250.5,224904.5,224792.5,1820.5,1800.5,1793.5,1780.5,1746.5,1792.5,2058.5,3354.5,25707.5,225489.5,227863.5,216551.5,1195.5,1097.5,1193.5,1147.5,1159.5,1149.5,1275.5,1821.5,5417.5,16332.5,23483.5,27954.5,1199.5,1149.5,1174.5,1104.5,1128.5,1272.5,2214.5,8752.5,44702.5,102816.5,125501.5,133559.5,1479.5,1412.5,1441.5,1438.5,1827.5,4789.5,20116.5,41388.5,54719.5,61146.5,65986.5,69973.5,1191.5,1144.5,1151.5,1159.5,1155.5,1139.5,1207.5,1721.5,6554.5,17450.5,25019.5,36378.5,,,1108.5,1106.5,,,1529.5,1764.5,32552.5,29940.5
340,1795.0,1753.0,1716.0,1755.0,1695.0,1734.0,1911.0,2920.0,47612.0,164910.0,215817.0,224598.0,2220.0,2556.0,2542.0,2539.0,2619.0,2738.0,3343.0,8361.0,164918.0,258008.0,258008.0,258008.0,2051.0,1995.0,1998.0,1970.0,1987.0,2046.0,2308.0,3785.0,28845.0,258008.0,258008.0,254241.0,1381.0,1232.0,1331.0,1319.0,1295.0,1335.0,1415.0,2032.0,5850.0,17300.0,24797.0,29503.0,1362.0,1301.0,1329.0,1292.0,1308.0,1439.0,2441.0,9634.0,49412.0,115305.0,144388.0,157130.0,1662.0,1600.0,1621.0,1595.0,2050.0,5098.0,21209.0,45249.0,61070.0,69020.0,75676.0,81163.0,1391.0,1302.0,1316.0,1297.0,1307.0,1308.0,1380.0,1914.0,7006.0,18424.0,26465.0,38318.0,,,1262.0,1234.0,,,1698.0,1912.0,35863.0,32404.0
360,1922.0,1879.0,1860.0,1885.0,1866.0,1900.0,2030.0,3139.0,49912.0,177786.0,234593.0,247049.0,2374.0,2742.0,2799.0,2714.0,2797.0,2959.0,3561.0,9339.0,181006.0,257990.0,257990.0,257990.0,2238.0,2204.0,2167.0,2201.0,2170.0,2243.0,2508.0,4079.0,30936.0,257990.0,257990.0,257990.0,1515.0,1405.0,1520.0,1475.0,1448.0,1497.0,1570.0,2217.0,6210.0,18181.0,25886.0,30755.0,1525.0,1460.0,1481.0,1415.0,1435.0,1594.0,2622.0,10454.0,53429.0,124786.0,158560.0,174723.0,1814.0,1735.0,1767.0,1765.0,2221.0,5332.0,21848.0,47360.0,65351.0,75290.0,82897.0,90950.0,1514.0,1472.0,1447.0,1441.0,1454.0,1422.0,1509.0,2087.0,7445.0,19313.0,27751.0,39976.0,,,1408.0,1381.0,,,1834.5,2080.5,38846.5,34374.5
380,2064.5,2027.5,2024.5,1997.5,2018.5,2018.5,2193.5,3308.5,51333.5,186183.5,251267.5,257991.5,2549.5,2948.5,2951.5,2923.5,2993.5,3162.5,3774.5,9933.5,191368.5,257991.5,257991.5,257991.5,2439.5,2365.5,2377.5,2386.5,2360.5,2410.5,2708.5,4293.5,32340.5,257991.5,257991.5,257991.5,1701.5,1550.5,1649.5,1639.5,1609.5,1622.5,1738.5,2386.5,6554.5,18991.5,26717.5,31785.5,1658.5,1587.5,1619.5,1578.5,1601.5,1749.5,2911.5,11140.5,57835.5,133673.5,169819.5,187677.5,1961.5,1923.5,1916.5,1923.5,2379.5,5524.5,22255.5,48314.5,68441.5,79779.5,88528.5,97857.5,1661.5,1609.5,1617.5,1595.5,1587.5,1590.5,1661.5,2247.5,7804.5,20040.5,28512.5,41347.5,,,1508.5,1514.5,,,1948.5,2250.5,41034.5,36005.5
