time,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pCymRC-rJ/Cuma_0,pCymRC-rJ/Cuma_1,pCymRC-rJ/Cuma_2,pCymRC-rJ/Cuma_3,pCymRC-rJ/Cuma_4,pCymRC-rJ/Cuma_5,pCymRC-rJ/Cuma_6,pCymRC-rJ/Cuma_7,pCymRC-rJ/Cuma_8,pCymRC-rJ/Cuma_9,pCymRC-rJ/Cuma_10,pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,cymRC-pCymRC-rJ/Cuma.1_0,cymRC-pCymRC-rJ/Cuma.1_1,cymRC-pCymRC-rJ/Cuma.1_2,cymRC-pCymRC-rJ/Cuma.1_3,cymRC-pCymRC-rJ/Cuma.1_4,cymRC-pCymRC-rJ/Cuma.1_5,cymRC-pCymRC-rJ/Cuma.1_6,cymRC-pCymRC-rJ/Cuma.1_7,cymRC-pCymRC-rJ/Cuma.1_8,cymRC-pCymRC-rJ/Cuma.1_9,cymRC-pCymRC-rJ/Cuma.1_10,cymRC-pCymRC-rJ/Cuma.1_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,11.0,14.0,12.0,9.0,10.0,3.0,6.0,4.0,6.0,3.0,8.0,14.0,-42.0,14.0,28.0,21.0,17.0,26.0,22.0,14.0,23.0,28.0,24.0,26.0,23.0,20.0,25.0,26.0,21.0,22.0,30.0,30.0,29.0,25.0,23.0,27.0,19.0,12.0,16.0,23.0,21.0,18.0,18.0,11.0,8.0,20.0,15.0,25.0,19.0,24.0,22.0,16.0,18.0,14.0,13.0,16.0,11.0,15.0,16.0,16.0,18.0,14.0,23.0,15.0,17.0,10.0,14.0,22.0,11.0,14.0,18.0,13.0,11.0,8.0,17.0,9.0,13.0,9.0,7.0,2.0,13.0,9.0,14.0,12.0,,,16.0,9.0,,,8.5,18.5,253.5,207.5
20,13.0,2.0,5.0,6.0,5.0,4.0,0.0,4.0,4.0,3.0,5.0,-2.0,-42.0,5.0,25.0,18.0,11.0,20.0,15.0,12.0,15.0,19.0,15.0,17.0,20.0,14.0,21.0,14.0,16.0,16.0,17.0,19.0,16.0,11.0,18.0,9.0,16.0,9.0,11.0,17.0,13.0,12.0,12.0,8.0,13.0,15.0,12.0,12.0,14.0,14.0,10.0,19.0,12.0,11.0,12.0,19.0,14.0,22.0,21.0,26.0,13.0,9.0,15.0,14.0,13.0,16.0,14.0,7.0,14.0,8.0,11.0,7.0,4.0,2.0,11.0,4.0,11.0,1.0,0.0,-1.0,7.0,9.0,4.0,4.0,,,16.0,7.0,,,19.5,22.5,227.5,216.5
40,9.5,8.5,15.5,11.5,9.5,12.5,1.5,10.5,8.5,10.5,13.5,6.5,-31.5,17.5,18.5,17.5,16.5,23.5,22.5,14.5,15.5,23.5,23.5,24.5,18.5,16.5,18.5,16.5,16.5,20.5,17.5,15.5,15.5,14.5,20.5,22.5,16.5,7.5,19.5,15.5,16.5,13.5,21.5,16.5,18.5,30.5,27.5,31.5,19.5,15.5,12.5,13.5,14.5,22.5,61.5,95.5,86.5,108.5,117.5,118.5,14.5,16.5,16.5,13.5,12.5,15.5,12.5,19.5,23.5,25.5,24.5,29.5,12.5,9.5,14.5,10.5,5.5,-4.5,2.5,6.5,22.5,30.5,29.5,27.5,,,13.5,4.5,,,11.5,15.5,307.5,293.5
60,15.5,13.5,16.5,14.5,11.5,11.5,9.5,11.5,8.5,8.5,4.5,15.5,-33.5,16.5,23.5,18.5,20.5,23.5,20.5,18.5,19.5,18.5,26.5,27.5,20.5,15.5,25.5,23.5,18.5,18.5,20.5,21.5,20.5,18.5,21.5,21.5,17.5,10.5,18.5,18.5,11.5,12.5,12.5,26.5,37.5,51.5,48.5,57.5,13.5,12.5,19.5,14.5,15.5,34.5,100.5,187.5,198.5,238.5,247.5,259.5,25.5,19.5,23.5,15.5,9.5,20.5,29.5,47.5,45.5,47.5,56.5,56.5,15.5,15.5,10.5,10.5,13.5,2.5,6.5,13.5,31.5,47.5,54.5,58.5,,,18.5,15.5,,,14.5,23.5,416.5,403.5
80,17.0,14.0,15.0,11.0,12.0,9.0,4.0,7.0,5.0,8.0,9.0,11.0,-33.0,14.0,25.0,26.0,13.0,24.0,18.0,20.0,17.0,18.0,26.0,23.0,21.0,20.0,18.0,13.0,16.0,17.0,19.0,20.0,17.0,24.0,21.0,28.0,16.0,8.0,20.0,16.0,10.0,18.0,21.0,21.0,41.0,56.0,73.0,82.0,20.0,25.0,20.0,18.0,10.0,33.0,122.0,248.0,334.0,432.0,439.0,463.0,14.0,14.0,18.0,16.0,12.0,23.0,44.0,71.0,84.0,97.0,101.0,103.0,18.0,14.0,6.0,9.0,10.0,3.0,6.0,16.0,40.0,65.0,74.0,85.0,,,19.0,16.0,,,20.5,19.5,527.5,521.5
100,19.5,17.5,21.5,18.5,12.5,21.5,18.5,17.5,20.5,7.5,26.5,32.5,-27.5,23.5,31.5,24.5,27.5,24.5,28.5,18.5,25.5,23.5,32.5,49.5,29.5,26.5,25.5,29.5,27.5,29.5,23.5,19.5,26.5,27.5,24.5,42.5,27.5,18.5,26.5,18.5,19.5,18.5,24.5,32.5,50.5,83.5,95.5,109.5,28.5,21.5,25.5,22.5,20.5,46.5,126.5,299.5,496.5,713.5,754.5,792.5,21.5,16.5,18.5,22.5,23.5,25.5,73.5,116.5,144.5,159.5,180.5,184.5,17.5,21.5,19.5,16.5,21.5,18.5,13.5,25.5,51.5,80.5,101.5,131.5,,,29.5,15.5,,,25.5,31.5,638.5,651.5
120,24.0,25.0,26.0,21.0,16.0,19.0,22.0,24.0,26.0,23.0,26.0,68.0,-22.0,23.0,33.0,30.0,29.0,33.0,32.0,18.0,30.0,27.0,36.0,109.0,31.0,34.0,30.0,34.0,25.0,24.0,33.0,30.0,26.0,27.0,34.0,64.0,28.0,26.0,28.0,25.0,25.0,28.0,26.0,33.0,55.0,102.0,122.0,160.0,31.0,22.0,24.0,27.0,28.0,48.0,133.0,313.0,658.0,1086.0,1196.0,1249.0,24.0,29.0,24.0,25.0,21.0,32.0,87.0,168.0,212.0,239.0,258.0,264.0,24.0,22.0,20.0,21.0,19.0,17.0,13.0,22.0,57.0,108.0,128.0,185.0,,,28.0,19.0,,,26.5,34.5,766.5,775.5
140,30.0,29.0,25.0,30.0,21.0,24.0,25.0,28.0,20.0,22.0,48.0,245.0,-21.0,26.0,31.0,31.0,31.0,30.0,33.0,22.0,27.0,33.0,62.0,360.0,30.0,24.0,31.0,26.0,28.0,31.0,30.0,29.0,25.0,32.0,41.0,162.0,29.0,21.0,25.0,25.0,17.0,30.0,26.0,31.0,56.0,123.0,166.0,222.0,30.0,32.0,22.0,21.0,34.0,44.0,128.0,316.0,770.0,1511.0,1769.0,1861.0,29.0,26.0,33.0,20.0,25.0,47.0,133.0,256.0,307.0,331.0,356.0,372.0,22.0,22.0,23.0,22.0,25.0,16.0,16.0,23.0,66.0,138.0,181.0,286.0,,,30.0,26.0,,,35.5,40.5,954.5,991.5
160,48.0,49.0,50.0,43.0,42.0,42.0,44.0,42.0,45.0,174.0,750.0,1458.0,-3.0,45.0,52.0,53.0,41.0,48.0,51.0,34.0,51.0,88.0,328.0,1330.0,48.0,46.0,46.0,51.0,37.0,43.0,46.0,40.0,42.0,53.0,210.0,809.0,52.0,35.0,46.0,44.0,35.0,41.0,43.0,51.0,82.0,210.0,293.0,392.0,50.0,42.0,41.0,34.0,50.0,59.0,133.0,340.0,901.0,2019.0,2468.0,2637.0,47.0,50.0,51.0,40.0,51.0,78.0,249.0,408.0,492.0,535.0,565.0,599.0,37.0,39.0,40.0,36.0,39.0,35.0,35.0,43.0,93.0,228.0,336.0,521.0,,,42.0,39.0,,,46.0,58.0,1228.0,1244.0
180,68.5,70.5,74.5,63.5,55.5,57.5,66.5,71.5,140.5,1521.5,3360.5,4311.5,18.5,64.5,74.5,65.5,62.5,67.5,61.5,47.5,172.5,1476.5,2578.5,4240.5,64.5,63.5,64.5,60.5,55.5,58.5,63.5,72.5,116.5,628.5,2233.5,3578.5,49.5,48.5,52.5,50.5,44.5,52.5,53.5,64.5,141.5,440.5,618.5,817.5,51.5,54.5,57.5,50.5,50.5,69.5,147.5,378.5,1093.5,2631.5,3334.5,3590.5,65.5,60.5,58.5,60.5,60.5,148.5,659.5,995.5,1142.5,1228.5,1301.5,1323.5,54.5,43.5,48.5,46.5,47.5,37.5,47.5,53.5,176.5,493.5,713.5,1060.5,,,53.5,44.5,,,77.0,86.0,1634.0,1667.0
