time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,pCin/OHC14_6,pCin/OHC14_7,pCin/OHC14_8,pCin/OHC14_9,pCin/OHC14_10,pCin/OHC14_11,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,pLuxB/AHL_6,pLuxB/AHL_7,pLuxB/AHL_8,pLuxB/AHL_9,pLuxB/AHL_10,pLuxB/AHL_11,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,pPhlF/DAPG_6,pPhlF/DAPG_7,pPhlF/DAPG_8,pPhlF/DAPG_9,pPhlF/DAPG_10,pPhlF/DAPG_11,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,pSalTTC/Sal_6,pSalTTC/Sal_7,pSalTTC/Sal_8,pSalTTC/Sal_9,pSalTTC/Sal_10,pSalTTC/Sal_11,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,91.5,69.5,55.5,62.5,56.5,65.5,46.5,49.5,56.5,62.5,42.5,20.5,101.5,86.5,78.5,90.5,90.5,87.5,77.5,78.5,94.5,80.5,84.5,100.5,80.5,116.5,100.5,98.5,102.5,120.5,119.5,110.5,96.5,99.5,96.5,59.5,76.5,63.5,72.5,62.5,49.5,70.5,72.5,54.5,55.5,61.5,54.5,50.5,213.5,264.5,275.5,193.5,220.5,251.5,234.5,286.5,205.5,237.5,244.5,208.5,83.5,67.5,88.5,63.5,57.5,73.5,62.5,71.5,48.5,45.5,42.5,34.5,84.5,64.5,88.5,55.5,77.5,71.5,63.5,68.5,46.5,45.5,56.5,42.5,,,48.5,42.5,,,78.5,69.5,580.5,570.5
20,71.5,40.5,35.5,30.5,24.5,39.5,21.5,25.5,13.5,29.5,27.5,12.5,71.5,52.5,52.5,60.5,50.5,54.5,44.5,49.5,50.5,54.5,60.5,86.5,68.5,61.5,76.5,58.5,61.5,73.5,72.5,63.5,67.5,65.5,60.5,60.5,57.5,45.5,56.5,56.5,40.5,46.5,40.5,34.5,54.5,45.5,30.5,35.5,272.5,300.5,301.5,314.5,308.5,305.5,319.5,323.5,307.5,320.5,297.5,298.5,52.5,35.5,42.5,31.5,29.5,48.5,64.5,82.5,93.5,103.5,100.5,101.5,63.5,37.5,41.5,54.5,45.5,47.5,38.5,46.5,44.5,32.5,50.5,37.5,,,32.5,47.5,,,66.5,59.5,445.5,528.5
40,68.5,34.5,26.5,25.5,23.5,28.5,21.5,23.5,16.5,14.5,21.5,15.5,66.5,44.5,48.5,43.5,50.5,41.5,43.5,34.5,46.5,52.5,65.5,98.5,68.5,50.5,71.5,59.5,87.5,91.5,105.5,103.5,93.5,82.5,100.5,91.5,56.5,138.5,178.5,195.5,223.5,233.5,235.5,238.5,228.5,237.5,234.5,228.5,461.5,523.5,548.5,564.5,555.5,565.5,584.5,596.5,566.5,594.5,554.5,572.5,49.5,28.5,36.5,24.5,37.5,60.5,140.5,213.5,259.5,277.5,288.5,299.5,60.5,83.5,100.5,107.5,105.5,97.5,110.5,120.5,111.5,114.5,112.5,132.5,,,27.5,30.5,,,75.0,63.0,584.0,725.0
60,71.5,57.5,35.5,31.5,38.5,40.5,32.5,31.5,33.5,30.5,23.5,36.5,80.5,58.5,61.5,52.5,55.5,56.5,53.5,48.5,67.5,63.5,83.5,110.5,79.5,76.5,73.5,81.5,101.5,127.5,166.5,182.5,194.5,190.5,185.5,195.5,57.5,269.5,367.5,442.5,471.5,512.5,553.5,549.5,530.5,584.5,558.5,600.5,750.5,853.5,880.5,925.5,920.5,917.5,952.5,991.5,924.5,977.5,916.5,954.5,67.5,46.5,49.5,44.5,44.5,84.5,194.5,338.5,444.5,495.5,508.5,556.5,76.5,192.5,239.5,268.5,301.5,282.5,299.5,323.5,290.5,297.5,329.5,338.5,,,45.5,43.5,,,79.5,61.5,765.5,963.5
80,79.5,48.5,26.5,25.5,32.5,32.5,32.5,31.5,22.5,28.5,36.5,31.5,80.5,50.5,57.5,55.5,50.5,51.5,54.5,52.5,82.5,100.5,110.5,138.5,69.5,62.5,77.5,78.5,121.5,144.5,216.5,264.5,310.5,342.5,312.5,329.5,57.5,424.5,630.5,787.5,895.5,975.5,1025.5,1054.5,1024.5,1104.5,1086.5,1139.5,1226.5,1401.5,1422.5,1489.5,1457.5,1466.5,1469.5,1534.5,1431.5,1491.5,1389.5,1431.5,74.5,38.5,38.5,34.5,53.5,98.5,287.5,549.5,733.5,869.5,847.5,942.5,74.5,379.5,505.5,601.5,625.5,660.5,688.5,741.5,698.5,714.5,741.5,768.5,,,44.5,45.5,,,84.5,75.5,1008.5,1218.5
100,72.5,37.5,27.5,32.5,27.5,20.5,23.5,35.5,43.5,61.5,63.5,70.5,78.5,46.5,48.5,43.5,48.5,47.5,48.5,50.5,169.5,300.5,290.5,271.5,76.5,63.5,67.5,70.5,106.5,154.5,271.5,406.5,506.5,575.5,518.5,542.5,60.5,646.5,1024.5,1349.5,1586.5,1761.5,1893.5,1932.5,1883.5,2042.5,1960.5,2046.5,1997.5,2286.5,2346.5,2420.5,2339.5,2344.5,2364.5,2419.5,2233.5,2328.5,2144.5,2213.5,62.5,39.5,47.5,37.5,53.5,135.5,421.5,946.5,1365.5,1580.5,1584.5,1715.5,69.5,677.5,1022.5,1239.5,1354.5,1412.5,1489.5,1577.5,1472.5,1545.5,1573.5,1629.5,,,41.5,46.5,,,84.0,76.0,1202.0,1444.0
120,76.5,53.5,32.5,34.5,41.5,43.5,41.5,66.5,135.5,247.5,305.5,354.5,78.5,61.5,60.5,68.5,69.5,67.5,56.5,59.5,341.5,662.5,596.5,528.5,85.5,82.5,77.5,90.5,122.5,177.5,354.5,642.5,852.5,966.5,848.5,875.5,77.5,946.5,1528.5,2113.5,2572.5,2883.5,3105.5,3250.5,3230.5,3463.5,3390.5,3552.5,3057.5,3521.5,3654.5,3793.5,3776.5,3747.5,3699.5,3809.5,3505.5,3610.5,3314.5,3402.5,75.5,52.5,66.5,50.5,91.5,180.5,631.5,1529.5,2202.5,2650.5,2681.5,2933.5,74.5,1021.5,1594.5,2112.5,2425.5,2594.5,2687.5,2939.5,2801.5,2885.5,2931.5,3068.5,,,58.5,52.5,,,94.5,85.5,1450.5,1786.5
140,88.5,62.5,56.5,57.5,63.5,61.5,88.5,210.5,478.5,859.5,965.5,1108.5,106.5,79.5,77.5,67.5,71.5,75.5,69.5,78.5,592.5,1164.5,1075.5,913.5,100.5,84.5,97.5,98.5,130.5,234.5,534.5,1090.5,1495.5,1712.5,1475.5,1453.5,103.5,1460.5,2377.5,3330.5,4023.5,4492.5,4850.5,5060.5,5073.5,5450.5,5354.5,5683.5,4317.5,4962.5,5250.5,5668.5,5743.5,5789.5,5767.5,5902.5,5467.5,5518.5,5042.5,5162.5,95.5,82.5,70.5,72.5,107.5,288.5,1016.5,2403.5,3459.5,4099.5,4171.5,4571.5,97.5,1408.5,2317.5,3263.5,3882.5,4301.5,4462.5,4834.5,4632.5,4791.5,4925.5,5152.5,,,54.5,73.5,,,110.5,109.5,1794.5,2282.5
160,131.0,87.0,91.0,86.0,89.0,174.0,415.0,839.0,1577.0,2394.0,2458.0,2640.0,126.0,102.0,97.0,95.0,96.0,96.0,109.0,121.0,971.0,1911.0,1767.0,1444.0,106.0,115.0,120.0,123.0,158.0,321.0,920.0,1987.0,2713.0,3098.0,2620.0,2499.0,155.0,2420.0,3751.0,5197.0,6250.0,6943.0,7351.0,7721.0,7701.0,8231.0,8075.0,8548.0,5584.0,6399.0,6935.0,7797.0,8341.0,8648.0,8646.0,8822.0,8198.0,8330.0,7533.0,7637.0,128.0,108.0,104.0,123.0,178.0,565.0,1883.0,3923.0,5381.0,6283.0,6309.0,6829.0,149.0,2209.0,3549.0,5014.0,6111.0,6778.0,7081.0,7675.0,7352.0,7572.0,7734.0,8120.0,,,79.0,103.0,,,128.5,122.5,2253.5,2938.5
180,148.5,169.5,269.5,669.5,1520.5,3062.5,4150.5,4764.5,5805.5,6974.5,6244.5,6262.5,158.5,136.5,132.5,128.5,136.5,133.5,123.5,220.5,2408.5,4046.5,3056.5,2197.5,131.5,145.5,133.5,138.5,218.5,638.5,1877.5,3686.5,4709.5,5137.5,4463.5,4213.5,283.5,4920.5,6900.5,8690.5,9806.5,10510.5,10988.5,11398.5,11325.5,12071.5,11872.5,12629.5,6613.5,7648.5,8373.5,9827.5,11316.5,12401.5,12626.5,12902.5,11962.5,12138.5,10974.5,11059.5,160.5,133.5,151.5,197.5,388.5,1542.5,4431.5,7556.5,9096.5,9732.5,9278.5,9806.5,160.5,3767.5,5836.5,8011.5,9811.5,11078.5,11451.5,12416.5,11706.5,11914.5,12008.5,12477.5,,,100.5,112.5,,,168.0,168.0,2906.0,3949.0
