group,1,2,3,4,5,6,7,8,9,10,11,12
A,PBAD-PSalTTC-E20_00,PBAD-PSalTTC-E20_01,PBAD-PSalTTC-E20_02,PBAD-PSalTTC-E20_03,PBAD-PSalTTC-E20_04,PBAD-PSalTTC-E20_05,PSalTTC-PBAD-E20_00,PSalTTC-PBAD-E20_10,PSalTTC-PBAD-E20_20,PSalTTC-PBAD-E20_30,PSalTTC-PBAD-E20_40,PSalTTC-PBAD-E20_50
B,PBAD-PSalTTC-E20_10,PBAD-PSalTTC-E20_11,PBAD-PSalTTC-E20_12,PBAD-PSalTTC-E20_13,PBAD-PSalTTC-E20_14,PBAD-PSalTTC-E20_15,PSalTTC-PBAD-E20_01,PSalTTC-PBAD-E20_11,PSalTTC-PBAD-E20_21,PSalTTC-PBAD-E20_31,PSalTTC-PBAD-E20_41,PSalTTC-PBAD-E20_51
C,PBAD-PSalTTC-E20_20,PBAD-PSalTTC-E20_21,PBAD-PSalTTC-E20_22,PBAD-PSalTTC-E20_23,PBAD-PSalTTC-E20_24,PBAD-PSalTTC-E20_25,PSalTTC-PBAD-E20_02,PSalTTC-PBAD-E20_12,PSalTTC-PBAD-E20_22,PSalTTC-PBAD-E20_32,PSalTTC-PBAD-E20_42,PSalTTC-PBAD-E20_52
D,PBAD-PSalTTC-E20_30,PBAD-PSalTTC-E20_31,PBAD-PSalTTC-E20_32,PBAD-PSalTTC-E20_33,PBAD-PSalTTC-E20_34,PBAD-PSalTTC-E20_35,PSalTTC-PBAD-E20_03,PSalTTC-PBAD-E20_13,PSalTTC-PBAD-E20_23,PSalTTC-PBAD-E20_33,PSalTTC-PBAD-E20_43,PSalTTC-PBAD-E20_53
E,PBAD-PSalTTC-E20_40,PBAD-PSalTTC-E20_41,PBAD-PSalTTC-E20_42,PBAD-PSalTTC-E20_43,PBAD-PSalTTC-E20_44,PBAD-PSalTTC-E20_45,PSalTTC-PBAD-E20_04,PSalTTC-PBAD-E20_14,PSalTTC-PBAD-E20_24,PSalTTC-PBAD-E20_34,PSalTTC-PBAD-E20_44,PSalTTC-PBAD-E20_54
F,PBAD-PSalTTC-E20_50,PBAD-PSalTTC-E20_51,PBAD-PSalTTC-E20_52,PBAD-PSalTTC-E20_53,PBAD-PSalTTC-E20_54,PBAD-PSalTTC-E20_55,PSalTTC-PBAD-E20_05,PSalTTC-PBAD-E20_15,PSalTTC-PBAD-E20_25,PSalTTC-PBAD-E20_35,PSalTTC-PBAD-E20_45,PSalTTC-PBAD-E20_55
G,BC_0,BC_1,BC_2,BC_3,BC_4,BC_5,NC_0,NC_1,NC_2,NC_3,NC_4,NC_5
H,BK_0,BK_1,BK_2,BK_3,NK_0,NK_1,NK_2,NK_3,GFP_0,GFP_1,GFP_2,GFP_3
