row,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
B,empty,sample25_inducer1-3_1,sample25_inducer1-3_2,sample25_inducer1-3_3,sample25_inducer1-3_4,sample25_inducer2-3_1,sample25_inducer2-3_2,sample25_inducer2-3_3,sample25_inducer2-3_4,sample25_inducer3-3_1,sample25_inducer3-3_2,sample25_inducer3-3_3,sample25_inducer3-3_4,sample25_inducer4-3_1,sample25_inducer4-3_2,sample25_inducer4-3_3,sample25_inducer4-3_4,sample25_inducer5-3_1,sample25_inducer5-3_2,sample25_inducer5-3_3,sample25_inducer5-3_4,sample25_inducer1-3_5,sample25_inducer1-3_6,empty
C,empty,sample25_inducer1-3_7,sample25_inducer1-3_8,sample26_inducer1-3_1,sample26_inducer1-3_2,sample26_inducer1-3_3,sample26_inducer1-3_4,sample26_inducer2-3_1,sample26_inducer2-3_2,sample26_inducer2-3_3,sample26_inducer2-3_4,sample26_inducer3-3_1,sample26_inducer3-3_2,sample26_inducer3-3_3,sample26_inducer3-3_4,sample26_inducer4-3_1,sample26_inducer4-3_2,sample26_inducer4-3_3,sample26_inducer4-3_4,sample26_inducer5-3_1,sample26_inducer5-3_2,sample26_inducer5-3_3,sample26_inducer5-3_4,empty
D,empty,sample26_inducer1-3_5,sample26_inducer1-3_6,sample26_inducer1-3_7,sample26_inducer1-3_8,sample27_inducer1-3_1,sample27_inducer1-3_2,sample27_inducer1-3_3,sample27_inducer1-3_4,sample27_inducer2-3_1,sample27_inducer2-3_2,sample27_inducer2-3_3,sample27_inducer2-3_4,sample27_inducer3-3_1,sample27_inducer3-3_2,sample27_inducer3-3_3,sample27_inducer3-3_4,sample27_inducer4-3_1,sample27_inducer4-3_2,sample27_inducer4-3_3,sample27_inducer4-3_4,sample27_inducer5-3_1,sample27_inducer5-3_2,empty
E,empty,sample27_inducer5-3_3,sample27_inducer5-3_4,sample27_inducer1-3_5,sample27_inducer1-3_6,sample27_inducer1-3_7,sample27_inducer1-3_8,sample28_inducer1-3_1,sample28_inducer1-3_2,sample28_inducer1-3_3,sample28_inducer1-3_4,sample28_inducer2-3_1,sample28_inducer2-3_2,sample28_inducer2-3_3,sample28_inducer2-3_4,sample28_inducer3-3_1,sample28_inducer3-3_2,sample28_inducer3-3_3,sample28_inducer3-3_4,sample28_inducer4-3_1,sample28_inducer4-3_2,sample28_inducer4-3_3,sample28_inducer4-3_4,empty
F,empty,sample28_inducer5-3_1,sample28_inducer5-3_2,sample28_inducer5-3_3,sample28_inducer5-3_4,sample28_inducer1-3_5,sample28_inducer1-3_6,sample28_inducer1-3_7,sample28_inducer1-3_8,sample29_inducer1-3_1,sample29_inducer1-3_2,sample29_inducer1-3_3,sample29_inducer1-3_4,sample29_inducer2-3_1,sample29_inducer2-3_2,sample29_inducer2-3_3,sample29_inducer2-3_4,sample29_inducer3-3_1,sample29_inducer3-3_2,sample29_inducer3-3_3,sample29_inducer3-3_4,sample29_inducer4-3_1,sample29_inducer4-3_2,empty
G,empty,sample29_inducer4-3_3,sample29_inducer4-3_4,sample29_inducer5-3_1,sample29_inducer5-3_2,sample29_inducer5-3_3,sample29_inducer5-3_4,sample29_inducer1-3_5,sample29_inducer1-3_6,sample29_inducer1-3_7,sample29_inducer1-3_8,sample30_inducer1-3_1,sample30_inducer1-3_2,sample30_inducer1-3_3,sample30_inducer1-3_4,sample30_inducer2-3_1,sample30_inducer2-3_2,sample30_inducer2-3_3,sample30_inducer2-3_4,sample30_inducer3-3_1,sample30_inducer3-3_2,sample30_inducer3-3_3,sample30_inducer3-3_4,empty
H,empty,sample30_inducer4-3_1,sample30_inducer4-3_2,sample30_inducer4-3_3,sample30_inducer4-3_4,sample30_inducer5-3_1,sample30_inducer5-3_2,sample30_inducer5-3_3,sample30_inducer5-3_4,sample30_inducer1-3_5,sample30_inducer1-3_6,sample30_inducer1-3_7,sample30_inducer1-3_8,sample31_inducer1-3_1,sample31_inducer1-3_2,sample31_inducer1-3_3,sample31_inducer1-3_4,sample31_inducer2-3_1,sample31_inducer2-3_2,sample31_inducer2-3_3,sample31_inducer2-3_4,sample31_inducer3-3_1,sample31_inducer3-3_2,empty
I,empty,sample31_inducer3-3_3,sample31_inducer3-3_4,sample31_inducer4-3_1,sample31_inducer4-3_2,sample31_inducer4-3_3,sample31_inducer4-3_4,sample31_inducer5-3_1,sample31_inducer5-3_2,sample31_inducer5-3_3,sample31_inducer5-3_4,sample31_inducer1-3_5,sample31_inducer1-3_6,sample31_inducer1-3_7,sample31_inducer1-3_8,sample32_inducer1-3_1,sample32_inducer1-3_2,sample32_inducer1-3_3,sample32_inducer1-3_4,sample32_inducer2-3_1,sample32_inducer2-3_2,sample32_inducer2-3_3,sample32_inducer2-3_4,empty
J,empty,sample32_inducer3-3_1,sample32_inducer3-3_2,sample32_inducer3-3_3,sample32_inducer3-3_4,sample32_inducer4-3_1,sample32_inducer4-3_2,sample32_inducer4-3_3,sample32_inducer4-3_4,sample32_inducer5-3_1,sample32_inducer5-3_2,sample32_inducer5-3_3,sample32_inducer5-3_4,sample32_inducer1-3_5,sample32_inducer1-3_6,sample32_inducer1-3_7,sample32_inducer1-3_8,sample33_inducer1-3_1,sample33_inducer1-3_2,sample33_inducer1-3_3,sample33_inducer1-3_4,sample33_inducer2-3_1,sample33_inducer2-3_2,empty
