Source Well,Destination Well,Transfer Volume
E23,B2,240
F14,B2,40
E23,C2,240
F14,C2,40
E24,D2,240
F14,D2,40
F1,E2,240
F18,E2,40
F2,F2,240
F18,F2,40
F3,G2,240
F17,G2,40
F4,H2,240
F17,H2,40
F5,I2,240
F16,I2,40
F6,J2,240
F16,J2,40
F7,K2,240
F15,K2,40
F8,L2,240
F15,L2,40
F9,M2,240
F14,M2,40
F10,N2,240
F14,N2,40
F10,O2,240
F14,O2,40
E23,B3,240
F14,B3,40
E23,C3,240
F14,C3,40
E24,D3,240
F14,D3,40
F1,E3,240
F18,E3,40
F2,F3,240
F18,F3,40
F3,G3,240
F17,G3,40
F4,H3,240
F17,H3,40
F5,I3,240
F16,I3,40
F6,J3,240
F16,J3,40
F7,K3,240
F15,K3,40
F8,L3,240
F15,L3,40
F9,M3,240
F14,M3,40
F10,N3,240
F14,N3,40
F10,O3,240
F14,O3,40
E23,B4,240
F14,B4,40
E24,C4,240
F14,C4,40
E24,D4,240
F14,D4,40
F1,E4,240
F14,E4,40
F2,F4,240
F18,F4,40
F3,G4,240
F18,G4,40
F4,H4,240
F17,H4,40
F5,I4,240
F17,I4,40
F6,J4,240
F16,J4,40
F7,K4,240
F16,K4,40
F8,L4,240
F15,L4,40
F9,M4,240
F15,M4,40
F10,N4,240
F14,N4,40
F11,O4,240
F14,O4,40
E23,B5,240
F14,B5,40
E24,C5,240
F14,C5,40
E24,D5,240
F14,D5,40
F1,E5,240
F14,E5,40
F2,F5,240
F18,F5,40
F3,G5,240
F18,G5,40
F4,H5,240
F17,H5,40
F5,I5,240
F17,I5,40
F6,J5,240
F16,J5,40
F7,K5,240
F16,K5,40
F8,L5,240
F15,L5,40
F9,M5,240
F15,M5,40
F10,N5,240
F14,N5,40
F11,O5,240
F14,O5,40
E23,B6,240
F15,B6,40
E24,C6,240
F14,C6,40
F1,D6,240
F14,D6,40
F1,E6,240
F14,E6,40
F2,F6,240
F14,F6,40
F3,G6,240
F18,G6,40
F4,H6,240
F18,H6,40
F5,I6,240
F17,I6,40
F6,J6,240
F17,J6,40
F7,K6,240
F16,K6,40
F8,L6,240
F16,L6,40
F9,M6,240
F15,M6,40
F10,N6,240
F15,N6,40
F11,O6,240
F14,O6,40
E23,B7,240
F15,B7,40
E24,C7,240
F14,C7,40
F1,D7,240
F14,D7,40
F1,E7,240
F14,E7,40
F2,F7,240
F14,F7,40
F3,G7,240
F18,G7,40
F4,H7,240
F18,H7,40
F5,I7,240
F17,I7,40
F6,J7,240
F17,J7,40
F7,K7,240
F16,K7,40
F8,L7,240
F16,L7,40
F9,M7,240
F15,M7,40
F10,N7,240
F15,N7,40
F11,O7,240
F14,O7,40
E23,B8,240
F15,B8,40
E24,C8,240
F15,C8,40
F1,D8,240
F14,D8,40
F2,E8,240
F14,E8,40
F2,F8,240
F14,F8,40
F3,G8,240
F14,G8,40
F4,H8,240
F18,H8,40
F5,I8,240
F18,I8,40
F6,J8,240
F17,J8,40
F7,K8,240
F17,K8,40
F8,L8,240
F16,L8,40
F9,M8,240
F16,M8,40
F10,N8,240
F15,N8,40
F12,O8,240
F14,O8,40
E23,B9,240
F15,B9,40
E24,C9,240
F15,C9,40
F1,D9,240
F14,D9,40
F2,E9,240
F14,E9,40
F2,F9,240
F14,F9,40
F3,G9,240
F14,G9,40
F4,H9,240
F18,H9,40
F5,I9,240
F18,I9,40
F6,J9,240
F17,J9,40
F7,K9,240
F17,K9,40
F8,L9,240
F16,L9,40
F9,M9,240
F16,M9,40
F10,N9,240
F15,N9,40
F12,O9,240
F14,O9,40
E23,B10,240
F16,B10,40
E24,C10,240
F15,C10,40
F1,D10,240
F15,D10,40
F2,E10,240
F14,E10,40
F3,F10,240
F14,F10,40
F3,G10,240
F14,G10,40
F4,H10,240
F14,H10,40
F5,I10,240
F18,I10,40
F6,J10,240
F18,J10,40
F7,K10,240
F17,K10,40
F8,L10,240
F17,L10,40
F9,M10,240
F16,M10,40
F10,N10,240
F16,N10,40
