Source Well,Destination Well,Transfer Volume
C11,B2,240
D2,B2,40
C11,C2,240
D2,C2,40
C12,D2,240
D2,D2,40
C13,E2,240
D6,E2,40
C14,F2,240
D6,F2,40
C15,G2,240
D5,G2,40
C16,H2,240
D5,H2,40
C17,I2,240
D4,I2,40
C18,J2,240
D4,J2,40
C19,K2,240
D3,K2,40
C20,L2,240
D3,L2,40
C21,M2,240
D2,M2,40
C22,N2,240
D2,N2,40
C22,O2,240
D2,O2,40
C11,B3,240
D2,B3,40
C11,C3,240
D2,C3,40
C12,D3,240
D2,D3,40
C13,E3,240
D6,E3,40
C14,F3,240
D6,F3,40
C15,G3,240
D5,G3,40
C16,H3,240
D5,H3,40
C17,I3,240
D4,I3,40
C18,J3,240
D4,J3,40
C19,K3,240
D3,K3,40
C20,L3,240
D3,L3,40
C21,M3,240
D2,M3,40
C22,N3,240
D2,N3,40
C22,O3,240
D2,O3,40
C11,B4,240
D2,B4,40
C12,C4,240
D2,C4,40
C12,D4,240
D2,D4,40
C13,E4,240
D2,E4,40
C14,F4,240
D6,F4,40
C15,G4,240
D6,G4,40
C16,H4,240
D5,H4,40
C17,I4,240
D5,I4,40
C18,J4,240
D4,J4,40
C19,K4,240
D4,K4,40
C20,L4,240
D3,L4,40
C21,M4,240
D3,M4,40
C22,N4,240
D2,N4,40
C23,O4,240
D2,O4,40
C11,B5,240
D2,B5,40
C12,C5,240
D2,C5,40
C12,D5,240
D2,D5,40
C13,E5,240
D2,E5,40
C14,F5,240
D6,F5,40
C15,G5,240
D6,G5,40
C16,H5,240
D5,H5,40
C17,I5,240
D5,I5,40
C18,J5,240
D4,J5,40
C19,K5,240
D4,K5,40
C20,L5,240
D3,L5,40
C21,M5,240
D3,M5,40
C22,N5,240
D2,N5,40
C23,O5,240
D2,O5,40
C11,B6,240
D3,B6,40
C12,C6,240
D2,C6,40
C13,D6,240
D2,D6,40
C13,E6,240
D2,E6,40
C14,F6,240
D2,F6,40
C15,G6,240
D6,G6,40
C16,H6,240
D6,H6,40
C17,I6,240
D5,I6,40
C18,J6,240
D5,J6,40
C19,K6,240
D4,K6,40
C20,L6,240
D4,L6,40
C21,M6,240
D3,M6,40
C22,N6,240
D3,N6,40
C23,O6,240
D2,O6,40
C11,B7,240
D3,B7,40
C12,C7,240
D2,C7,40
C13,D7,240
D2,D7,40
C13,E7,240
D2,E7,40
C14,F7,240
D2,F7,40
C15,G7,240
D6,G7,40
C16,H7,240
D6,H7,40
C17,I7,240
D5,I7,40
C18,J7,240
D5,J7,40
C19,K7,240
D4,K7,40
C20,L7,240
D4,L7,40
C21,M7,240
D3,M7,40
C22,N7,240
D3,N7,40
C23,O7,240
D2,O7,40
C11,B8,240
D3,B8,40
C12,C8,240
D3,C8,40
C13,D8,240
D2,D8,40
C14,E8,240
D2,E8,40
C14,F8,240
D2,F8,40
C15,G8,240
D2,G8,40
C16,H8,240
D6,H8,40
C17,I8,240
D6,I8,40
C18,J8,240
D5,J8,40
C19,K8,240
D5,K8,40
C20,L8,240
D4,L8,40
C21,M8,240
D4,M8,40
C22,N8,240
D3,N8,40
C24,O8,240
D2,O8,40
C11,B9,240
D3,B9,40
C12,C9,240
D3,C9,40
C13,D9,240
D2,D9,40
C14,E9,240
D2,E9,40
C14,F9,240
D2,F9,40
C15,G9,240
D2,G9,40
C16,H9,240
D6,H9,40
C17,I9,240
D6,I9,40
C18,J9,240
D5,J9,40
C19,K9,240
D5,K9,40
C20,L9,240
D4,L9,40
C21,M9,240
D4,M9,40
C22,N9,240
D3,N9,40
C24,O9,240
D2,O9,40
C11,B10,240
D4,B10,40
C12,C10,240
D3,C10,40
C13,D10,240
D3,D10,40
C14,E10,240
D2,E10,40
C15,F10,240
D2,F10,40
C15,G10,240
D2,G10,40
C16,H10,240
D2,H10,40
C17,I10,240
D6,I10,40
C18,J10,240
D6,J10,40
C19,K10,240
D5,K10,40
C20,L10,240
D5,L10,40
C21,M10,240
D4,M10,40
C22,N10,240
D4,N10,40
C24,O10,240
D2,O10,40
C11,B11,240
D4,B11,40
C12,C11,240
D3,C11,40
C13,D11,240
D3,D11,40
C14,E11,240
D2,E11,40
C15,F11,240
D2,F11,40
C15,G11,240
D2,G11,40
C16,H11,240
D2,H11,40
C17,I11,240
D6,I11,40
C18,J11,240
D6,J11,40
C19,K11,240
D5,K11,40
C20,L11,240
D5,L11,40
C21,M11,240
D4,M11,40
C22,N11,240
D4,N11,40
C24,O11,240
D2,O11,40
C11,B12,240
D4,B12,40
C12,C12,240
D4,C12,40
C13,D12,240
D3,D12,40
C14,E12,240
D3,E12,40
C15,F12,240
D2,F12,40
C16,G12,240
D2,G12,40
C16,H12,240
D2,H12,40
C17,I12,240
D2,I12,40
C18,J12,240
D6,J12,40
C19,K12,240
D6,K12,40
C20,L12,240
D5,L12,40
C21,M12,240
D5,M12,40
C22,N12,240
D4,N12,40
D1,O12,240
D2,O12,40
C11,B13,240
D4,B13,40
C12,C13,240
D4,C13,40
C13,D13,240
D3,D13,40
C14,E13,240
D3,E13,40
C15,F13,240
D2,F13,40
C16,G13,240
D2,G13,40
C16,H13,240
D2,H13,40
C17,I13,240
D2,I13,40
C18,J13,240
D6,J13,40
C19,K13,240
D6,K13,40
C20,L13,240
D5,L13,40
C21,M13,240
D5,M13,40
C22,N13,240
D4,N13,40
D1,O13,240
D2,O13,40
C11,B14,240
D5,B14,40
C12,C14,240
D4,C14,40
C13,D14,240
D4,D14,40
C14,E14,240
D3,E14,40
C15,F14,240
D3,F14,40
C16,G14,240
D2,G14,40
C17,H14,240
D2,H14,40
C17,I14,240
D2,I14,40
C18,J14,240
D2,J14,40
C19,K14,240
D6,K14,40
C20,L14,240
D6,L14,40
C21,M14,240
D5,M14,40
C22,N14,240
D5,N14,40
D1,O14,240
D2,O14,40
C11,B15,240
D5,B15,40
C12,C15,240
D4,C15,40
C13,D15,240
D4,D15,40
C14,E15,240
D3,E15,40
C15,F15,240
D3,F15,40
C16,G15,240
D2,G15,40
C17,H15,240
D2,H15,40
C17,I15,240
D2,I15,40
C18,J15,240
D2,J15,40
C19,K15,240
D6,K15,40
C20,L15,240
D6,L15,40
C21,M15,240
D5,M15,40
C22,N15,240
D5,N15,40
D1,O15,240
D2,O15,40
C11,B16,240
D5,B16,40
C12,C16,240
D5,C16,40
C13,D16,240
D4,D16,40
C14,E16,240
D4,E16,40
C15,F16,240
D3,F16,40
C16,G16,240
D3,G16,40
C17,H16,240
D2,H16,40
C18,I16,240
D2,I16,40
C18,J16,240
D2,J16,40
C19,K16,240
D2,K16,40
C20,L16,240
D6,L16,40
C21,M16,240
D6,M16,40
C22,N16,240
D5,N16,40
C11,B17,240
D5,B17,40
C12,C17,240
D5,C17,40
C13,D17,240
D4,D17,40
C14,E17,240
D4,E17,40
C15,F17,240
D3,F17,40
C16,G17,240
D3,G17,40
C17,H17,240
D2,H17,40
C18,I17,240
D2,I17,40
C18,J17,240
D2,J17,40
C19,K17,240
D2,K17,40
C20,L17,240
D6,L17,40
C21,M17,240
D6,M17,40
C22,N17,240
D5,N17,40
C11,B18,240
D6,B18,40
C12,C18,240
D5,C18,40
C13,D18,240
D5,D18,40
C14,E18,240
D4,E18,40
C15,F18,240
D4,F18,40
C16,G18,240
D3,G18,40
C17,H18,240
D3,H18,40
C18,I18,240
D2,I18,40
C19,J18,240
D2,J18,40
C19,K18,240
D2,K18,40
C20,L18,240
D2,L18,40
C21,M18,240
D6,M18,40
C22,N18,240
D6,N18,40
C11,B19,240
D6,B19,40
C12,C19,240
D5,C19,40
C13,D19,240
D5,D19,40
C14,E19,240
D4,E19,40
C15,F19,240
D4,F19,40
C16,G19,240
D3,G19,40
C17,H19,240
D3,H19,40
C18,I19,240
D2,I19,40
C19,J19,240
D2,J19,40
C19,K19,240
D2,K19,40
C20,L19,240
D2,L19,40
C21,M19,240
D6,M19,40
C22,N19,240
D6,N19,40
C11,B20,240
D6,B20,40
C12,C20,240
D6,C20,40
C13,D20,240
D5,D20,40
C14,E20,240
D5,E20,40
C15,F20,240
D4,F20,40
C16,G20,240
D4,G20,40
C17,H20,240
D3,H20,40
C18,I20,240
D3,I20,40
C19,J20,240
D2,J20,40
C20,K20,240
D2,K20,40
C20,L20,240
D2,L20,40
C21,M20,240
D2,M20,40
C22,N20,240
D6,N20,40
C11,B21,240
D6,B21,40
C12,C21,240
D6,C21,40
C13,D21,240
D5,D21,40
C14,E21,240
D5,E21,40
C15,F21,240
D4,F21,40
C16,G21,240
D4,G21,40
C17,H21,240
D3,H21,40
C18,I21,240
D3,I21,40
C19,J21,240
D2,J21,40
C20,K21,240
D2,K21,40
C20,L21,240
D2,L21,40
C21,M21,240
D2,M21,40
C22,N21,240
D6,N21,40
C11,B22,240
D2,B22,40
C12,C22,240
D6,C22,40
C13,D22,240
D6,D22,40
C14,E22,240
D5,E22,40
C15,F22,240
D5,F22,40
C16,G22,240
D4,G22,40
C17,H22,240
D4,H22,40
C18,I22,240
D3,I22,40
C19,J22,240
D3,J22,40
C20,K22,240
D2,K22,40
C21,L22,240
D2,L22,40
C21,M22,240
D2,M22,40
C22,N22,240
D2,N22,40
C11,B23,240
D2,B23,40
C12,C23,240
D6,C23,40
C13,D23,240
D6,D23,40
C14,E23,240
D5,E23,40
C15,F23,240
