row,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
B,empty,sample13_inducer1-2_1,sample13_inducer1-2_2,sample13_inducer1-2_3,sample13_inducer1-2_4,sample13_inducer2-2_1,sample13_inducer2-2_2,sample13_inducer2-2_3,sample13_inducer2-2_4,sample13_inducer3-2_1,sample13_inducer3-2_2,sample13_inducer3-2_3,sample13_inducer3-2_4,sample13_inducer4-2_1,sample13_inducer4-2_2,sample13_inducer4-2_3,sample13_inducer4-2_4,sample13_inducer5-2_1,sample13_inducer5-2_2,sample13_inducer5-2_3,sample13_inducer5-2_4,sample13_inducer1-2_5,sample13_inducer1-2_6,empty
C,empty,sample13_inducer1-2_7,sample13_inducer1-2_8,sample14_inducer1-2_1,sample14_inducer1-2_2,sample14_inducer1-2_3,sample14_inducer1-2_4,sample14_inducer2-2_1,sample14_inducer2-2_2,sample14_inducer2-2_3,sample14_inducer2-2_4,sample14_inducer3-2_1,sample14_inducer3-2_2,sample14_inducer3-2_3,sample14_inducer3-2_4,sample14_inducer4-2_1,sample14_inducer4-2_2,sample14_inducer4-2_3,sample14_inducer4-2_4,sample14_inducer5-2_1,sample14_inducer5-2_2,sample14_inducer5-2_3,sample14_inducer5-2_4,empty
D,empty,sample14_inducer1-2_5,sample14_inducer1-2_6,sample14_inducer1-2_7,sample14_inducer1-2_8,sample15_inducer1-2_1,sample15_inducer1-2_2,sample15_inducer1-2_3,sample15_inducer1-2_4,sample15_inducer2-2_1,sample15_inducer2-2_2,sample15_inducer2-2_3,sample15_inducer2-2_4,sample15_inducer3-2_1,sample15_inducer3-2_2,sample15_inducer3-2_3,sample15_inducer3-2_4,sample15_inducer4-2_1,sample15_inducer4-2_2,sample15_inducer4-2_3,sample15_inducer4-2_4,sample15_inducer5-2_1,sample15_inducer5-2_2,empty
E,empty,sample15_inducer5-2_3,sample15_inducer5-2_4,sample15_inducer1-2_5,sample15_inducer1-2_6,sample15_inducer1-2_7,sample15_inducer1-2_8,sample16_inducer1-2_1,sample16_inducer1-2_2,sample16_inducer1-2_3,sample16_inducer1-2_4,sample16_inducer2-2_1,sample16_inducer2-2_2,sample16_inducer2-2_3,sample16_inducer2-2_4,sample16_inducer3-2_1,sample16_inducer3-2_2,sample16_inducer3-2_3,sample16_inducer3-2_4,sample16_inducer4-2_1,sample16_inducer4-2_2,sample16_inducer4-2_3,sample16_inducer4-2_4,empty
F,empty,sample16_inducer5-2_1,sample16_inducer5-2_2,sample16_inducer5-2_3,sample16_inducer5-2_4,sample16_inducer1-2_5,sample16_inducer1-2_6,sample16_inducer1-2_7,sample16_inducer1-2_8,sample17_inducer1-2_1,sample17_inducer1-2_2,sample17_inducer1-2_3,sample17_inducer1-2_4,sample17_inducer2-2_1,sample17_inducer2-2_2,sample17_inducer2-2_3,sample17_inducer2-2_4,sample17_inducer3-2_1,sample17_inducer3-2_2,sample17_inducer3-2_3,sample17_inducer3-2_4,sample17_inducer4-2_1,sample17_inducer4-2_2,empty
G,empty,sample17_inducer4-2_3,sample17_inducer4-2_4,sample17_inducer5-2_1,sample17_inducer5-2_2,sample17_inducer5-2_3,sample17_inducer5-2_4,sample17_inducer1-2_5,sample17_inducer1-2_6,sample17_inducer1-2_7,sample17_inducer1-2_8,sample18_inducer1-2_1,sample18_inducer1-2_2,sample18_inducer1-2_3,sample18_inducer1-2_4,sample18_inducer2-2_1,sample18_inducer2-2_2,sample18_inducer2-2_3,sample18_inducer2-2_4,sample18_inducer3-2_1,sample18_inducer3-2_2,sample18_inducer3-2_3,sample18_inducer3-2_4,empty
H,empty,sample18_inducer4-2_1,sample18_inducer4-2_2,sample18_inducer4-2_3,sample18_inducer4-2_4,sample18_inducer5-2_1,sample18_inducer5-2_2,sample18_inducer5-2_3,sample18_inducer5-2_4,sample18_inducer1-2_5,sample18_inducer1-2_6,sample18_inducer1-2_7,sample18_inducer1-2_8,sample19_inducer1-2_1,sample19_inducer1-2_2,sample19_inducer1-2_3,sample19_inducer1-2_4,sample19_inducer2-2_1,sample19_inducer2-2_2,sample19_inducer2-2_3,sample19_inducer2-2_4,sample19_inducer3-2_1,sample19_inducer3-2_2,empty
I,empty,sample19_inducer3-2_3,sample19_inducer3-2_4,sample19_inducer4-2_1,sample19_inducer4-2_2,sample19_inducer4-2_3,sample19_inducer4-2_4,sample19_inducer5-2_1,sample19_inducer5-2_2,sample19_inducer5-2_3,sample19_inducer5-2_4,sample19_inducer1-2_5,sample19_inducer1-2_6,sample19_inducer1-2_7,sample19_inducer1-2_8,sample20_inducer1-2_1,sample20_inducer1-2_2,sample20_inducer1-2_3,sample20_inducer1-2_4,sample20_inducer2-2_1,sample20_inducer2-2_2,sample20_inducer2-2_3,sample20_inducer2-2_4,empty
J,empty,sample20_inducer3-2_1,sample20_inducer3-2_2,sample20_inducer3-2_3,sample20_inducer3-2_4,sample20_inducer4-2_1,sample20_inducer4-2_2,sample20_inducer4-2_3,sample20_inducer4-2_4,sample20_inducer5-2_1,sample20_inducer5-2_2,sample20_inducer5-2_3,sample20_inducer5-2_4,sample20_inducer1-2_5,sample20_inducer1-2_6,sample20_inducer1-2_7,sample20_inducer1-2_8,sample21_inducer1-2_1,sample21_inducer1-2_2,sample21_inducer1-2_3,sample21_inducer1-2_4,sample21_inducer2-2_1,sample21_inducer2-2_2,empty
