row,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
B,empty,sample37_inducer1-4_1,sample37_inducer1-4_2,sample37_inducer1-4_3,sample37_inducer1-4_4,sample37_inducer2-4_1,sample37_inducer2-4_2,sample37_inducer2-4_3,sample37_inducer2-4_4,sample37_inducer3-4_1,sample37_inducer3-4_2,sample37_inducer3-4_3,sample37_inducer3-4_4,sample37_inducer4-4_1,sample37_inducer4-4_2,sample37_inducer4-4_3,sample37_inducer4-4_4,sample37_inducer5-4_1,sample37_inducer5-4_2,sample37_inducer5-4_3,sample37_inducer5-4_4,sample37_inducer1-4_5,sample37_inducer1-4_6,empty
C,empty,sample37_inducer1-4_7,sample37_inducer1-4_8,sample38_inducer1-4_1,sample38_inducer1-4_2,sample38_inducer1-4_3,sample38_inducer1-4_4,sample38_inducer2-4_1,sample38_inducer2-4_2,sample38_inducer2-4_3,sample38_inducer2-4_4,sample38_inducer3-4_1,sample38_inducer3-4_2,sample38_inducer3-4_3,sample38_inducer3-4_4,sample38_inducer4-4_1,sample38_inducer4-4_2,sample38_inducer4-4_3,sample38_inducer4-4_4,sample38_inducer5-4_1,sample38_inducer5-4_2,sample38_inducer5-4_3,sample38_inducer5-4_4,empty
D,empty,sample38_inducer1-4_5,sample38_inducer1-4_6,sample38_inducer1-4_7,sample38_inducer1-4_8,sample39_inducer1-4_1,sample39_inducer1-4_2,sample39_inducer1-4_3,sample39_inducer1-4_4,sample39_inducer2-4_1,sample39_inducer2-4_2,sample39_inducer2-4_3,sample39_inducer2-4_4,sample39_inducer3-4_1,sample39_inducer3-4_2,sample39_inducer3-4_3,sample39_inducer3-4_4,sample39_inducer4-4_1,sample39_inducer4-4_2,sample39_inducer4-4_3,sample39_inducer4-4_4,sample39_inducer5-4_1,sample39_inducer5-4_2,empty
E,empty,sample39_inducer5-4_3,sample39_inducer5-4_4,sample39_inducer1-4_5,sample39_inducer1-4_6,sample39_inducer1-4_7,sample39_inducer1-4_8,sample40_inducer1-4_1,sample40_inducer1-4_2,sample40_inducer1-4_3,sample40_inducer1-4_4,sample40_inducer2-4_1,sample40_inducer2-4_2,sample40_inducer2-4_3,sample40_inducer2-4_4,sample40_inducer3-4_1,sample40_inducer3-4_2,sample40_inducer3-4_3,sample40_inducer3-4_4,sample40_inducer4-4_1,sample40_inducer4-4_2,sample40_inducer4-4_3,sample40_inducer4-4_4,empty
F,empty,sample40_inducer5-4_1,sample40_inducer5-4_2,sample40_inducer5-4_3,sample40_inducer5-4_4,sample40_inducer1-4_5,sample40_inducer1-4_6,sample40_inducer1-4_7,sample40_inducer1-4_8,sample41_inducer1-4_1,sample41_inducer1-4_2,sample41_inducer1-4_3,sample41_inducer1-4_4,sample41_inducer2-4_1,sample41_inducer2-4_2,sample41_inducer2-4_3,sample41_inducer2-4_4,sample41_inducer3-4_1,sample41_inducer3-4_2,sample41_inducer3-4_3,sample41_inducer3-4_4,sample41_inducer4-4_1,sample41_inducer4-4_2,empty
G,empty,sample41_inducer4-4_3,sample41_inducer4-4_4,sample41_inducer5-4_1,sample41_inducer5-4_2,sample41_inducer5-4_3,sample41_inducer5-4_4,sample41_inducer1-4_5,sample41_inducer1-4_6,sample41_inducer1-4_7,sample41_inducer1-4_8,sample42_inducer1-4_1,sample42_inducer1-4_2,sample42_inducer1-4_3,sample42_inducer1-4_4,sample42_inducer2-4_1,sample42_inducer2-4_2,sample42_inducer2-4_3,sample42_inducer2-4_4,sample42_inducer3-4_1,sample42_inducer3-4_2,sample42_inducer3-4_3,sample42_inducer3-4_4,empty
H,empty,sample42_inducer4-4_1,sample42_inducer4-4_2,sample42_inducer4-4_3,sample42_inducer4-4_4,sample42_inducer5-4_1,sample42_inducer5-4_2,sample42_inducer5-4_3,sample42_inducer5-4_4,sample42_inducer1-4_5,sample42_inducer1-4_6,sample42_inducer1-4_7,sample42_inducer1-4_8,sample43_inducer1-4_1,sample43_inducer1-4_2,sample43_inducer1-4_3,sample43_inducer1-4_4,sample43_inducer2-4_1,sample43_inducer2-4_2,sample43_inducer2-4_3,sample43_inducer2-4_4,sample43_inducer3-4_1,sample43_inducer3-4_2,empty
I,empty,sample43_inducer3-4_3,sample43_inducer3-4_4,sample43_inducer4-4_1,sample43_inducer4-4_2,sample43_inducer4-4_3,sample43_inducer4-4_4,sample43_inducer5-4_1,sample43_inducer5-4_2,sample43_inducer5-4_3,sample43_inducer5-4_4,sample43_inducer1-4_5,sample43_inducer1-4_6,sample43_inducer1-4_7,sample43_inducer1-4_8,sample44_inducer1-4_1,sample44_inducer1-4_2,sample44_inducer1-4_3,sample44_inducer1-4_4,sample44_inducer2-4_1,sample44_inducer2-4_2,sample44_inducer2-4_3,sample44_inducer2-4_4,empty
J,empty,sample44_inducer3-4_1,sample44_inducer3-4_2,sample44_inducer3-4_3,sample44_inducer3-4_4,sample44_inducer4-4_1,sample44_inducer4-4_2,sample44_inducer4-4_3,sample44_inducer4-4_4,sample44_inducer5-4_1,sample44_inducer5-4_2,sample44_inducer5-4_3,sample44_inducer5-4_4,sample44_inducer1-4_5,sample44_inducer1-4_6,sample44_inducer1-4_7,sample44_inducer1-4_8,sample45_inducer1-4_1,sample45_inducer1-4_2,sample45_inducer1-4_3,sample45_inducer1-4_4,sample45_inducer2-4_1,sample45_inducer2-4_2,empty
