time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,4,18,5,0,3,-19,-10,-19,-33,-36,-28,-46,35,29,8,-16,-10,-19,-21,-41,-6,-21,-33,-38,29,30,33,25,24,18,-26,-28,-22,-50,-60,-36,46,33,33,28,53,7,36,23,31,21,8,7,222,184,195,251,432,149,26,13,24,12,-1,-6,21,7,14,19,16,1,13,5,28,13,8,-8,7,14,22,5,10,-20,,,23,26,,,23,26,877,824
20,4,18,5,0,3,-19,-10,-19,-33,-36,-28,-46,35,29,8,-16,-10,-19,-21,-41,-6,-21,-33,-38,29,30,33,25,24,18,-26,-28,-22,-50,-60,-36,46,33,33,28,53,7,36,23,31,21,8,7,222,184,195,251,432,149,26,13,24,12,-1,-6,21,7,14,19,16,1,13,5,28,13,8,-8,7,14,22,5,10,-20,,,23,26,,,23,26,877,824
40,24,10,16,8,6,18,-2,-2,-6,-4,-12,-10,20,20,14,-32,-24,10,-6,-28,-12,-20,-14,-18,14,50,66,70,80,58,6,-16,-10,-24,-26,-30,32,158,180,206,202,206,28,10,22,22,10,8,518,552,558,550,550,534,16,16,18,12,8,14,14,12,4,12,84,120,16,24,12,4,14,20,6,76,84,100,78,84,,,24,24,,,38,27,826,887
60,25,23,23,12,4,10,1,11,2,-11,-3,-7,23,26,-14,-12,-36,12,-5,-42,-20,-9,-8,-16,12,71,100,134,148,144,-13,-11,-10,-22,-19,-23,27,305,396,456,470,494,25,10,33,18,15,16,805,837,831,833,842,809,25,20,22,17,22,7,17,-11,-2,7,128,191,16,13,6,8,16,8,3,224,244,239,226,268,,,29,24,,,38,27,1098,1151
80,34,24,21,17,24,32,13,7,-3,6,8,7,37,30,8,-19,-18,65,2,-31,-4,-5,-13,-15,22,84,140,207,264,301,-2,0,-7,-9,-2,-9,36,516,748,869,917,938,20,25,24,15,26,20,1219,1266,1222,1225,1243,1178,31,33,29,25,26,22,12,7,18,22,212,382,18,33,29,18,33,23,20,555,612,595,591,659,,,29,30,,,46,53,1359,1408
100,25,23,19,33,76,112,13,4,17,13,22,28,22,29,8,-29,-19,230,-15,-35,-3,3,4,-2,13,107,189,323,478,531,1,1,-13,-7,-20,-9,43,901,1373,1617,1699,1717,32,25,29,23,29,22,1893,1871,1831,1820,1798,1691,22,26,25,37,34,20,18,21,16,26,378,727,26,27,31,19,18,26,24,1246,1368,1355,1280,1444,,,31,23,,,48,51,1579,1660
120,32,28,30,138,368,468,8,6,18,36,92,150,36,18,4,-22,-26,538,-6,-28,-2,-4,12,8,36,108,244,526,838,954,16,2,-6,-10,2,8,52,1392,2232,2698,2856,2968,36,32,24,36,56,70,3002,2912,2742,2658,2634,2534,38,32,32,44,40,48,22,10,6,44,624,1240,20,26,28,20,32,50,20,2210,2570,2498,2438,2752,,,40,38,,,60,61,1912,2048
140,59,39,90,568,1190,1427,30,27,26,113,339,496,55,48,12,-23,-21,1023,18,-29,21,21,42,50,39,152,395,996,1619,1869,13,9,20,11,32,51,86,2304,3665,4412,4650,4767,34,37,50,72,138,167,4662,4529,4288,4157,4091,3898,49,52,54,62,89,80,43,41,43,66,1104,2149,49,50,45,50,90,93,47,3700,4422,4357,4213,4743,,,66,59,,,99,104,2437,2579
160,92,136,614,2212,3268,3502,58,57,139,492,1048,1258,79,74,32,-7,-6,1773,43,-22,53,62,118,128,71,227,741,1882,3036,3446,54,43,37,68,136,179,128,3831,5847,6844,7220,7363,69,51,81,148,313,369,6738,6621,6303,6125,6006,5757,75,79,94,119,171,180,72,65,68,147,1999,3599,70,81,77,115,211,216,86,5831,7058,6936,6698,7491,,,98,80,,,125,129,3110,3290
180,124.5,2119.5,5056.5,7524.5,8427.5,8184.5,86.5,382.5,1577.5,2447.5,3118.5,3084.5,117.5,111.5,62.5,-3.5,-2.5,3698.5,78.5,-10.5,236.5,298.5,374.5,359.5,106.5,452.5,1635.5,3601.5,5332.5,5861.5,77.5,98.5,398.5,586.5,823.5,825.5,237.5,6799.5,9190.5,10546.5,11032.5,11191.5,99.5,99.5,209.5,534.5,833.5,795.5,9266.5,9305.5,9066.5,8982.5,8854.5,8474.5,99.5,119.5,174.5,303.5,453.5,409.5,103.5,100.5,113.5,391.5,4498.5,6907.5,95.5,114.5,176.5,435.5,766.5,637.5,133.5,9623.5,11673.5,11303.5,10744.5,11839.5,,,138.5,124.5,,,187,189,4180,4472
