time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
200,388.5,19104.5,28104.5,32775.5,33507.5,31318.5,233.5,4489.5,10160.5,11737.5,12144.5,11177.5,296.5,274.5,164.5,-23.5,43.5,17618.5,221.5,-5.5,1912.5,1915.5,1845.5,1450.5,274.5,1395.5,5286.5,11659.5,17049.5,18406.5,236.5,1495.5,5184.5,5831.5,5933.5,5211.5,800.5,24680.5,30881.5,33677.5,34045.5,33652.5,219.5,490.5,2370.5,3883.5,4394.5,3712.5,22516.5,23661.5,24491.5,25361.5,24953.5,23888.5,265.5,341.5,731.5,1361.5,1812.5,1572.5,319.5,300.5,373.5,1824.5,18651.5,25612.5,285.5,320.5,1234.5,3454.5,4427.5,3363.5,387.5,29719.5,37681.5,35591.5,33129.5,36166.5,,,369.5,341.5,,,508.5,504.5,11222.5,11982.5
220,657.5,42678.5,50285.5,52925.5,52278.5,48354.5,405.5,12729.5,19567.5,20184.5,19085.5,16655.5,432.5,406.5,281.5,-12.5,90.5,30332.5,347.5,93.5,4481.5,4208.5,3544.5,2469.5,410.5,2229.5,8153.5,16975.5,24134.5,26113.5,369.5,6817.5,13357.5,13418.5,12569.5,10228.5,1384.5,37724.5,46914.5,51379.5,52309.5,52321.5,326.5,1157.5,5590.5,8182.5,8276.5,6867.5,28295.5,29562.5,31506.5,34025.5,33866.5,32805.5,385.5,560.5,1366.5,2529.5,3040.5,2506.5,466.5,484.5,594.5,3573.5,32799.5,41598.5,402.5,573.5,3467.5,8382.5,9196.5,6681.5,598.5,36541.5,59461.5,55955.5,51518.5,54813.5,,,504.5,516.5,,,697.5,708.5,15551.5,16571.5
240,994,71838,77008,77686,74910,68066,574,24668,31513,30635,27912,23207,587,540,408,11,189,48027,513,374,7799,7018,5611,3734,575,3333,12119,24507,33874,36285,540,16393,25265,24508,21928,16805,1802,53428,67694,73249,74455,73490,437,2377,10449,14023,13264,10469,35785,38186,42656,47930,47965,46240,559,854,2174,3768,4343,3435,676,660,819,4899,50967,64001,551,1099,7367,15699,15625,10945,868,38198,79318,82165,75732,79275,,,681,663,,,912.5,915.5,20998.5,22350.5
260,1219.5,104646.5,107540.5,106529.5,101472.5,91874.5,762.5,39368.5,45291.5,42430.5,36732.5,30064.5,763.5,719.5,548.5,16.5,275.5,64919.5,696.5,1316.5,11944.5,10696.5,8324.5,5327.5,700.5,4831.5,17333.5,34357.5,46562.5,49011.5,739.5,28430.5,39506.5,37997.5,33305.5,24820.5,2200.5,66558.5,89384.5,99240.5,101496.5,101311.5,537.5,4462.5,16569.5,20875.5,18945.5,14632.5,44834.5,47816.5,55360.5,66203.5,66757.5,64937.5,685.5,1267.5,3295.5,5548.5,5950.5,4388.5,835.5,867.5,1100.5,5970.5,68833.5,87190.5,710.5,2218.5,13272.5,25577.5,23908.5,16325.5,1169.5,38085.5,90698.5,110813.5,103520.5,107594.5,,,832.5,813.5,,,1100.5,1111.5,25047.5,26333.5
280,1567,140887,141072,136552,130910,119325,921,57418,61564,56152,47431,37565,940,892,745,72,464,83732,886,3518,17950,16016,12158,7366,909,5768,20393,41931,60066,65573,925,45451,57708,53835,46605,34316,2570,78478,110633,125521,130359,131156,672,8029,24242,28567,24972,18813,55878,60060,71583,88301,89000,86826,879,1898,5111,8315,8361,5790,1057,1065,1312,7084,83523,114119,915,4588,23159,38257,34766,23213,1435,37818,95848,143662,133710,136975,,,992,986,,,1261,1265,27801,29195
300,1885.5,183741.5,176653.5,169661.5,163449.5,149002.5,1142.5,77459.5,81219.5,72588.5,60189.5,46464.5,1060.5,1014.5,912.5,78.5,693.5,107042.5,1036.5,6250.5,24157.5,22578.5,17157.5,10094.5,1029.5,6461.5,22162.5,44909.5,65394.5,73474.5,1134.5,66117.5,79304.5,75070.5,63662.5,45931.5,2990.5,87788.5,132974.5,155285.5,160079.5,161958.5,782.5,13073.5,33662.5,37649.5,31971.5,23240.5,69232.5,74739.5,91751.5,116320.5,117155.5,115030.5,989.5,2346.5,6953.5,11458.5,11631.5,7455.5,1240.5,1262.5,1511.5,7852.5,95212.5,135293.5,1058.5,6898.5,35311.5,56069.5,50560.5,31784.5,1663.5,37144.5,98395.5,180615.5,167025.5,170667.5,,,1119.5,1117.5,,,1471.5,1464.5,31233.5,32619.5
320,2114,225464,213941,203678,196732,181823,1274,101847,98322,89906,75249,56710,1231,1163,1053,142,1096,137265,1201,10005,30039,29221,22504,13264,1136,6995,23384,47480,68558,77237,1349,90315,104671,99154,85015,60779,3319,96653,151621,183016,194427,197043,893,18635,43624,48167,40170,28184,85347,92859,114801,148794,150044,148079,1155,2745,8325,14662,15075,9624,1416,1442,1741,8347,103577,151148,1237,8694,47944,75437,66992,43612,1909,37297,99445,217529,203746,206565,,,1265,1253,,,1638.5,1638.5,34411.5,36018.5
340,2367.5,257737.5,252123.5,239313.5,231940.5,215152.5,1464.5,125635.5,120246.5,105180.5,87793.5,68599.5,1383.5,1360.5,1197.5,292.5,1675.5,164695.5,1395.5,15302.5,35176.5,34736.5,27083.5,16255.5,1351.5,7429.5,24596.5,49152.5,71141.5,80123.5,1562.5,116610.5,132410.5,126406.5,109477.5,77338.5,3610.5,103568.5,168675.5,207878.5,226887.5,232729.5,1002.5,23204.5,55933.5,59646.5,49624.5,33864.5,103076.5,112292.5,142696.5,184572.5,186437.5,184467.5,1314.5,3031.5,9182.5,16581.5,18082.5,12027.5,1620.5,1638.5,1927.5,8666.5,108107.5,163731.5,1395.5,9897.5,59508.5,95671.5,84963.5,56862.5,2206.5,37490.5,99072.5,248604.5,245029.5,247000.5,,,1420.5,1384.5,,,1779.5,1824.5,37397.5,39139.5
360,2585,257736,257736,257736,257736,251163,1619,146836,141831,122608,101408,77714,1578,1489,1384,793,2624,188515,1566,20716,40112,40629,31836,18933,1510,7861,25529,50893,73590,82470,1771,142151,160637,155412,135721,95427,3871,107882,182633,231002,255484,257736,1177,26599,69237,69298,60106,40420,121085,133417,172137,224824,225861,223071,1472,3296,9820,17967,20032,14263,1832,1817,2127,8812,110344,171474,1555,10721,69093,116559,103698,71404,2462,37890,98723,257736,257736,257736,,,1588,1547,,,1960.5,1994.5,39826.5,41629.5
380,2772.5,257718.5,257718.5,257718.5,257718.5,257718.5,1794.5,168637.5,161394.5,136342.5,113376.5,85933.5,1708.5,1634.5,1508.5,1533.5,4405.5,206687.5,1754.5,25742.5,44140.5,45817.5,37167.5,21794.5,1684.5,8245.5,26374.5,52014.5,74765.5,84382.5,1909.5,164845.5,184754.5,182563.5,162882.5,115080.5,4051.5,110219.5,193952.5,251563.5,257718.5,257718.5,1331.5,29613.5,79076.5,80744.5,68029.5,47390.5,136544.5,152876.5,203577.5,257718.5,257718.5,257718.5,1628.5,3561.5,10349.5,19139.5,21958.5,15970.5,1976.5,2001.5,2275.5,9034.5,111336.5,176511.5,1761.5,11375.5,77104.5,136332.5,122645.5,85857.5,2696.5,37894.5,99070.5,257718.5,257718.5,257718.5,,,1679.5,1671.5,,,2100,2072,41882,44069
