name,short_name,construct_id
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP4-P(Cym)-30-sgp41-8,e41x30gp418,A292
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP4-P(Cym)-32-sgp41-8,e41x32gp418,A293
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP5-P(Cym)-32-sNrdJ-1,e41x32NrdJ1,A294
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP6-P(Cym)-30-(ST)sIMPDH-1,e41x30STIMPDH1,A296
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP7-P(Cym)-30-(ST)sSspDnaX,e41x30STsSspDnaX,A298
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP8-P(Cym)-30-sSspGyrB,e41x30SspGyrB,A299
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP11-P(Cym)-30-(ST)sPhoRadA,e41x30STPhoRadA,A303
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP11-P(Cym)-32-(ST)sPhoRadA,e41x32STPhoRadA,A304
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP29-P(Cym)-30-sSaP_dpol,e41x30SaPdpol,A308
3K3-P41*-gfp-B15-P(ara)-sECF41*-SP31-P(Cym)-32-sNrdA-2,e41x32NrdA2,A309
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP1-P(Cym)-32-sM86,e42x32M86,A313
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP3-P(Cym)-32-sgp41-1,e42x32gp411,A317
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP4-P(Cym)-30-sgp41-8,e42x30gp418,A318
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP4-P(Cym)-32-sgp41-8,e42x32gp418,A319
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP5-P(Cym)-32-sNrdJ-1,e42x32NrdJ1,A320
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP5-P(Cym)-33-sNrdJ-1,e42x33NrdJ1,A321
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP6-P(Cym)-32-(ST)sIMPDH-1,e42x32STIMPDH1,A323
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP8-P(Cym)-30-sSspGyrB,e42x30SspGyrB,A325
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP11-P(Cym)-30-(ST)sPhoRadA,e42x30STPhoRadA,A329
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP11-P(Cym)-32-(ST)sPhoRadA,e42x32STPhoRadA,A330
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP29-P(Cym)-30-sSaP_dpol,e42x30SaPdpol,A334
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP31-P(Cym)-32-sNrdA-2,e42x32NrdA2,A335
3K3-P42*-gfp-B15-P(ara)-sECF42*-SP31-P(Cym)-33-sNrdA-2,e42x33NrdA2,A336
