Well,Content,Group, Blank corrected based on Raw Data (485-12/520 3), Blank corrected based on Raw Data (485-12/520 2)
A01,Sample X1,A,-14,-4
A02,Sample X2,A,19,10
A03,Sample X3,A,10,-3
A04,Sample X4,A,-17,-8
A05,Sample X5,A,-9,-5
A06,Sample X6,A,-29,-27
A07,Sample X7,A,-36,-18
A08,Sample X8,A,-64,-27
A09,Sample X9,A,-86,-41
A10,Sample X10,A,-65,-44
A11,Sample X11,A,-60,-36
A12,Sample X12,A,-83,-54
B01,Sample X13,A,64,27
B02,Sample X14,A,22,21
B03,Sample X15,A,2,0
B04,Sample X16,A,-38,-24
B05,Sample X17,A,-61,-18
B06,Sample X18,A,-33,-27
B07,Sample X19,A,-28,-29
B08,Sample X20,A,-98,-49
B09,Sample X21,A,-21,-14
B10,Sample X22,A,-54,-29
B11,Sample X23,A,-65,-41
B12,Sample X24,A,-105,-46
C01,Sample X25,A,17,21
C02,Sample X26,A,52,22
C03,Sample X27,A,45,25
C04,Sample X28,A,19,17
C05,Sample X29,A,44,16
C06,Sample X30,A,26,10
C07,Sample X31,A,-65,-34
C08,Sample X32,A,-50,-36
C09,Sample X33,A,-68,-30
C10,Sample X34,A,-82,-58
C11,Sample X35,A,-94,-68
C12,Sample X36,A,-109,-44
D01,Sample X37,A,49,38
D02,Sample X38,A,42,25
D03,Sample X39,A,34,25
D04,Sample X40,A,29,20
D05,Sample X41,A,54,45
D06,Sample X42,A,12,-1
D07,Sample X43,A,54,28
D08,Sample X44,A,18,15
D09,Sample X45,A,22,23
D10,Sample X46,A,10,13
D11,Sample X47,A,-19,0
D12,Sample X48,A,2,-1
E01,Sample X49,A,413,214
E02,Sample X50,A,357,176
E03,Sample X51,A,376,187
E04,Sample X52,A,482,243
E05,Sample X53,A,777,424
E06,Sample X54,A,343,141
E07,Sample X55,A,31,18
E08,Sample X56,A,12,5
E09,Sample X57,A,24,16
E10,Sample X58,A,30,4
E11,Sample X59,A,-22,-9
E12,Sample X60,A,-22,-14
F01,Sample X61,A,18,13
F02,Sample X62,A,20,-1
F03,Sample X63,A,24,6
F04,Sample X64,A,-8,11
F05,Sample X65,A,5,8
F06,Sample X66,A,1,-7
F07,Sample X67,A,8,5
F08,Sample X68,A,20,-3
F09,Sample X69,A,19,20
F10,Sample X70,A,-2,5
F11,Sample X71,A,-30,0
F12,Sample X72,A,-21,-16
G01,Sample X73,A,3,-1
G02,Sample X74,A,34,6
G03,Sample X75,A,20,14
G04,Sample X76,A,-19,-3
G05,Sample X77,A,-4,2
G06,Sample X78,A,-48,-28
G07,Sample X79,A,-1811,-941
G08,Sample X80,A,-1806,-940
G09,Sample X81,A,-1817,-944
G10,Sample X82,A,-1829,-946
G11,Sample X83,A,-1825,-949
G12,Sample X84,A,-1828,-954
H01,Blank B,A,,
H02,Blank B,A,,
H03,Blank B,A,,
H04,Negative control N,A,22,18
H05,Negative control N,A,9,0
H06,Negative control N,A,-26,-22
H07,Blank B,B,,
H08,Blank B,B,,
H09,Negative control N,B,74,23
H10,Negative control N,B,62,26
H11,Positive control P,B,1584,877
H12,Positive control P,B,1518,824
