pcymrc,pbad
0.002944586,0.012239156
0.001129314,0.014935265
0.002002659,0.009800664
0.001981417,0.009394034
0.002267303,0.009637977
0.001616127,0.010851193
0.002011743,0.015832901
0.010758918,0.078566263
0.095605728,1.297312272
0.406301912,4.994859194
0.728533662,7.600299927
1.254445221,8.096154115
