time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,pCin/OHC14_6,pCin/OHC14_7,pCin/OHC14_8,pCin/OHC14_9,pCin/OHC14_10,pCin/OHC14_11,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,pLuxB/AHL_6,pLuxB/AHL_7,pLuxB/AHL_8,pLuxB/AHL_9,pLuxB/AHL_10,pLuxB/AHL_11,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,pPhlF/DAPG_6,pPhlF/DAPG_7,pPhlF/DAPG_8,pPhlF/DAPG_9,pPhlF/DAPG_10,pPhlF/DAPG_11,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,pSalTTC/Sal_6,pSalTTC/Sal_7,pSalTTC/Sal_8,pSalTTC/Sal_9,pSalTTC/Sal_10,pSalTTC/Sal_11,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,28.0,15.0,5.0,7.0,6.0,3.0,-1.0,4.0,11.0,-1.0,2.0,1.0,15.0,1.0,-7.0,-10.0,-12.0,-11.0,-12.0,-13.0,-6.0,-17.0,-5.0,31.0,11.0,5.0,3.0,8.0,0.0,2.0,-9.0,7.0,5.0,0.0,14.0,52.0,12.0,-6.0,-8.0,-7.0,-8.0,-4.0,-13.0,-16.0,-5.0,-18.0,-6.0,-4.0,500.0,1027.0,640.0,530.0,603.0,815.0,773.0,716.0,569.0,798.0,807.0,538.0,-1.0,-3.0,-5.0,-13.0,-15.0,-14.0,-18.0,-24.0,-42.0,-63.0,-89.0,-126.0,5.0,6.0,-5.0,-8.0,-15.0,-15.0,-4.0,-1.0,-16.0,-20.0,-16.0,-12.0,,,-4.0,-5.0,,,-0.5,8.5,577.5,140.5
20,19.5,7.5,-1.5,-1.5,1.5,1.5,-7.5,-8.5,-3.5,-12.5,-3.5,-3.5,7.5,-9.5,-13.5,-20.5,-18.5,-15.5,-11.5,-18.5,-11.5,-20.5,6.5,21.5,7.5,2.5,0.5,6.5,-2.5,1.5,-5.5,-3.5,-1.5,5.5,10.5,45.5,14.5,-6.5,-7.5,-13.5,-9.5,-16.5,-8.5,-11.5,-12.5,-11.5,4.5,2.5,733.5,764.5,597.5,652.5,667.5,631.5,813.5,680.5,552.5,768.5,657.5,666.5,6.5,12.5,14.5,13.5,12.5,5.5,1.5,-16.5,-32.5,-55.5,-96.5,-143.5,4.5,-5.5,-9.5,-2.5,-15.5,-12.5,-7.5,-6.5,-11.5,-10.5,-7.5,-5.5,,,-5.5,-2.5,,,10.5,3.5,334.5,108.5
40,20.5,-2.5,2.5,-2.5,-4.5,-0.5,-7.5,-6.5,-2.5,-11.5,-4.5,-4.5,10.5,-6.5,-11.5,-26.5,-26.5,-16.5,-20.5,-19.5,-9.5,-16.5,1.5,24.5,2.5,6.5,11.5,10.5,19.5,33.5,22.5,21.5,10.5,16.5,29.5,48.5,12.5,-13.5,-12.5,-11.5,-5.5,19.5,61.5,62.5,53.5,93.5,89.5,101.5,833.5,858.5,666.5,736.5,749.5,712.5,926.5,754.5,633.5,869.5,742.5,758.5,4.5,92.5,67.5,94.5,83.5,83.5,100.5,51.5,0.5,-49.5,-98.5,-147.5,4.5,32.5,31.5,26.5,16.5,17.5,38.5,35.5,22.5,32.5,35.5,35.5,,,-4.5,-3.5,,,4.0,10.0,449.0,152.0
60,32.5,-0.5,1.5,3.5,5.5,3.5,-1.5,-6.5,3.5,-2.5,-2.5,-4.5,15.5,-8.5,-12.5,-15.5,-15.5,-8.5,-9.5,-9.5,1.5,-10.5,10.5,27.5,14.5,7.5,11.5,31.5,49.5,86.5,65.5,64.5,64.5,70.5,62.5,48.5,15.5,-1.5,-4.5,-3.5,0.5,51.5,147.5,177.5,173.5,266.5,246.5,269.5,996.5,1021.5,793.5,857.5,879.5,844.5,1076.5,894.5,744.5,1016.5,879.5,896.5,8.5,161.5,139.5,180.5,173.5,171.5,211.5,156.5,65.5,-20.5,-86.5,-145.5,14.5,126.5,99.5,130.5,95.5,106.5,140.5,133.5,95.5,138.5,130.5,148.5,,,4.5,-0.5,,,8.5,11.5,588.5,204.5
80,35.5,-2.5,-6.5,-7.5,5.5,6.5,-9.5,-13.5,-13.5,-8.5,-7.5,-3.5,5.5,-12.5,-6.5,-17.5,-3.5,19.5,8.5,7.5,18.5,10.5,19.5,34.5,3.5,-1.5,8.5,29.5,55.5,123.5,101.5,127.5,127.5,140.5,118.5,46.5,15.5,-5.5,-12.5,-11.5,0.5,79.5,251.5,367.5,370.5,545.5,512.5,562.5,1268.5,1274.5,997.5,1076.5,1108.5,1049.5,1336.5,1115.5,924.5,1265.5,1105.5,1137.5,-1.5,294.5,265.5,355.5,333.5,320.5,399.5,298.5,144.5,7.5,-95.5,-152.5,6.5,291.5,251.5,307.5,254.5,257.5,353.5,328.5,246.5,347.5,315.5,360.5,,,4.5,-0.5,,,21.0,17.0,725.0,265.0
100,34.5,6.5,7.5,6.5,10.5,9.5,0.5,-9.5,1.5,1.5,3.5,40.5,23.5,-4.5,34.5,26.5,63.5,124.5,67.5,98.5,99.5,113.5,104.5,58.5,13.5,11.5,16.5,25.5,87.5,206.5,184.5,232.5,240.5,255.5,201.5,49.5,26.5,-1.5,-7.5,-0.5,13.5,119.5,441.5,698.5,734.5,1082.5,1013.5,1101.5,1715.5,1727.5,1343.5,1469.5,1484.5,1411.5,1794.5,1487.5,1250.5,1719.5,1482.5,1537.5,6.5,554.5,523.5,701.5,670.5,657.5,791.5,561.5,281.5,52.5,-91.5,-147.5,10.5,613.5,560.5,682.5,582.5,607.5,791.5,745.5,575.5,804.5,723.5,809.5,,,12.5,5.5,,,31.5,15.5,866.5,326.5
120,53.0,6.0,4.0,0.0,23.0,21.0,2.0,1.0,3.0,11.0,27.0,163.0,23.0,5.0,93.0,72.0,173.0,279.0,165.0,239.0,235.0,240.0,192.0,96.0,24.0,9.0,21.0,40.0,121.0,351.0,307.0,417.0,425.0,446.0,310.0,56.0,36.0,4.0,5.0,7.0,25.0,178.0,707.0,1170.0,1257.0,1819.0,1717.0,1911.0,2321.0,2332.0,1834.0,1983.0,2030.0,1925.0,2428.0,2027.0,1718.0,2316.0,2010.0,2115.0,21.0,912.0,862.0,1175.0,1129.0,1134.0,1377.0,1019.0,516.0,112.0,-90.0,-146.0,21.0,1000.0,994.0,1216.0,1048.0,1130.0,1471.0,1411.0,1104.0,1500.0,1386.0,1524.0,,,24.0,17.0,,,53.0,38.0,1052.0,387.0
140,60.5,6.5,4.5,4.5,21.5,106.5,0.5,1.5,12.5,27.5,95.5,549.5,31.5,17.5,190.5,146.5,344.5,542.5,309.5,462.5,441.5,466.5,330.5,130.5,35.5,9.5,24.5,49.5,183.5,618.5,567.5,778.5,767.5,771.5,483.5,55.5,47.5,7.5,3.5,13.5,47.5,296.5,1171.5,1906.5,2020.5,2879.5,2714.5,2997.5,3101.5,3105.5,2449.5,2637.5,2700.5,2567.5,3204.5,2677.5,2283.5,3083.5,2671.5,2726.5,24.5,1490.5,1408.5,1902.5,1805.5,1809.5,2160.5,1627.5,832.5,199.5,-87.5,-154.5,12.5,1496.5,1542.5,1956.5,1717.5,1886.5,2450.5,2351.5,1856.5,2516.5,2296.5,2549.5,,,24.5,21.5,,,74.5,43.5,1298.5,496.5
160,106.5,23.5,14.5,12.5,64.5,1119.5,16.5,11.5,226.5,225.5,369.5,1499.5,48.5,44.5,379.5,301.5,735.5,1644.5,633.5,900.5,802.5,854.5,542.5,170.5,43.5,20.5,35.5,83.5,390.5,1217.5,1068.5,1413.5,1379.5,1359.5,744.5,56.5,89.5,41.5,31.5,38.5,100.5,583.5,1979.5,3032.5,3202.5,4433.5,4191.5,4534.5,3972.5,3945.5,3135.5,3348.5,3425.5,3226.5,4029.5,3397.5,2907.5,3857.5,3360.5,3385.5,32.5,2825.5,2247.5,2980.5,2803.5,2751.5,3224.5,2434.5,1268.5,323.5,-79.5,-151.5,30.5,2471.5,2402.5,3131.5,2712.5,2995.5,3891.5,3732.5,2924.5,3958.5,3657.5,4024.5,,,53.5,34.5,,,107.5,70.5,1622.5,667.5
180,183.5,47.5,27.5,55.5,213.5,5263.5,59.5,220.5,2583.5,2186.5,1935.5,4123.5,74.5,273.5,1333.5,1150.5,2281.5,3777.5,1898.5,2603.5,2116.5,2212.5,977.5,226.5,71.5,49.5,56.5,184.5,837.5,2247.5,2036.5,2468.5,2300.5,2182.5,1131.5,62.5,195.5,97.5,86.5,143.5,311.5,1507.5,4123.5,5019.5,4868.5,6764.5,6178.5,6573.5,4786.5,4663.5,3779.5,3973.5,4077.5,3823.5,4618.5,4014.5,3506.5,4471.5,3962.5,3941.5,56.5,5645.5,4054.5,5162.5,4460.5,4070.5,4617.5,3512.5,1836.5,496.5,-82.5,-146.5,54.5,4007.5,4066.5,5368.5,4589.5,4972.5,6448.5,6130.5,4712.5,6489.5,5827.5,6350.5,,,88.5,64.5,,,151.5,101.5,2159.5,911.5
