time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,pCin/OHC14_6,pCin/OHC14_7,pCin/OHC14_8,pCin/OHC14_9,pCin/OHC14_10,pCin/OHC14_11,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,pLuxB/AHL_6,pLuxB/AHL_7,pLuxB/AHL_8,pLuxB/AHL_9,pLuxB/AHL_10,pLuxB/AHL_11,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,pPhlF/DAPG_6,pPhlF/DAPG_7,pPhlF/DAPG_8,pPhlF/DAPG_9,pPhlF/DAPG_10,pPhlF/DAPG_11,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,pSalTTC/Sal_6,pSalTTC/Sal_7,pSalTTC/Sal_8,pSalTTC/Sal_9,pSalTTC/Sal_10,pSalTTC/Sal_11,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,96.0,3.0,-15.0,-10.0,13.0,13.0,-33.0,-21.0,-4.0,-30.0,-36.0,-13.0,53.0,-42.0,-39.0,-65.0,-85.0,-38.0,-44.0,-57.0,-48.0,-67.0,-7.0,94.0,26.0,18.0,16.0,33.0,-16.0,-1.0,-12.0,-41.0,-8.0,-14.0,75.0,200.0,21.0,-29.0,-27.0,-35.0,-57.0,-64.0,-38.0,-54.0,-53.0,-47.0,-19.0,-21.0,1713.0,3709.0,2332.0,2312.0,2372.0,3062.0,3138.0,3052.0,2119.0,3319.0,3539.0,2249.0,24.0,-14.0,-21.0,-42.0,-60.0,-78.0,-81.0,-109.0,-140.0,-254.0,-368.0,-529.0,14.0,-7.0,-22.0,-1.0,-44.0,-53.0,-30.0,-16.0,-58.0,-69.0,-69.0,-51.0,,,-31.0,-21.0,,,11.0,6.0,2357.0,519.0
20,78.5,-11.5,-11.5,-2.5,6.5,-8.5,-39.5,-25.5,-3.5,-32.5,-8.5,-26.5,45.5,-41.5,-59.5,-88.5,-86.5,-66.5,-66.5,-88.5,-26.5,-84.5,-26.5,74.5,14.5,13.5,17.5,7.5,-11.5,-8.5,-23.5,-3.5,9.5,8.5,62.5,188.5,74.5,-29.5,-29.5,-37.5,-48.5,-43.5,-20.5,-20.5,-27.5,-3.5,21.5,27.5,2993.5,3089.5,2408.5,2618.5,2699.5,2539.5,3303.5,2751.5,2263.5,3166.5,2646.5,2724.5,23.5,122.5,86.5,95.5,62.5,47.5,50.5,-21.5,-122.5,-226.5,-376.5,-556.5,12.5,0.5,-9.5,12.5,-27.5,-28.5,-2.5,11.5,-24.5,-36.5,-24.5,-6.5,,,15.5,-6.5,,,16.5,49.5,1367.5,457.5
40,83.5,-11.5,-17.5,-17.5,-13.5,-17.5,-42.5,-45.5,-43.5,-38.5,-37.5,-43.5,11.5,-50.5,-68.5,-86.5,-113.5,-72.5,-83.5,-90.5,-56.5,-89.5,-11.5,76.5,16.5,-6.5,15.5,56.5,74.5,138.5,92.5,102.5,72.5,91.5,106.5,183.5,36.5,-66.5,-36.5,-71.5,-45.5,48.5,255.5,273.5,279.5,396.5,371.5,418.5,3385.5,3447.5,2718.5,2957.5,3004.5,2895.5,3663.5,3116.5,2548.5,3476.5,3018.5,3036.5,2.5,362.5,309.5,372.5,357.5,337.5,433.5,269.5,28.5,-182.5,-387.5,-555.5,-9.5,135.5,106.5,167.5,104.5,113.5,162.5,146.5,99.5,160.5,156.5,171.5,,,5.5,-26.5,,,28.5,33.5,1797.5,623.5
60,82.0,-5.0,-21.0,-7.0,-9.0,-14.0,-31.0,-43.0,-26.0,-44.0,-37.0,-23.0,18.0,-47.0,-60.0,-73.0,-75.0,-35.0,-48.0,-67.0,-20.0,-76.0,12.0,117.0,21.0,-3.0,25.0,66.0,167.0,293.0,223.0,268.0,253.0,277.0,249.0,173.0,35.0,-26.0,-49.0,-42.0,-24.0,174.0,583.0,742.0,740.0,1106.0,1045.0,1165.0,4029.0,4127.0,3205.0,3469.0,3590.0,3392.0,4336.0,3607.0,2988.0,4174.0,3580.0,3666.0,5.0,681.0,553.0,748.0,718.0,698.0,883.0,638.0,278.0,-89.0,-381.0,-607.0,13.0,501.0,423.0,520.0,409.0,424.0,607.0,560.0,409.0,604.0,526.0,641.0,,,8.0,-6.0,,,48.0,44.0,2405.0,865.0
80,111.5,6.5,4.5,-3.5,36.5,27.5,-24.5,-24.5,-11.5,-20.5,-5.5,9.5,36.5,-39.5,4.5,-29.5,11.5,109.5,46.5,55.5,76.5,80.5,115.5,133.5,62.5,18.5,65.5,85.5,258.5,547.5,459.5,542.5,529.5,604.5,502.5,193.5,67.5,-15.5,-24.5,-24.5,11.5,325.5,1087.5,1521.5,1601.5,2316.5,2177.5,2399.5,5172.5,5242.5,4074.5,4393.5,4478.5,4311.5,5439.5,4550.5,3784.5,5159.5,4495.5,4627.5,31.5,1296.5,1130.5,1513.5,1438.5,1401.5,1685.5,1256.5,629.5,50.5,-368.5,-587.5,16.5,1267.5,1121.5,1343.5,1100.5,1158.5,1522.5,1436.5,1046.5,1528.5,1406.5,1583.5,,,25.5,12.5,,,77.5,89.5,2985.5,1109.5
100,159.5,14.5,0.5,-0.5,47.5,52.5,0.5,-18.5,-6.5,7.5,17.5,160.5,70.5,13.5,166.5,99.5,286.5,527.5,307.5,414.5,435.5,435.5,421.5,264.5,73.5,32.5,80.5,156.5,362.5,867.5,770.5,968.5,989.5,1084.5,846.5,203.5,114.5,-33.5,-12.5,16.5,36.5,489.5,1835.5,2898.5,3077.5,4470.5,4214.5,4656.5,7012.5,7075.5,5503.5,5971.5,6063.5,5826.5,7284.5,6092.5,5103.5,7012.5,6070.5,6309.5,47.5,2302.5,2166.5,2943.5,2803.5,2785.5,3329.5,2381.5,1212.5,213.5,-323.5,-574.5,57.5,2580.5,2401.5,2897.5,2421.5,2603.5,3344.5,3187.5,2400.5,3373.5,3104.5,3409.5,,,78.5,49.5,,,122.5,82.5,3533.5,1313.5
120,172.5,12.5,3.5,12.5,52.5,101.5,21.5,-30.5,21.5,15.5,98.5,747.5,82.5,29.5,395.5,276.5,721.5,1145.5,687.5,967.5,951.5,1010.5,832.5,360.5,75.5,33.5,77.5,159.5,478.5,1446.5,1285.5,1749.5,1748.5,1822.5,1292.5,207.5,137.5,11.5,14.5,10.5,85.5,747.5,2922.5,4829.5,5193.5,7502.5,7112.5,7837.5,9428.5,9517.5,7459.5,8105.5,8305.5,7875.5,9957.5,8269.5,7042.5,9532.5,8242.5,8572.5,56.5,3749.5,3580.5,4851.5,4637.5,4704.5,5669.5,4204.5,2129.5,472.5,-327.5,-594.5,84.5,4118.5,4137.5,5057.5,4359.5,4696.5,6107.5,5878.5,4529.5,6266.5,5718.5,6328.5,,,89.5,69.5,,,182.5,160.5,4262.5,1591.5
140,256.0,42.0,16.0,32.0,117.0,533.0,32.0,13.0,71.0,120.0,438.0,2355.0,127.0,65.0,792.0,605.0,1438.0,2296.0,1304.0,1907.0,1797.0,1940.0,1378.0,511.0,118.0,53.0,118.0,221.0,753.0,2583.0,2356.0,3222.0,3221.0,3253.0,2008.0,210.0,206.0,55.0,40.0,75.0,191.0,1212.0,4881.0,7862.0,8350.0,11890.0,11262.0,12361.0,12649.0,12605.0,9972.0,10790.0,10975.0,10481.0,13168.0,10943.0,9329.0,12465.0,10881.0,11022.0,113.0,6187.0,5875.0,7892.0,7433.0,7491.0,8951.0,6701.0,3461.0,850.0,-323.0,-608.0,98.0,6161.0,6390.0,8153.0,7142.0,7886.0,10160.0,9800.0,7710.0,10438.0,9674.0,10564.0,,,153.0,110.0,,,258.5,177.5,5230.5,2035.5
160,431.0,52.0,47.0,78.0,268.0,5035.0,65.0,41.0,1174.0,1162.0,1695.0,6563.0,180.0,198.0,1615.0,1276.0,3157.0,7069.0,2689.0,3807.0,3365.0,3561.0,2202.0,713.0,165.0,113.0,125.0,335.0,1646.0,5101.0,4427.0,5851.0,5717.0,5550.0,3058.0,210.0,384.0,159.0,123.0,190.0,432.0,2524.0,8316.0,12515.0,13225.0,18198.0,17139.0,18692.0,16181.0,15956.0,12715.0,13582.0,13916.0,13082.0,16285.0,13682.0,11824.0,15478.0,13547.0,13706.0,149.0,11870.0,9341.0,12234.0,11504.0,11239.0,13203.0,9920.0,5218.0,1327.0,-328.0,-606.0,141.0,10311.0,10042.0,13060.0,11265.0,12416.0,16213.0,15445.0,12079.0,16512.0,15109.0,16645.0,,,226.0,154.0,,,423.0,273.0,6590.0,2728.0
180,740.0,159.0,113.0,242.0,906.0,22269.0,247.0,1132.0,11425.0,9766.0,8435.0,17430.0,260.0,1126.0,5618.0,4861.0,9541.0,15574.0,7955.0,10822.0,8880.0,9367.0,4063.0,881.0,253.0,154.0,236.0,732.0,3393.0,9143.0,8340.0,10146.0,9421.0,8927.0,4685.0,206.0,819.0,392.0,357.0,558.0,1269.0,6255.0,17110.0,20787.0,20044.0,27767.0,25340.0,27161.0,19096.0,18574.0,15216.0,15944.0,16433.0,15322.0,18669.0,16077.0,14114.0,17849.0,15985.0,15879.0,219.0,23388.0,16882.0,21546.0,18534.0,16789.0,19041.0,14318.0,7532.0,1982.0,-314.0,-607.0,221.0,16339.0,16850.0,22226.0,19063.0,20642.0,26821.0,25297.0,19615.0,26608.0,24223.0,26326.0,,,333.0,282.0,,,594.0,412.0,8753.0,3693.0
