time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,pCin/OHC14_6,pCin/OHC14_7,pCin/OHC14_8,pCin/OHC14_9,pCin/OHC14_10,pCin/OHC14_11,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,pLuxB/AHL_6,pLuxB/AHL_7,pLuxB/AHL_8,pLuxB/AHL_9,pLuxB/AHL_10,pLuxB/AHL_11,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,pPhlF/DAPG_6,pPhlF/DAPG_7,pPhlF/DAPG_8,pPhlF/DAPG_9,pPhlF/DAPG_10,pPhlF/DAPG_11,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,pSalTTC/Sal_6,pSalTTC/Sal_7,pSalTTC/Sal_8,pSalTTC/Sal_9,pSalTTC/Sal_10,pSalTTC/Sal_11,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,37.5,10.5,0.5,-2.5,10.5,1.5,-8.5,-23.5,-8.5,-11.5,-18.5,-10.5,14.5,-11.5,-17.5,-32.5,-50.5,-30.5,-31.5,-31.5,-10.5,-31.5,-7.5,46.5,3.5,-0.5,19.5,3.5,-11.5,-3.5,-2.5,-13.5,-6.5,-4.5,33.5,98.5,12.5,-10.5,-5.5,-18.5,-25.5,-24.5,-25.5,-36.5,-23.5,-39.5,-4.5,-17.5,951.5,2053.5,1276.5,1140.5,1230.5,1644.5,1609.5,1535.5,1138.5,1680.5,1765.5,1138.5,3.5,-5.5,-16.5,-27.5,-34.5,-38.5,-43.5,-56.5,-71.5,-126.5,-192.5,-264.5,-3.5,-6.5,-15.5,-16.5,-25.5,-27.5,-13.5,-15.5,-19.5,-34.5,-49.5,-40.5,,,-9.5,-26.5,,,0.5,7.5,1197.5,281.5
20,40.0,-15.0,-11.0,-3.0,-8.0,-7.0,-25.0,-20.0,-19.0,-29.0,-21.0,-8.0,8.0,-20.0,-38.0,-52.0,-45.0,-35.0,-41.0,-54.0,-20.0,-47.0,-15.0,39.0,15.0,-2.0,9.0,-2.0,-14.0,-2.0,-15.0,-16.0,-19.0,0.0,32.0,89.0,11.0,-22.0,-10.0,-26.0,-26.0,-25.0,-10.0,-20.0,-24.0,-18.0,-18.0,-6.0,1528.0,1584.0,1237.0,1352.0,1379.0,1308.0,1689.0,1407.0,1138.0,1610.0,1362.0,1389.0,-6.0,48.0,29.0,32.0,26.0,17.0,8.0,-31.0,-66.0,-133.0,-201.0,-313.0,-9.0,-2.0,-11.0,-10.0,-25.0,-20.0,-13.0,0.0,-21.0,-21.0,-14.0,-14.0,,,-13.0,-10.0,,,12.5,12.5,694.5,223.5
40,44.5,-4.5,-6.5,-0.5,3.5,-4.5,-25.5,-25.5,-15.5,-18.5,-16.5,2.5,8.5,-36.5,-32.5,-50.5,-47.5,-32.5,-24.5,-40.5,-23.5,-26.5,-5.5,38.5,-3.5,-11.5,16.5,23.5,34.5,58.5,40.5,40.5,37.5,47.5,51.5,89.5,18.5,-18.5,-22.5,-13.5,-20.5,40.5,116.5,153.5,127.5,201.5,196.5,205.5,1740.5,1807.5,1389.5,1511.5,1544.5,1487.5,1894.5,1584.5,1315.5,1813.5,1528.5,1568.5,1.5,194.5,149.5,207.5,183.5,174.5,199.5,136.5,9.5,-85.5,-190.5,-301.5,13.5,66.5,46.5,74.5,44.5,54.5,88.5,96.5,47.5,81.5,81.5,90.5,,,8.5,2.5,,,8.5,18.5,930.5,331.5
60,63.5,-6.5,-8.5,-2.5,2.5,0.5,-21.5,-22.5,-19.5,-20.5,-17.5,-5.5,17.5,-29.5,-26.5,-51.5,-46.5,-14.5,-18.5,-42.5,-10.5,-32.5,-3.5,38.5,18.5,5.5,24.5,51.5,77.5,163.5,120.5,128.5,110.5,151.5,125.5,84.5,23.5,-15.5,-11.5,-27.5,-5.5,80.5,282.5,377.5,373.5,546.5,535.5,581.5,2057.5,2121.5,1638.5,1791.5,1839.5,1750.5,2222.5,1868.5,1548.5,2117.5,1805.5,1870.5,14.5,336.5,285.5,386.5,351.5,360.5,430.5,328.5,139.5,-44.5,-199.5,-307.5,18.5,264.5,214.5,263.5,217.5,216.5,304.5,271.5,201.5,294.5,281.5,309.5,,,5.5,-10.5,,,25.5,27.5,1246.5,448.5
80,65.5,1.5,-2.5,-9.5,7.5,-1.5,-14.5,-15.5,-1.5,-19.5,-4.5,-3.5,13.5,-20.5,0.5,-18.5,2.5,42.5,21.5,36.5,46.5,31.5,59.5,64.5,9.5,6.5,22.5,50.5,133.5,287.5,231.5,273.5,265.5,299.5,244.5,92.5,44.5,-8.5,-9.5,-6.5,11.5,153.5,536.5,784.5,792.5,1156.5,1097.5,1221.5,2609.5,2653.5,2098.5,2257.5,2317.5,2206.5,2778.5,2330.5,1930.5,2669.5,2300.5,2379.5,15.5,661.5,576.5,768.5,712.5,694.5,857.5,628.5,323.5,12.5,-185.5,-298.5,14.5,635.5,546.5,651.5,556.5,578.5,763.5,723.5,531.5,765.5,682.5,772.5,,,11.5,2.5,,,61.5,42.5,1519.5,561.5
100,74.5,15.5,-1.5,4.5,19.5,29.5,-11.5,-0.5,-8.5,3.5,6.5,58.5,35.5,-7.5,82.5,41.5,137.5,249.5,153.5,197.5,228.5,205.5,208.5,120.5,28.5,7.5,24.5,61.5,188.5,442.5,380.5,502.5,488.5,542.5,431.5,100.5,48.5,-2.5,1.5,1.5,21.5,241.5,929.5,1488.5,1546.5,2264.5,2136.5,2320.5,3555.5,3590.5,2806.5,3056.5,3105.5,2962.5,3744.5,3124.5,2597.5,3591.5,3134.5,3234.5,21.5,1178.5,1093.5,1489.5,1415.5,1381.5,1673.5,1218.5,612.5,97.5,-181.5,-300.5,27.5,1293.5,1213.5,1458.5,1228.5,1282.5,1653.5,1585.5,1221.5,1710.5,1536.5,1720.5,,,35.5,29.5,,,68.0,53.0,1818.0,679.0
120,97.5,2.5,-1.5,0.5,25.5,34.5,0.5,-10.5,13.5,3.5,43.5,351.5,32.5,6.5,203.5,134.5,362.5,574.5,338.5,485.5,489.5,498.5,409.5,185.5,22.5,17.5,27.5,83.5,257.5,715.5,655.5,883.5,884.5,938.5,655.5,99.5,47.5,2.5,-1.5,0.5,34.5,370.5,1477.5,2440.5,2632.5,3805.5,3633.5,3991.5,4814.5,4868.5,3831.5,4143.5,4252.5,4050.5,5048.5,4211.5,3554.5,4863.5,4215.5,4412.5,29.5,1899.5,1825.5,2483.5,2363.5,2382.5,2881.5,2144.5,1076.5,232.5,-183.5,-306.5,24.5,2089.5,2092.5,2576.5,2202.5,2411.5,3100.5,2988.5,2328.5,3164.5,2899.5,3192.5,,,44.5,30.5,,,95.0,77.0,2178.0,824.0
140,139.0,23.0,13.0,10.0,61.0,244.0,5.0,5.0,34.0,70.0,227.0,1160.0,67.0,46.0,404.0,298.0,721.0,1167.0,677.0,981.0,918.0,984.0,713.0,274.0,55.0,33.0,41.0,99.0,394.0,1310.0,1204.0,1641.0,1626.0,1630.0,1016.0,111.0,94.0,27.0,29.0,38.0,103.0,629.0,2500.0,3993.0,4258.0,6043.0,5724.0,6259.0,6492.0,6493.0,5118.0,5493.0,5633.0,5333.0,6732.0,5584.0,4747.0,6385.0,5566.0,5661.0,56.0,3116.0,2970.0,4009.0,3794.0,3764.0,4545.0,3403.0,1772.0,432.0,-166.0,-305.0,46.0,3140.0,3269.0,4139.0,3636.0,3997.0,5197.0,4990.0,3909.0,5320.0,4870.0,5358.0,,,71.0,56.0,,,149.5,102.5,2713.5,1047.5
160,204.5,20.5,27.5,26.5,144.5,2441.5,24.5,20.5,535.5,521.5,819.5,3223.5,85.5,94.5,796.5,636.5,1577.5,3535.5,1344.5,1893.5,1675.5,1792.5,1116.5,349.5,73.5,49.5,75.5,157.5,822.5,2552.5,2239.5,2977.5,2898.5,2822.5,1542.5,105.5,188.5,75.5,60.5,91.5,210.5,1253.5,4183.5,6348.5,6711.5,9301.5,8777.5,9500.5,8318.5,8195.5,6557.5,7007.5,7126.5,6703.5,8353.5,7050.5,6047.5,7954.5,6956.5,7022.5,73.5,5960.5,4744.5,6193.5,5847.5,5725.5,6725.5,5069.5,2653.5,678.5,-180.5,-324.5,83.5,5213.5,5096.5,6573.5,5735.5,6265.5,8247.5,7919.5,6158.5,8382.5,7677.5,8479.5,,,114.5,83.5,,,222.0,141.0,3399.0,1396.0
180,375.0,89.0,53.0,124.0,461.0,11160.0,122.0,509.0,5609.0,4767.0,4175.0,8785.0,140.0,564.0,2839.0,2460.0,4819.0,7945.0,4032.0,5454.0,4453.0,4718.0,2074.0,463.0,132.0,75.0,128.0,380.0,1714.0,4650.0,4235.0,5152.0,4778.0,4568.0,2360.0,111.0,413.0,200.0,180.0,287.0,643.0,3188.0,8665.0,10574.0,10225.0,14184.0,12873.0,13707.0,9905.0,9638.0,7824.0,8251.0,8418.0,7901.0,9585.0,8285.0,7298.0,9250.0,8192.0,8184.0,106.0,11800.0,8550.0,10893.0,9379.0,8546.0,9680.0,7301.0,3814.0,1027.0,-161.0,-320.0,101.0,8336.0,8508.0,11290.0,9659.0,10473.0,13683.0,12936.0,9923.0,13624.0,12241.0,13346.0,,,177.0,133.0,,,327.0,216.0,4506.0,1904.0
