name,fluo
E38-E20_000,0.013169519
E38-E20_010,0.04072083
E38-E20_020,0.049749308
E38-E20_030,0.042826761
E38-E20_001,0.0173187
E38-E20_011,0.05232065
E38-E20_021,0.046476067
E38-E20_031,0.058846755
E38-E20_002,0.037979172
E38-E20_012,0.090097334
E38-E20_022,0.104806591
E38-E20_032,0.110629864
E38-E20_100,0.012943196
E38-E20_110,0.039438236
E38-E20_120,0.047980951
E38-E20_130,0.048333419
E38-E20_101,0.014455501
E38-E20_111,0.050419271
E38-E20_121,0.061379474
E38-E20_131,0.071591707
E38-E20_102,0.021816396
E38-E20_112,0.052532737
E38-E20_122,0.114382193
E38-E20_132,0.121020979
E38-E20_200,0.017308871
E38-E20_210,0.060515817
E38-E20_220,0.070944249
E38-E20_230,0.081658244
E38-E20_201,0.016823378
E38-E20_211,0.095652328
E38-E20_221,0.118496759
E38-E20_231,0.124414496
E38-E20_202,0.025767535
E38-E20_212,0.194922925
E38-E20_222,0.223081049
E38-E20_232,0.258005707
E38-E20_300,0.037563342
E38-E20_310,0.150284375
E38-E20_320,0.151458425
E38-E20_330,0.17986114
E38-E20_301,0.054435378
E38-E20_311,0.3190053
E38-E20_321,0.341373267
E38-E20_331,0.399139222
E38-E20_302,0.067804139
E38-E20_312,0.50900965
E38-E20_322,0.595888572
E38-E20_332,0.695925483
E38-E20_003,0.047192155
E38-E20_013,0.078873443
E38-E20_023,0.055085054
E38-E20_033,0.066241349
E38-E20_004,0.035881709
E38-E20_014,0.082561098
E38-E20_024,0.056681971
E38-E20_034,0.105062199
E38-E20_103,0.049983876
E38-E20_113,0.120092129
E38-E20_123,0.149283515
E38-E20_133,0.122300088
E38-E20_104,0.085679347
E38-E20_114,0.169813878
E38-E20_124,0.16495302
E38-E20_134,0.140419299
E38-E20_203,0.057212861
E38-E20_213,0.392405386
E38-E20_223,0.357598744
E38-E20_233,0.312226686
E38-E20_204,0.078309568
E38-E20_214,0.481215273
E38-E20_224,0.456100834
E38-E20_234,0.640745555
E38-E20_303,0.15649324
E38-E20_313,1.625803579
E38-E20_323,1.611558798
E38-E20_333,1.579795733
E38-E20_304,0.200771365
E38-E20_314,2.250510419
E38-E20_324,2.259043222
E38-E20_334,2.131667808
