ara,ohc14,fluo
0.0,0.0,0.03568437875370357
0.0,0.195,0.04325499003680107
0.0,0.666,0.03215625788015608
0.0,2.285,0.02410093388958222
0.0,8.05,0.023386319326561645
0.0,20.0,0.023928403423111463
0.0223,0.0,0.030581932100643337
0.0223,0.195,0.03889751194899917
0.0223,0.666,0.03223409608185851
0.0223,2.285,0.02250514633246077
0.0223,8.05,0.023602583899845722
0.0223,20.0,0.02335711487802766
0.1008,0.0,0.04146562309481745
0.1008,0.195,0.06958218464496882
0.1008,0.666,0.05301543687913279
0.1008,2.285,0.03659903873270885
0.1008,8.05,0.03756850044688989
0.1008,20.0,0.051415764954104014
0.375,0.0,0.07046369294403584
0.375,0.195,0.45384997649843806
0.375,0.666,0.4734774963477934
0.375,2.285,0.3950222260586314
0.375,8.05,0.49492728119931184
0.375,20.0,0.5895961874603634
1.453,0.0,0.16046052629222768
1.453,0.195,1.3645715315870721
1.453,0.666,1.2913194402562924
1.453,2.285,1.3011249332798538
1.453,8.05,1.4642793858100849
1.453,20.0,1.3127521430169073
13.0,0.0,0.29910390279656857
13.0,0.195,1.9500529898514545
13.0,0.666,1.8479558118326054
13.0,2.285,1.916433206577675
13.0,8.05,1.6724840107836632
13.0,20.0,1.7909909072921764
