time,pBAD-rJ/Ara_0,pBAD-rJ/Ara_1,pBAD-rJ/Ara_2,pBAD-rJ/Ara_3,pBAD-rJ/Ara_4,pBAD-rJ/Ara_5,pBAD-rJ/Ara_6,pBAD-rJ/Ara_7,pBAD-rJ/Ara_8,pBAD-rJ/Ara_9,pBAD-rJ/Ara_10,pBAD-rJ/Ara_11,araC-pBAD-rJ/Ara_0,araC-pBAD-rJ/Ara_1,araC-pBAD-rJ/Ara_2,araC-pBAD-rJ/Ara_3,araC-pBAD-rJ/Ara_4,araC-pBAD-rJ/Ara_5,araC-pBAD-rJ/Ara_6,araC-pBAD-rJ/Ara_7,araC-pBAD-rJ/Ara_8,araC-pBAD-rJ/Ara_9,araC-pBAD-rJ/Ara_10,araC-pBAD-rJ/Ara_11,cymRC-pCymRC-rJ/Cuma_0,cymRC-pCymRC-rJ/Cuma_1,cymRC-pCymRC-rJ/Cuma_2,cymRC-pCymRC-rJ/Cuma_3,cymRC-pCymRC-rJ/Cuma_4,cymRC-pCymRC-rJ/Cuma_5,cymRC-pCymRC-rJ/Cuma_6,cymRC-pCymRC-rJ/Cuma_7,cymRC-pCymRC-rJ/Cuma_8,cymRC-pCymRC-rJ/Cuma_9,cymRC-pCymRC-rJ/Cuma_10,cymRC-pCymRC-rJ/Cuma_11,pLux2-rJ/AHL_0,pLux2-rJ/AHL_1,pLux2-rJ/AHL_2,pLux2-rJ/AHL_3,pLux2-rJ/AHL_4,pLux2-rJ/AHL_5,pLux2-rJ/AHL_6,pLux2-rJ/AHL_7,pLux2-rJ/AHL_8,pLux2-rJ/AHL_9,pLux2-rJ/AHL_10,pLux2-rJ/AHL_11,pPhlF-rJ/DAPG_0,pPhlF-rJ/DAPG_1,pPhlF-rJ/DAPG_2,pPhlF-rJ/DAPG_3,pPhlF-rJ/DAPG_4,pPhlF-rJ/DAPG_5,pPhlF-rJ/DAPG_6,pPhlF-rJ/DAPG_7,pPhlF-rJ/DAPG_8,pPhlF-rJ/DAPG_9,pPhlF-rJ/DAPG_10,pPhlF-rJ/DAPG_11,rhaS-pRhaB-rJ/Rha_0,rhaS-pRhaB-rJ/Rha_1,rhaS-pRhaB-rJ/Rha_2,rhaS-pRhaB-rJ/Rha_3,rhaS-pRhaB-rJ/Rha_4,rhaS-pRhaB-rJ/Rha_5,rhaS-pRhaB-rJ/Rha_6,rhaS-pRhaB-rJ/Rha_7,rhaS-pRhaB-rJ/Rha_8,rhaS-pRhaB-rJ/Rha_9,rhaS-pRhaB-rJ/Rha_10,rhaS-pRhaB-rJ/Rha_11,araC-pBAD/Ara_0,araC-pBAD/Ara_1,araC-pBAD/Ara_2,araC-pBAD/Ara_3,araC-pBAD/Ara_4,araC-pBAD/Ara_5,araC-pBAD/Ara_6,araC-pBAD/Ara_7,araC-pBAD/Ara_8,araC-pBAD/Ara_9,araC-pBAD/Ara_10,araC-pBAD/Ara_11,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
200,684.0,673.0,658.0,643.0,569.0,579.0,619.0,594.0,1876.0,5677.0,9238.0,8820.0,560.0,593.0,586.0,582.0,564.0,559.0,578.0,589.0,1073.0,2871.0,6609.0,5910.0,539.0,549.0,544.0,545.0,542.0,549.0,543.0,570.0,720.0,1056.0,1484.0,2715.0,597.0,566.0,560.0,576.0,613.0,802.0,1597.0,2036.0,2612.0,2594.0,2786.0,3015.0,3080.0,2767.0,2675.0,2856.0,2495.0,2604.0,2276.0,2176.0,2148.0,2107.0,2106.0,2136.0,2782.0,2763.0,4520.0,4772.0,6488.0,6696.0,6676.0,7368.0,7606.0,6584.0,6178.0,8269.0,586.0,467.0,582.0,559.0,537.0,544.0,533.0,543.0,604.0,2194.0,2163.0,4128.0,475.0,471.0,645.0,596.0,551.0,557.0,617.0,612.0,916.0,914.0
220,759.0,746.0,730.0,712.0,650.0,657.0,719.0,828.0,5892.0,11698.0,15438.0,13897.0,618.0,650.0,642.0,633.0,625.0,609.0,644.0,711.0,2148.0,7614.0,12257.0,10797.0,568.0,590.0,580.0,572.0,571.0,585.0,569.0,614.0,868.0,1406.0,2060.0,3867.0,643.0,609.0,597.0,625.0,677.0,995.0,2391.0,3222.0,4219.0,4197.0,4509.0,4841.0,3383.0,2983.0,2893.0,3112.0,2666.0,2812.0,2444.0,2344.0,2302.0,2275.0,2295.0,2309.0,3308.0,3436.0,6445.0,6654.0,9264.0,10586.0,10672.0,11609.0,11782.0,9918.0,9146.0,12106.0,630.0,464.0,610.0,605.0,589.0,594.0,577.0,621.0,1120.0,5313.0,5214.0,7568.0,479.0,470.0,685.0,648.0,547.0,553.0,634.0,644.0,1042.0,1061.0
240,827.0,813.0,807.0,791.0,714.0,735.0,827.0,1168.0,11716.0,19252.0,22771.0,20236.0,673.0,711.0,692.0,690.0,683.0,665.0,705.0,817.0,3204.0,14616.0,19232.0,16422.0,607.0,622.0,614.0,607.0,605.0,636.0,613.0,679.0,1081.0,1903.0,2829.0,5358.0,697.0,659.0,643.0,673.0,732.0,1110.0,2995.0,4536.0,5953.0,6116.0,6574.0,7027.0,3789.0,3304.0,3253.0,3447.0,2935.0,3093.0,2649.0,2534.0,2477.0,2432.0,2454.0,2492.0,3610.0,3805.0,7222.0,7292.0,10260.0,14126.0,16209.0,17692.0,17752.0,15106.0,13735.0,17612.0,684.0,470.0,639.0,658.0,630.0,635.0,618.0,709.0,2474.0,9860.0,9200.0,11865.0,474.0,477.0,726.0,690.0,549.0,561.0,663.0,681.0,1260.0,1269.0
260,907.0,889.0,876.0,860.0,797.0,806.0,903.0,1464.0,18345.0,27571.0,30756.0,27171.0,730.0,765.0,755.0,746.0,735.0,720.0,771.0,908.0,3981.0,22380.0,26948.0,22968.0,648.0,670.0,655.0,653.0,652.0,677.0,663.0,749.0,1392.0,2608.0,3891.0,7300.0,737.0,704.0,694.0,721.0,788.0,1203.0,3398.0,5475.0,7375.0,7613.0,8225.0,8821.0,4244.0,3685.0,3628.0,3818.0,3247.0,3442.0,2941.0,2795.0,2737.0,2678.0,2701.0,2744.0,3744.0,4033.0,7351.0,7329.0,10261.0,15431.0,20705.0,24370.0,24378.0,21507.0,19813.0,24256.0,737.0,470.0,675.0,710.0,684.0,689.0,670.0,793.0,4158.0,15153.0,14130.0,16911.0,481.0,472.0,758.0,719.0,552.0,556.0,701.0,740.0,1505.0,1528.0
280,973.0,960.0,953.0,933.0,868.0,891.0,1016.0,1707.0,24048.0,36828.0,39651.0,34949.0,803.0,820.0,812.0,808.0,794.0,783.0,841.0,1036.0,4969.0,31191.0,35399.0,30083.0,689.0,706.0,697.0,692.0,697.0,718.0,700.0,815.0,1630.0,3275.0,5036.0,9534.0,784.0,755.0,733.0,764.0,843.0,1311.0,3841.0,6315.0,8773.0,9330.0,10090.0,10884.0,4709.0,4117.0,4068.0,4260.0,3639.0,3854.0,3257.0,3088.0,3036.0,2967.0,2977.0,3034.0,3774.0,3996.0,7339.0,7317.0,10292.0,15689.0,22966.0,30942.0,32213.0,28548.0,26646.0,31519.0,797.0,470.0,731.0,760.0,734.0,751.0,732.0,884.0,6041.0,21201.0,19810.0,22505.0,482.0,474.0,790.0,758.0,554.0,559.0,740.0,800.0,1911.0,1938.0
300,1037.0,1020.0,1012.0,998.0,970.0,989.0,1116.0,2136.0,30896.0,46934.0,49204.0,43262.0,866.0,888.0,880.0,862.0,856.0,852.0,908.0,1168.0,5979.0,41351.0,44765.0,37774.0,735.0,741.0,740.0,724.0,731.0,752.0,746.0,871.0,1790.0,3632.0,5634.0,10657.0,831.0,801.0,779.0,813.0,893.0,1426.0,4391.0,7449.0,10742.0,11622.0,12677.0,13674.0,5143.0,4497.0,4476.0,4651.0,3975.0,4228.0,3604.0,3430.0,3349.0,3283.0,3310.0,3373.0,3834.0,4040.0,7077.0,7083.0,10050.0,15826.0,23666.0,34811.0,41145.0,36733.0,34184.0,39808.0,844.0,470.0,787.0,804.0,779.0,796.0,793.0,986.0,8143.0,28214.0,26423.0,28893.0,476.0,477.0,820.0,785.0,549.0,564.0,798.0,847.0,2463.0,2455.0
320,1091.0,1076.0,1061.0,1053.0,1044.0,1065.0,1210.0,2478.0,36331.0,57983.0,59239.0,52081.0,933.0,939.0,931.0,920.0,910.0,900.0,977.0,1289.0,6710.0,53036.0,54621.0,46188.0,776.0,780.0,781.0,769.0,769.0,788.0,783.0,911.0,1900.0,3883.0,5988.0,11242.0,872.0,839.0,821.0,853.0,951.0,1512.0,4746.0,8517.0,12666.0,14044.0,15519.0,16762.0,5485.0,4822.0,4810.0,5005.0,4305.0,4549.0,3884.0,3729.0,3616.0,3555.0,3601.0,3682.0,3863.0,4089.0,7112.0,7106.0,9982.0,15605.0,24227.0,37164.0,51143.0,45735.0,42628.0,48965.0,893.0,477.0,825.0,852.0,832.0,842.0,846.0,1055.0,9795.0,35370.0,33864.0,36448.0,481.0,473.0,851.0,819.0,553.0,560.0,840.0,893.0,3244.0,3156.0
340,1141.0,1117.0,1111.0,1109.0,1101.0,1125.0,1269.0,2776.0,40519.0,70287.0,69515.0,60876.0,995.0,998.0,992.0,974.0,974.0,973.0,1039.0,1382.0,7307.0,65596.0,64466.0,54273.0,810.0,821.0,814.0,803.0,807.0,829.0,827.0,960.0,2022.0,4094.0,6258.0,11743.0,912.0,875.0,862.0,896.0,1001.0,1584.0,4993.0,9305.0,14091.0,16161.0,17961.0,19510.0,5856.0,5122.0,5157.0,5318.0,4608.0,4832.0,4182.0,3977.0,3891.0,3824.0,3848.0,3983.0,3922.0,4154.0,7129.0,7124.0,10041.0,15362.0,24198.0,38587.0,59339.0,55665.0,51774.0,58619.0,930.0,481.0,872.0,896.0,872.0,887.0,891.0,1136.0,11004.0,40740.0,42741.0,45761.0,485.0,479.0,881.0,846.0,556.0,564.0,883.0,942.0,4228.0,4051.0
360,1188.0,1163.0,1152.0,1155.0,1157.0,1189.0,1324.0,2978.0,44075.0,83570.0,81083.0,70895.0,1049.0,1041.0,1030.0,1024.0,1017.0,1024.0,1098.0,1457.0,7693.0,77301.0,75048.0,63385.0,862.0,868.0,855.0,848.0,855.0,868.0,862.0,1012.0,2092.0,4292.0,6567.0,12099.0,962.0,932.0,907.0,934.0,1034.0,1616.0,5104.0,9709.0,15045.0,17716.0,19932.0,21776.0,6139.0,5384.0,5423.0,5605.0,4888.0,5088.0,4462.0,4216.0,4119.0,4069.0,4104.0,4226.0,4009.0,4213.0,7201.0,7174.0,10032.0,15333.0,24045.0,39324.0,66277.0,66358.0,61975.0,69279.0,969.0,490.0,916.0,935.0,915.0,927.0,928.0,1198.0,11888.0,44592.0,51200.0,55151.0,482.0,475.0,898.0,878.0,558.0,565.0,922.0,992.0,5497.0,5022.0
380,1222.0,1195.0,1179.0,1192.0,1204.0,1228.0,1366.0,3126.0,46227.0,94810.0,92027.0,80280.0,1101.0,1093.0,1077.0,1066.0,1066.0,1073.0,1146.0,1526.0,7883.0,87380.0,84386.0,72030.0,895.0,901.0,894.0,895.0,883.0,902.0,907.0,1060.0,2205.0,4472.0,6809.0,12368.0,998.0,962.0,945.0,976.0,1077.0,1676.0,5207.0,9997.0,15698.0,18847.0,21355.0,23557.0,6330.0,5578.0,5623.0,5813.0,5057.0,5270.0,4634.0,4447.0,4342.0,4263.0,4335.0,4439.0,4051.0,4268.0,7258.0,7262.0,10086.0,15324.0,24198.0,39519.0,70482.0,78949.0,73506.0,81410.0,1001.0,492.0,958.0,972.0,954.0,962.0,973.0,1245.0,12427.0,47631.0,58382.0,63625.0,485.0,480.0,931.0,908.0,564.0,567.0,960.0,1032.0,6607.0,6069.0
400,1256.0,1230.0,1217.0,1232.0,1247.0,1278.0,1411.0,3233.0,47864.0,105546.0,104824.0,90273.0,1140.0,1129.0,1110.0,1105.0,1105.0,1114.0,1185.0,1578.0,8114.0,96453.0,95615.0,81375.0,935.0,939.0,933.0,927.0,922.0,943.0,936.0,1099.0,2286.0,4621.0,7013.0,12640.0,1029.0,994.0,988.0,1011.0,1118.0,1709.0,5291.0,10172.0,16078.0,19604.0,22406.0,24907.0,6487.0,5745.0,5776.0,5968.0,5255.0,5452.0,4831.0,4634.0,4507.0,4453.0,4504.0,4632.0,4122.0,4325.0,7375.0,7352.0,10153.0,15411.0,24165.0,39977.0,73796.0,91371.0,85839.0,94310.0,1047.0,509.0,1006.0,1008.0,991.0,1007.0,1012.0,1289.0,12799.0,49587.0,64057.0,70562.0,486.0,485.0,957.0,933.0,555.0,565.0,1001.0,1073.0,7377.0,6720.0
