ohc14,sal,fluo
0.0,0.0,0.00818967230687745
0.0,0.024414063,0.007439529283208423
0.0,0.09765625,0.007220676984088
0.0,0.390625,0.007081452400658316
0.0,1.5625,0.007209542371597122
0.0,6.25,0.008059972593803226
0.002441406,0.0,0.007853680603296016
0.002441406,0.024414063,0.006221119645206886
0.002441406,0.09765625,0.006508788906827922
0.002441406,0.390625,0.006395431411178062
0.002441406,1.5625,0.006412035305937625
0.002441406,6.25,0.007793278645788664
0.009765625,0.0,0.007943042233798494
0.009765625,0.024414063,0.006953800875885632
0.009765625,0.09765625,0.006532440529499854
0.009765625,0.390625,0.006493137181295767
0.009765625,1.5625,0.006254061005368958
0.009765625,6.25,0.006478417855477912
0.0390625,0.0,0.014261241518952989
0.0390625,0.024414063,0.010024781292318456
0.0390625,0.09765625,0.008297218482525669
0.0390625,0.390625,0.008877514487200484
0.0390625,1.5625,0.008333898074374492
0.0390625,6.25,0.008564224549585225
0.15625,0.0,0.19459201450292055
0.15625,0.024414063,0.12792768508981386
0.15625,0.09765625,0.11760003222281669
0.15625,0.390625,0.11135874145667421
0.15625,1.5625,0.09502638568257749
0.15625,6.25,0.12648666329803554
0.625,0.0,0.6865082355985177
0.625,0.024414063,0.5720116578516049
0.625,0.09765625,0.5095985872917635
0.625,0.390625,0.5019163501629043
0.625,1.5625,0.49526286695583766
0.625,6.25,0.7539158044042044
