sal,ohc14,fluo
0.0,0.0,0.010166445232394659
1.5625,0.0,0.0136022245707467
6.25,0.0,0.015125733566836358
25.0,0.0,0.012003857025187257
100.0,0.0,0.011919101596445832
400.0,0.0,0.015733492581192846
0.0,0.15625,0.011372040380083182
1.5625,0.15625,0.01607133625347414
6.25,0.15625,0.017806800066897253
25.0,0.15625,0.01620138132943314
100.0,0.15625,0.012759292835050003
400.0,0.15625,0.015418452381770326
0.0,0.625,0.017319122796899466
1.5625,0.625,0.05674819417180395
6.25,0.625,0.0552787851294892
25.0,0.625,0.04938436499053921
100.0,0.625,0.05062817156937488
400.0,0.625,0.054435370232825034
0.0,2.5,0.03745852982887329
1.5625,2.5,0.29158237612551996
6.25,2.5,0.37908080583922227
25.0,2.5,0.3471031850691607
100.0,2.5,0.3573503997338401
400.0,2.5,0.37047160752461866
0.0,10.0,0.06491198059509784
1.5625,10.0,0.43122509206497994
6.25,10.0,0.6987794309613012
25.0,10.0,0.6443689759681787
100.0,10.0,0.6481776964131953
400.0,10.0,0.670501198003683
0.0,40.0,0.08423465093767653
1.5625,40.0,0.5709252235380781
6.25,40.0,0.8486700410340179
25.0,40.0,0.7859633894220422
100.0,40.0,0.7978309765716609
400.0,40.0,0.7996706689252191
