ohc14,ara,fluo
0.0,0.0,0.007101860461459898
0.15625,0.0,0.006581840859215374
0.625,0.0,0.00642553373591562
2.5,0.0,0.007190161227286485
10.0,0.0,0.007331278774730995
40.0,0.0,0.005902466953957858
0.0,0.203125,0.1394671745313661
0.15625,0.203125,0.1310776668387669
0.625,0.203125,0.10403213255585302
2.5,0.203125,0.09071236593080184
10.0,0.203125,0.07816918980771745
40.0,0.203125,0.08214934832490965
0.0,0.8125,0.34089937027704686
0.15625,0.8125,0.5152869541730217
0.625,0.8125,0.5940118133061386
2.5,0.8125,0.4793469098727275
10.0,0.8125,0.4089923316701944
40.0,0.8125,0.442644009842192
0.0,3.25,0.3989559559774091
0.15625,3.25,0.6606052514644397
0.625,3.25,0.8491023515620517
2.5,3.25,0.7577782215128873
10.0,3.25,0.6635338308713497
40.0,3.25,0.6828981759879141
0.0,13.0,0.4266756994257249
0.15625,13.0,0.7387958796929448
0.625,13.0,0.9658073529852492
2.5,13.0,0.8676390072992339
10.0,13.0,0.8048953942266643
40.0,13.0,0.7773617498322685
0.0,52.0,0.46778428606186784
0.15625,52.0,0.8282462264755756
0.625,52.0,1.0435788280648535
2.5,52.0,0.9034048541996406
10.0,52.0,0.8318086833728399
40.0,52.0,0.9094237803773233
