ara,sal,fluo
0.0,0.0,0.027429033965345465
0.0,0.024414063,0.02653291749929379
0.0,0.09765625,0.027005894833174594
0.0,0.390625,0.02622075201744939
0.0,1.5625,0.026573422227307367
0.0,6.25,0.028549504861627294
0.003173828,0.0,0.025995201838333135
0.003173828,0.024414063,0.024756389204771266
0.003173828,0.09765625,0.024708027200141508
0.003173828,0.390625,0.0242944273090711
0.003173828,1.5625,0.024716441398630527
0.003173828,6.25,0.027266181756142607
0.012695313,0.0,0.028875764041633577
0.012695313,0.024414063,0.027500299681783965
0.012695313,0.09765625,0.027155055106151318
0.012695313,0.390625,0.026657201617590866
0.012695313,1.5625,0.027145085625237417
0.012695313,6.25,0.03066236510396971
0.05078125,0.0,0.04473832010765748
0.05078125,0.024414063,0.043093079911115086
0.05078125,0.09765625,0.04035067019014907
0.05078125,0.390625,0.04123280182995551
0.05078125,1.5625,0.04373394109038638
0.05078125,6.25,0.03731670677018148
0.203125,0.0,0.13476668465775865
0.203125,0.024414063,0.13067917985168254
0.203125,0.09765625,0.1207281603945417
0.203125,0.390625,0.1293825296366482
0.203125,1.5625,0.12666971221511525
0.203125,6.25,0.15676812249841784
0.8125,0.0,0.37712268097319557
0.8125,0.024414063,0.3654419434418981
0.8125,0.09765625,0.3498583385956086
0.8125,0.390625,0.36228743136117664
0.8125,1.5625,0.38198892129207457
0.8125,6.25,0.4142906653473162
