ohc14,ara,fluo
0.0,0.0,0.0075240043630951286
0.002441406,0.0,0.0062242249879519915
0.009765625,0.0,0.005777547115159038
0.0390625,0.0,0.005377568805053183
0.15625,0.0,0.0047257568086032185
0.625,0.0,0.006148762029550512
0.0,0.003173828,0.007675332252290518
0.002441406,0.003173828,0.006191309356722664
0.009765625,0.003173828,0.005754475705209494
0.0390625,0.003173828,0.006491856229874844
0.15625,0.003173828,0.0038986448503708637
0.625,0.003173828,0.004484960869616056
0.0,0.012695313,0.007538556611321959
0.002441406,0.012695313,0.006312321559345422
0.009765625,0.012695313,0.005719063423752714
0.0390625,0.012695313,0.006248702291526435
0.15625,0.012695313,0.004659532659245907
0.625,0.012695313,0.0048168449061733645
0.0,0.05078125,0.014930805194088471
0.002441406,0.05078125,0.010224053095256445
0.009765625,0.05078125,0.009846276564485074
0.0390625,0.05078125,0.010389842987333128
0.15625,0.05078125,0.0093832076586413
0.625,0.05078125,0.010692993068439006
0.0,0.203125,0.19079288011303566
0.002441406,0.203125,0.134972211701404
0.009765625,0.203125,0.13321190784566656
0.0390625,0.203125,0.14475827112966855
0.15625,0.203125,0.16734347608969344
0.625,0.203125,0.1846201096727215
0.0,0.8125,0.4211105990814959
0.002441406,0.8125,0.37654500337542524
0.009765625,0.8125,0.3966726347026059
0.0390625,0.8125,0.46701641512272113
0.15625,0.8125,0.6976658418893105
0.625,0.8125,0.7927758998286957
