sal,ohc14,fluo
0.0,0.0,0.011325808249333167
0.024414063,0.0,0.01007565642032922
0.09765625,0.0,0.009974447589072262
0.390625,0.0,0.008789830833900373
1.5625,0.0,0.013819351832851472
6.25,0.0,0.01758865497616664
0.0,0.002441406,0.010994773929298238
0.024414063,0.002441406,0.009696140262391273
0.09765625,0.002441406,0.009121588491096849
0.390625,0.002441406,0.009970103400608782
1.5625,0.002441406,0.011979927324023226
6.25,0.002441406,0.014936056706484641
0.0,0.009765625,0.011313476866922011
0.024414063,0.009765625,0.009508611637864076
0.09765625,0.009765625,0.009646503425340607
0.390625,0.009765625,0.010137000217065591
1.5625,0.009765625,0.013999853052763581
6.25,0.009765625,0.015284535413729497
0.0,0.0390625,0.011783782710197819
0.024414063,0.0390625,0.01008345463788746
0.09765625,0.0390625,0.009757447798676565
0.390625,0.0390625,0.010377459438977894
1.5625,0.0390625,0.01697990508696095
6.25,0.0390625,0.017979931009790878
0.0,0.15625,0.01283423900946118
0.024414063,0.15625,0.011714284007215971
0.09765625,0.15625,0.011510132247523185
0.390625,0.15625,0.011877864979912209
1.5625,0.15625,0.0213338075181843
6.25,0.15625,0.02323126460082393
0.0,0.625,0.020927952852424513
0.024414063,0.625,0.01941200883485097
0.09765625,0.625,0.01995621970984328
0.390625,0.625,0.025325348209915867
1.5625,0.625,0.09216402563871666
6.25,0.625,0.09061496169843287
