ara,ohc14,fluo
0.0,0.0,0.013759061352108248
0.0,0.002441406,0.013538694106980297
0.0,0.009765625,0.012782579456533362
0.0,0.0390625,0.01461022657639562
0.0,0.15625,0.02389118574341712
0.0,0.625,0.020734039814118362
0.003173828,0.0,0.01252990636786738
0.003173828,0.002441406,0.011781952902491098
0.003173828,0.009765625,0.01059136589888962
0.003173828,0.0390625,0.012040803649870141
0.003173828,0.15625,0.01885850241876508
0.003173828,0.625,0.018624397846920143
0.012695313,0.0,0.00882022132871434
0.012695313,0.002441406,0.011700280818064486
0.012695313,0.009765625,0.010658778709798363
0.012695313,0.0390625,0.011766678044722716
0.012695313,0.15625,0.01918652677606553
0.012695313,0.625,0.020949063070546538
0.05078125,0.0,0.014589456365562976
0.05078125,0.002441406,0.013090536836950871
0.05078125,0.009765625,0.012155559963968957
0.05078125,0.0390625,0.013870232866550536
0.05078125,0.15625,0.022138794930473136
0.05078125,0.625,0.021063534172805837
0.203125,0.0,0.020859271588433002
0.203125,0.002441406,0.01881910341146376
0.203125,0.009765625,0.018020295577711527
0.203125,0.0390625,0.022554565851186256
0.203125,0.15625,0.06740140507856361
0.203125,0.625,0.09955362505506114
0.8125,0.0,0.04892574433354183
0.8125,0.002441406,0.0473901423586301
0.8125,0.009765625,0.04734647381119915
0.8125,0.0390625,0.058797352440355624
0.8125,0.15625,0.41272748183863117
0.8125,0.625,0.6898426881103438
