group,1,2,3,4,5,6,7,8,9,10,11,12
A,G727,G727,G727,G727,G727,G727,G728,G728,G728,G728,G728,G728
B,G727,G727,G727,G727,G727,G727,G728,G728,G728,G728,G728,G728
C,G727,G727,G727,G727,G727,G727,G728,G728,G728,G728,G728,G728
D,G727,G727,G727,G727,G727,G727,G728,G728,G728,G728,G728,G728
E,G727,G727,G727,G727,G727,G727,G728,G728,G728,G728,G728,G728
F,G727,G727,G727,G727,G727,G727,G728,G728,G728,G728,G728,G728
G,,,,,,,,,,,,
H,,,BK,BK,3K3-N,3K3-N,,BA,4A3-N,4A3-N,4A3-P,4A3-P
