time,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,61.0,57.0,72.0,59.0,36.0,41.0,28.0,60.0,34.0,29.0,64.0,2.0,100.0,102.0,94.0,114.0,79.0,94.0,88.0,75.0,75.0,77.0,75.0,87.0,92.0,85.0,88.0,103.0,94.0,69.0,76.0,65.0,67.0,79.0,61.0,68.0,79.0,79.0,77.0,87.0,85.0,86.0,79.0,80.0,77.0,74.0,63.0,66.0,80.0,64.0,69.0,61.0,63.0,59.0,42.0,49.0,52.0,44.0,46.0,61.0,61.0,63.0,60.0,84.0,51.0,56.0,32.0,39.0,53.0,53.0,45.0,75.0,56.0,62.0,34.0,70.0,60.0,56.0,36.0,64.0,53.0,36.0,38.0,53.0,,,40.0,11.0,,,31.5,49.5,766.5,1134.5
20,44.5,48.5,22.5,58.5,44.5,37.5,34.5,29.5,35.5,33.5,43.5,29.5,77.5,71.5,84.5,79.5,72.5,81.5,63.5,59.5,65.5,59.5,57.5,67.5,73.5,64.5,68.5,69.5,65.5,51.5,53.5,36.5,62.5,47.5,55.5,56.5,71.5,87.5,69.5,71.5,64.5,77.5,56.5,54.5,58.5,58.5,56.5,47.5,67.5,67.5,66.5,58.5,55.5,52.5,49.5,43.5,46.5,47.5,39.5,32.5,58.5,67.5,68.5,66.5,59.5,58.5,47.5,56.5,45.5,47.5,40.5,54.5,52.5,59.5,41.5,44.5,53.5,49.5,46.5,50.5,44.5,20.5,14.5,25.5,,,21.5,9.5,,,43.0,48.0,639.0,699.0
40,52.5,55.5,20.5,41.5,52.5,33.5,34.5,34.5,33.5,41.5,41.5,31.5,75.5,79.5,65.5,64.5,70.5,67.5,59.5,70.5,52.5,56.5,47.5,62.5,62.5,51.5,50.5,54.5,55.5,48.5,42.5,39.5,54.5,50.5,40.5,50.5,68.5,71.5,71.5,65.5,59.5,54.5,61.5,63.5,53.5,55.5,58.5,57.5,65.5,69.5,60.5,60.5,57.5,48.5,34.5,45.5,53.5,46.5,43.5,39.5,67.5,64.5,69.5,69.5,57.5,59.5,52.5,45.5,43.5,51.5,41.5,48.5,64.5,57.5,52.5,48.5,43.5,59.5,40.5,40.5,38.5,25.5,26.5,39.5,,,26.5,17.5,,,25.5,37.5,837.5,905.5
60,52.0,41.0,37.0,40.0,50.0,41.0,44.0,53.0,33.0,41.0,40.0,34.0,90.0,83.0,85.0,67.0,65.0,77.0,61.0,67.0,70.0,63.0,64.0,83.0,67.0,54.0,64.0,70.0,58.0,46.0,48.0,42.0,60.0,63.0,59.0,67.0,87.0,77.0,67.0,71.0,65.0,67.0,44.0,66.0,52.0,66.0,46.0,62.0,74.0,72.0,63.0,66.0,64.0,58.0,51.0,42.0,49.0,53.0,48.0,61.0,78.0,72.0,73.0,59.0,51.0,61.0,63.0,51.0,52.0,45.0,56.0,55.0,65.0,66.0,49.0,51.0,69.0,60.0,42.0,51.0,42.0,25.0,31.0,50.0,,,36.0,24.0,,,30.5,40.5,1124.5,1198.5
80,70.5,64.5,41.5,60.5,63.5,28.5,44.5,48.5,58.5,59.5,53.5,40.5,101.5,85.5,96.5,83.5,78.5,83.5,78.5,75.5,71.5,82.5,62.5,77.5,80.5,64.5,68.5,76.5,81.5,57.5,58.5,54.5,61.5,61.5,67.5,72.5,85.5,91.5,93.5,87.5,78.5,76.5,73.5,73.5,58.5,68.5,65.5,77.5,80.5,69.5,74.5,69.5,62.5,71.5,47.5,59.5,57.5,59.5,53.5,59.5,82.5,72.5,81.5,73.5,64.5,72.5,64.5,58.5,59.5,64.5,47.5,62.5,75.5,85.5,57.5,62.5,66.5,52.5,49.5,58.5,47.5,50.5,27.5,46.5,,,36.5,24.5,,,36.5,47.5,1436.5,1494.5
100,56.5,57.5,32.5,41.5,62.5,47.5,50.5,40.5,37.5,45.5,47.5,38.5,88.5,85.5,86.5,92.5,72.5,85.5,73.5,76.5,66.5,70.5,65.5,77.5,68.5,63.5,62.5,63.5,60.5,53.5,51.5,44.5,64.5,59.5,59.5,56.5,83.5,81.5,85.5,69.5,82.5,84.5,65.5,65.5,68.5,60.5,64.5,74.5,73.5,74.5,71.5,60.5,59.5,66.5,51.5,50.5,42.5,44.5,45.5,61.5,75.5,77.5,76.5,63.5,57.5,64.5,50.5,52.5,51.5,48.5,47.5,52.5,67.5,57.5,47.5,62.5,63.5,52.5,41.5,42.5,45.5,39.5,20.5,49.5,,,31.5,20.5,,,44.5,60.5,1717.5,1780.5
120,59.5,64.5,33.5,53.5,59.5,53.5,42.5,58.5,49.5,48.5,45.5,48.5,110.5,93.5,96.5,96.5,89.5,107.5,81.5,85.5,72.5,83.5,58.5,86.5,82.5,69.5,68.5,81.5,72.5,63.5,43.5,49.5,60.5,80.5,70.5,79.5,89.5,101.5,86.5,96.5,107.5,96.5,62.5,63.5,69.5,67.5,66.5,81.5,79.5,68.5,70.5,80.5,73.5,76.5,51.5,54.5,50.5,70.5,62.5,73.5,82.5,80.5,76.5,71.5,59.5,58.5,58.5,54.5,60.5,64.5,62.5,69.5,67.5,80.5,57.5,68.5,68.5,62.5,44.5,56.5,55.5,36.5,40.5,58.5,,,26.5,29.5,,,61.0,74.0,2049.0,2161.0
140,86.5,85.5,62.5,68.5,77.5,62.5,74.5,75.5,62.5,50.5,65.5,62.5,129.5,140.5,117.5,128.5,117.5,133.5,101.5,90.5,107.5,100.5,93.5,106.5,107.5,92.5,90.5,104.5,104.5,97.5,90.5,71.5,87.5,90.5,101.5,105.5,102.5,121.5,116.5,111.5,165.5,158.5,94.5,88.5,104.5,96.5,101.5,113.5,96.5,91.5,83.5,97.5,114.5,98.5,74.5,86.5,84.5,75.5,74.5,81.5,95.5,89.5,98.5,87.5,79.5,83.5,73.5,83.5,77.5,75.5,81.5,91.5,78.5,79.5,65.5,86.5,83.5,74.5,72.5,65.5,61.5,60.5,55.5,65.5,,,53.5,30.5,,,66.5,93.5,2500.5,2674.5
160,116.0,103.0,89.0,88.0,119.0,87.0,101.0,87.0,77.0,89.0,84.0,81.0,159.0,164.0,253.0,366.0,586.0,867.0,124.0,117.0,125.0,145.0,156.0,193.0,132.0,103.0,110.0,275.0,323.0,157.0,97.0,93.0,134.0,123.0,352.0,276.0,129.0,157.0,164.0,164.0,450.0,288.0,109.0,116.0,123.0,128.0,137.0,175.0,123.0,114.0,120.0,120.0,168.0,164.0,101.0,95.0,89.0,100.0,108.0,134.0,100.0,110.0,111.0,118.0,102.0,128.0,101.0,106.0,103.0,108.0,112.0,131.0,96.0,93.0,90.0,94.0,91.0,100.0,86.0,104.0,88.0,92.0,82.0,81.0,,,75.0,47.0,,,110.5,127.5,3125.5,3437.5
180,151.0,142.0,204.0,150.0,1053.0,352.0,124.0,140.0,118.0,117.0,153.0,153.0,225.0,411.0,1351.0,1945.0,3539.0,4144.0,182.0,191.0,328.0,553.0,1140.0,1266.0,168.0,189.0,499.0,1691.0,2474.0,1085.0,151.0,169.0,585.0,489.0,2268.0,1908.0,186.0,421.0,1205.0,1047.0,2827.0,1776.0,165.0,186.0,270.0,242.0,611.0,862.0,156.0,170.0,235.0,417.0,717.0,670.0,124.0,153.0,168.0,162.0,300.0,335.0,144.0,159.0,190.0,510.0,256.0,505.0,136.0,146.0,177.0,180.0,215.0,226.0,130.0,127.0,121.0,128.0,134.0,183.0,120.0,116.0,121.0,147.0,141.0,177.0,,,106.0,74.0,,,164.5,183.5,4118.5,4623.5
