time,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,blank-kan_0,blank-kan_1,negative-control-kan_0,negative-control-kan_1,blank-amp_0,blank-amp_1,negative-control-amp_0,negative-control-amp_1,positive-control-amp_0,positive-control-amp_1
0,33.0,39.0,46.0,30.0,27.0,26.0,19.0,39.0,28.0,24.0,33.0,11.0,59.0,54.0,55.0,56.0,37.0,48.0,42.0,45.0,46.0,44.0,46.0,43.0,49.0,42.0,47.0,58.0,44.0,47.0,47.0,39.0,44.0,45.0,32.0,35.0,38.0,50.0,39.0,42.0,47.0,45.0,51.0,46.0,42.0,43.0,34.0,42.0,44.0,41.0,38.0,41.0,32.0,35.0,29.0,25.0,32.0,30.0,24.0,37.0,37.0,35.0,33.0,49.0,34.0,26.0,21.0,25.0,32.0,25.0,29.0,40.0,35.0,28.0,19.0,38.0,33.0,30.0,27.0,26.0,32.0,20.0,14.0,34.0,,,16.0,8.0,,,12.0,18.0,374.0,544.0
20,29.0,26.0,21.0,26.0,26.0,22.0,23.0,20.0,16.0,25.0,15.0,21.0,42.0,39.0,40.0,40.0,34.0,35.0,34.0,29.0,38.0,30.0,33.0,33.0,32.0,33.0,33.0,34.0,26.0,25.0,34.0,32.0,31.0,29.0,24.0,29.0,32.0,40.0,44.0,40.0,42.0,41.0,29.0,28.0,35.0,30.0,22.0,27.0,34.0,31.0,37.0,32.0,28.0,29.0,20.0,26.0,20.0,29.0,16.0,28.0,34.0,34.0,35.0,32.0,33.0,34.0,22.0,32.0,28.0,30.0,22.0,22.0,27.0,26.0,16.0,26.0,29.0,31.0,21.0,27.0,16.0,20.0,20.0,16.0,,,11.0,8.0,,,13.5,16.5,298.5,330.5
40,22.0,29.0,18.0,18.0,23.0,17.0,21.0,21.0,17.0,17.0,26.0,22.0,45.0,34.0,40.0,36.0,38.0,42.0,32.0,31.0,29.0,31.0,25.0,34.0,34.0,28.0,24.0,35.0,26.0,25.0,26.0,20.0,28.0,26.0,22.0,26.0,37.0,35.0,39.0,31.0,30.0,33.0,22.0,27.0,24.0,19.0,21.0,25.0,39.0,29.0,36.0,29.0,26.0,26.0,26.0,23.0,27.0,23.0,21.0,23.0,27.0,26.0,32.0,26.0,26.0,27.0,25.0,19.0,25.0,24.0,24.0,23.0,28.0,24.0,21.0,20.0,28.0,15.0,15.0,15.0,15.0,10.0,6.0,14.0,,,12.0,7.0,,,9.5,15.5,398.5,437.5
60,36.0,34.0,26.0,28.0,28.0,22.0,26.0,27.0,25.0,28.0,27.0,23.0,46.0,43.0,39.0,46.0,42.0,44.0,40.0,32.0,37.0,38.0,34.0,46.0,40.0,36.0,35.0,37.0,30.0,26.0,33.0,25.0,29.0,28.0,32.0,30.0,42.0,45.0,38.0,39.0,37.0,35.0,35.0,34.0,32.0,36.0,33.0,32.0,41.0,40.0,36.0,39.0,33.0,28.0,27.0,27.0,27.0,24.0,27.0,32.0,41.0,35.0,35.0,32.0,31.0,34.0,29.0,28.0,29.0,34.0,33.0,26.0,36.0,35.0,31.0,31.0,32.0,29.0,25.0,24.0,25.0,25.0,16.0,25.0,,,24.0,13.0,,,14.0,22.0,537.0,579.0
80,28.0,34.0,15.0,22.0,31.0,18.0,19.0,24.0,14.0,21.0,24.0,18.0,39.0,44.0,43.0,36.0,31.0,32.0,32.0,36.0,34.0,31.0,28.0,42.0,35.0,33.0,25.0,31.0,26.0,21.0,22.0,20.0,27.0,30.0,25.0,27.0,32.0,41.0,35.0,35.0,36.0,34.0,23.0,27.0,29.0,31.0,25.0,28.0,31.0,30.0,33.0,34.0,30.0,28.0,19.0,20.0,25.0,25.0,20.0,25.0,31.0,26.0,31.0,24.0,23.0,28.0,20.0,23.0,20.0,26.0,22.0,27.0,27.0,32.0,25.0,21.0,21.0,24.0,17.0,16.0,14.0,16.0,14.0,22.0,,,9.0,6.0,,,11.5,19.5,690.5,711.5
100,33.0,33.0,24.0,32.0,30.0,20.0,26.0,25.0,16.0,26.0,28.0,27.0,46.0,47.0,45.0,41.0,33.0,44.0,41.0,34.0,35.0,39.0,31.0,37.0,36.0,34.0,33.0,34.0,34.0,17.0,28.0,20.0,36.0,31.0,32.0,32.0,42.0,39.0,41.0,34.0,34.0,34.0,28.0,32.0,29.0,28.0,27.0,39.0,33.0,35.0,35.0,28.0,35.0,27.0,27.0,27.0,23.0,23.0,29.0,25.0,35.0,39.0,32.0,32.0,31.0,28.0,20.0,24.0,27.0,23.0,20.0,23.0,33.0,35.0,27.0,29.0,27.0,27.0,25.0,21.0,18.0,19.0,13.0,18.0,,,14.0,6.0,,,17.0,33.0,822.0,851.0
120,36.0,32.0,25.0,33.0,33.0,23.0,28.0,32.0,25.0,21.0,28.0,27.0,55.0,51.0,51.0,47.0,44.0,52.0,41.0,43.0,43.0,38.0,36.0,44.0,37.0,34.0,35.0,42.0,36.0,35.0,32.0,28.0,37.0,32.0,39.0,38.0,40.0,47.0,45.0,46.0,50.0,49.0,36.0,39.0,44.0,39.0,36.0,45.0,41.0,40.0,40.0,34.0,40.0,41.0,24.0,31.0,29.0,31.0,33.0,37.0,39.0,38.0,38.0,35.0,34.0,34.0,29.0,30.0,27.0,29.0,31.0,35.0,38.0,37.0,30.0,34.0,26.0,30.0,27.0,28.0,26.0,24.0,22.0,27.0,,,15.0,9.0,,,28.5,26.5,981.5,1033.5
140,39.5,39.5,34.5,37.5,39.5,30.5,36.5,35.5,33.5,31.5,35.5,30.5,68.5,59.5,58.5,65.5,64.5,68.5,54.5,52.5,46.5,52.5,50.5,53.5,50.5,42.5,43.5,54.5,53.5,47.5,37.5,35.5,47.5,44.5,52.5,55.5,50.5,63.5,51.5,54.5,78.5,75.5,39.5,41.5,44.5,41.5,42.5,55.5,43.5,51.5,48.5,43.5,52.5,52.5,35.5,39.5,40.5,38.5,40.5,41.5,44.5,39.5,41.5,43.5,35.5,42.5,34.5,39.5,42.5,36.5,45.5,43.5,37.5,34.5,33.5,39.5,36.5,29.5,30.5,32.5,30.5,27.5,24.5,31.5,,,29.5,24.5,,,44.5,42.5,1215.5,1297.5
160,59.5,51.5,44.5,45.5,62.5,45.5,48.5,41.5,43.5,42.5,42.5,49.5,84.5,80.5,118.5,170.5,266.5,392.5,70.5,58.5,64.5,72.5,76.5,86.5,65.5,52.5,54.5,123.5,146.5,74.5,50.5,52.5,61.5,57.5,168.5,124.5,60.5,70.5,82.5,76.5,207.5,134.5,56.5,56.5,62.5,58.5,70.5,86.5,52.5,60.5,59.5,58.5,72.5,83.5,48.5,49.5,41.5,50.5,58.5,59.5,51.5,51.5,53.5,58.5,50.5,58.5,49.5,47.5,51.5,52.5,61.5,63.5,53.5,42.5,39.5,44.5,41.5,41.5,43.5,41.5,40.5,36.5,37.5,42.5,,,36.5,25.5,,,63.5,62.5,1496.5,1654.5
180,75.0,68.0,91.0,68.0,471.0,158.0,60.0,59.0,56.0,56.0,69.0,71.0,116.0,195.0,625.0,902.0,1652.0,1955.0,91.0,88.0,151.0,263.0,525.0,583.0,74.0,93.0,221.0,788.0,1159.0,494.0,64.0,79.0,265.0,228.0,1069.0,878.0,92.0,195.0,548.0,472.0,1302.0,809.0,71.0,83.0,120.0,112.0,284.0,393.0,69.0,72.0,115.0,182.0,326.0,306.0,63.0,65.0,70.0,78.0,135.0,148.0,63.0,77.0,86.0,225.0,115.0,228.0,61.0,67.0,78.0,83.0,100.0,110.0,61.0,60.0,53.0,59.0,59.0,81.0,56.0,57.0,55.0,67.0,62.0,85.0,,,49.0,38.0,,,70.0,84.0,1956.0,2199.0
