part_name,site,type
PBAD,P,sensor
PCin,P,sensor
PSalTTC,P,sensor
PLuxB,P,sensor
RBS33,R,rbs
RBS34,RN,rbs
E11-PhoRadA,NOC,cds
E20-gp411,NOC,cds
E38-gp418,NOC,cds
sGFP,O,reporter
mCherry,O,reporter
B0015,T,terminator
B0015,CT,terminator
