id,name,promoter,rbs,cds,terminator,vector
1,pJ1-PBAD-rJ-34-sGFP_A,PBAD-RiboJ_P,B0034_RN,sGFP_O,B0015_CT,1A
2,pJ1-PBetI-rJ-34-sGFP_A,PBetI-RiboJ_P,B0034_RN,sGFP_O,B0015_CT,1A
3,pJ1-PLuxB-rJ-34-sGFP_A,PLuxB-RiboJ_P,B0034_RN,sGFP_O,B0015_CT,1A
4,pJ1-PSalTTC-rJ-34-sGFP_A,PSalTTC-RiboJ_P,B0034_RN,sGFP_O,B0015_CT,1A
5,pJ1-PTac-rJ-34-sGFP_A,PTac-RiboJ_P,B0034_RN,mCherry_O,B0015_CT,1A
6,pJ1-PBAD-rJ-34-mCherry_A,PBAD-RiboJ_P,B0034_RN,mCherry_O,B0015_CT,1A
7,pJ1-PBetI-rJ-34-mCherry_A,PBetI-RiboJ_P,B0034_RN,mCherry_O,B0015_CT,1A
8,pJ1-PLuxB-rJ-34-mCherry_A,PLuxB-RiboJ_P,B0034_RN,mCherry_O,B0015_CT,1A
9,pJ1-PSalTTC-rJ-34-mCherry_A,PSalTTC-RiboJ_P,B0034_RN,mCherry_O,B0015_CT,1A
10,pJ1-PTac-rJ-34-mCherry_A,PTac-RiboJ_P,B0034_RN,mCherry_O,B0015_CT,1A
