group,1,2,3,4,5,6,7,8,9,10,11,12
A,E1,E1,E1,E1,E1,E1,E2,E2,E2,E2,E2,E2
B,E1,E1,E1,E1,E1,E1,E2,E2,E2,E2,E2,E2
C,E1,E1,E1,E1,E1,E1,E2,E2,E2,E2,E2,E2
D,E1,E1,E1,E1,E1,E1,E2,E2,E2,E2,E2,E2
E,E1,E1,E1,E1,E1,E1,E2,E2,E2,E2,E2,E2
F,E1,E1,E1,E1,E1,E1,E2,E2,E2,E2,E2,E2
G,N_3K3,N_3K3,N_3K3,P_3K3,P_3K3,P_3K3,N_4A3,N_4A3,N_4A3,P_4A3,P_4A3,P_4A3
H,B_K,B_K,B_K,,,,B_A,B_A,B_A,,,
