time,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,95.5,73.5,79.5,79.5,69.5,80.5,64.5,40.5,48.5,38.5,52.5,45.5,103.5,83.5,79.5,81.5,83.5,72.5,78.5,55.5,54.5,55.5,47.5,68.5,79.5,74.5,76.5,74.5,63.5,64.5,68.5,48.5,46.5,44.5,47.5,58.5,67.5,60.5,59.5,60.5,50.5,47.5,53.5,37.5,44.5,30.5,38.5,52.5,55.5,52.5,47.5,47.5,42.5,37.5,38.5,35.5,31.5,26.5,35.5,42.5,49.5,44.5,52.5,50.5,43.5,44.5,40.5,31.5,34.5,23.5,26.5,45.5,,,59.5,46.5,,,119.0,91.0,2858.0,3054.0
20,140.5,264.5,528.5,696.5,690.5,651.5,84.5,66.5,85.5,212.5,244.5,251.5,152.5,307.5,542.5,751.5,737.5,627.5,102.5,81.5,94.5,232.5,296.5,370.5,128.5,309.5,539.5,689.5,678.5,661.5,94.5,73.5,77.5,66.5,87.5,118.5,84.5,83.5,123.5,160.5,146.5,128.5,78.5,59.5,67.5,64.5,76.5,95.5,76.5,124.5,221.5,294.5,310.5,280.5,67.5,53.5,55.5,50.5,84.5,100.5,89.5,447.5,1027.5,1193.5,1196.5,1191.5,57.5,58.5,81.5,254.5,349.5,376.5,,,87.5,58.5,,,150.0,123.0,3586.0,3784.0
40,198.0,1006.0,2275.0,2798.0,2740.0,2368.0,113.0,99.0,367.0,1469.0,1491.0,1363.0,213.0,1007.0,2328.0,2858.0,2795.0,2370.0,130.0,115.0,271.0,1636.0,1877.0,1929.0,252.0,1551.0,2325.0,2636.0,2386.0,2029.0,122.0,110.0,126.0,316.0,667.0,807.0,123.0,331.0,798.0,909.0,791.0,505.0,108.0,96.0,109.0,422.0,553.0,450.0,135.0,570.0,1180.0,1464.0,1455.0,1268.0,100.0,89.0,98.0,304.0,813.0,675.0,150.0,1204.0,2914.0,3343.0,3325.0,3312.0,95.0,84.0,188.0,1137.0,1206.0,1258.0,,,122.0,96.0,,,194.0,168.0,4803.0,5055.0
60,291.5,2265.5,5826.5,6795.5,6422.5,5334.5,167.5,161.5,1094.5,3794.5,3650.5,3121.5,304.5,2073.5,5478.5,6687.5,6334.5,5133.5,181.5,170.5,724.5,4396.5,4386.5,4182.5,438.5,3613.5,5325.5,5683.5,5068.5,4022.5,193.5,172.5,189.5,1170.5,2162.5,2226.5,199.5,1114.5,2618.5,2708.5,2292.5,1336.5,156.5,146.5,251.5,1761.5,1952.5,1359.5,205.5,1416.5,3000.5,3568.5,3510.5,2986.5,143.5,143.5,162.5,1092.5,2382.5,1589.5,216.5,1745.5,4675.5,5283.5,5209.5,5180.5,128.5,129.5,283.5,1926.5,1796.5,1964.5,,,155.5,133.5,,,258.0,232.0,6093.0,6382.0
80,367.0,3201.0,9092.0,11074.0,10933.0,9520.0,212.0,238.0,2153.0,6678.0,6533.0,5160.0,398.0,2800.0,9877.0,11582.0,11226.0,9346.0,239.0,245.0,1310.0,8009.0,8134.0,6946.0,649.0,6378.0,9579.0,9865.0,8648.0,6652.0,261.0,244.0,299.0,2881.0,4320.0,4016.0,300.0,2624.0,5884.0,5820.0,4954.0,2761.0,222.0,212.0,445.0,3875.0,4482.0,2886.0,315.0,2724.0,5856.0,6891.0,6729.0,5567.0,190.0,193.0,235.0,2318.0,4797.0,2808.0,276.0,2262.0,6712.0,7541.0,7427.0,7359.0,181.0,175.0,398.0,2911.0,2375.0,2568.0,,,205.0,178.0,,,318.5,291.5,7047.5,7393.5
100,423.0,3594.0,10938.0,13973.0,13966.0,12472.0,263.0,300.0,2770.0,8518.0,9016.0,7803.0,459.0,3065.0,13580.0,16303.0,15952.0,13863.0,282.0,289.0,1632.0,11518.0,12027.0,10839.0,758.0,8293.0,14860.0,15148.0,13534.0,10250.0,313.0,297.0,399.0,4734.0,6648.0,6171.0,405.0,3671.0,8644.0,9296.0,7272.0,4832.0,277.0,260.0,612.0,5306.0,6336.0,4884.0,408.0,3953.0,9050.0,10922.0,10688.0,9054.0,246.0,240.0,315.0,3138.0,7361.0,4507.0,331.0,2639.0,8567.0,9759.0,9734.0,9649.0,228.0,211.0,483.0,4015.0,3116.0,3288.0,,,240.0,214.0,,,358.0,326.0,7883.0,8277.0
120,474.5,3817.5,12162.5,15881.5,16154.5,14399.5,314.5,358.5,3132.5,9870.5,11011.5,10785.5,525.5,3314.5,16197.5,19700.5,19749.5,17826.5,318.5,341.5,1783.5,13971.5,16013.5,15064.5,833.5,8984.5,18672.5,19435.5,17992.5,14331.5,359.5,344.5,457.5,6105.5,8609.5,8493.5,474.5,4297.5,10203.5,11231.5,8836.5,6227.5,340.5,318.5,720.5,6264.5,7618.5,6405.5,468.5,4664.5,11394.5,14173.5,14007.5,12395.5,285.5,272.5,366.5,3647.5,8946.5,6324.5,377.5,2838.5,9900.5,11686.5,11832.5,11689.5,264.5,262.5,565.5,5114.5,4078.5,4235.5,,,276.5,257.5,,,399.5,370.5,8702.5,9099.5
140,520.5,4060.5,13505.5,17743.5,18309.5,16289.5,352.5,406.5,3335.5,10967.5,12610.5,12941.5,569.5,3536.5,18143.5,22528.5,22887.5,20929.5,377.5,373.5,1874.5,15582.5,19599.5,19891.5,886.5,9370.5,21300.5,22287.5,21058.5,17467.5,401.5,377.5,506.5,7068.5,10582.5,10720.5,541.5,4694.5,11288.5,12503.5,9938.5,7179.5,371.5,370.5,799.5,6901.5,8559.5,7605.5,535.5,5257.5,13242.5,16590.5,16486.5,14641.5,324.5,321.5,409.5,4101.5,9857.5,7771.5,420.5,3125.5,11508.5,13800.5,14039.5,13759.5,292.5,292.5,623.5,6135.5,5698.5,5366.5,,,310.5,288.5,,,441.0,414.0,9414.0,9848.0
160,568.5,4300.5,14844.5,19777.5,20575.5,18516.5,409.5,455.5,3539.5,12170.5,14332.5,15249.5,623.5,3754.5,19990.5,25359.5,26053.5,23894.5,411.5,430.5,1974.5,16895.5,22728.5,24765.5,943.5,9688.5,23485.5,25045.5,23917.5,19993.5,440.5,429.5,554.5,7790.5,12347.5,13143.5,602.5,5038.5,12225.5,13546.5,10890.5,8022.5,428.5,412.5,875.5,7594.5,9447.5,8767.5,579.5,5743.5,14982.5,18816.5,18760.5,16956.5,378.5,355.5,470.5,4559.5,10746.5,8865.5,468.5,3448.5,13271.5,16168.5,16601.5,16264.5,350.5,337.5,696.5,7205.5,7902.5,7804.5,,,339.5,320.5,,,478.5,442.5,10068.5,10589.5
180,614.5,4487.5,15972.5,21533.5,22741.5,20568.5,459.5,501.5,3700.5,13348.5,16220.5,17602.5,660.5,3909.5,21638.5,28343.5,29212.5,27006.5,460.5,464.5,2073.5,18137.5,25480.5,29532.5,973.5,9918.5,25300.5,27685.5,26673.5,22585.5,478.5,478.5,604.5,8246.5,13783.5,15302.5,665.5,5380.5,13078.5,14588.5,11969.5,8900.5,472.5,461.5,945.5,8116.5,10310.5,9893.5,641.5,6290.5,16751.5,21086.5,21053.5,19057.5,411.5,399.5,528.5,4928.5,11560.5,9754.5,523.5,3767.5,15141.5,18714.5,19210.5,18880.5,390.5,383.5,771.5,8153.5,10075.5,10769.5,,,381.5,362.5,,,508.0,477.0,10701.0,11161.0
