time,pBAD/Ara_12,pBAD/Ara_13,pBAD/Ara_14,pBAD/Ara_15,pBAD/Ara_16,pBAD/Ara_17,pBAD/Ara_18,pBAD/Ara_19,pBAD/Ara_20,pBAD/Ara_21,pBAD/Ara_22,pBAD/Ara_23,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCymRC/Cuma_12,pCymRC/Cuma_13,pCymRC/Cuma_14,pCymRC/Cuma_15,pCymRC/Cuma_16,pCymRC/Cuma_17,pCymRC/Cuma_18,pCymRC/Cuma_19,pCymRC/Cuma_20,pCymRC/Cuma_21,pCymRC/Cuma_22,pCymRC/Cuma_23,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pRhaB/Rha_12,pRhaB/Rha_13,pRhaB/Rha_14,pRhaB/Rha_15,pRhaB/Rha_16,pRhaB/Rha_17,pRhaB/Rha_18,pRhaB/Rha_19,pRhaB/Rha_20,pRhaB/Rha_21,pRhaB/Rha_22,pRhaB/Rha_23,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,143.5,42.5,96.5,56.5,51.5,57.5,61.5,59.5,48.5,44.5,41.5,52.5,112.5,108.5,133.5,101.5,123.5,116.5,85.5,119.5,122.5,110.5,116.5,106.5,83.5,57.5,43.5,65.5,79.5,53.5,90.5,39.5,41.5,54.5,35.5,88.5,54.5,45.5,44.5,71.5,29.5,35.5,56.5,23.5,34.5,2.5,31.5,-0.5,59.5,91.5,100.5,80.5,79.5,62.5,52.5,81.5,76.5,65.5,41.5,58.5,75.5,90.5,84.5,90.5,59.5,94.5,83.5,80.5,72.5,88.5,54.5,60.5,,,103.5,27.5,,,84.5,44.5,2492.5,1905.5
20,93.0,54.0,57.0,35.0,50.0,61.0,68.0,61.0,48.0,59.0,52.0,67.0,82.0,111.0,95.0,86.0,91.0,100.0,73.0,106.0,77.0,96.0,69.0,104.0,64.0,33.0,44.0,59.0,12.0,26.0,46.0,19.0,27.0,32.0,57.0,82.0,49.0,31.0,36.0,57.0,29.0,44.0,21.0,27.0,15.0,10.0,36.0,18.0,87.0,63.0,63.0,54.0,65.0,65.0,55.0,67.0,83.0,55.0,80.0,80.0,62.0,73.0,63.0,67.0,68.0,68.0,58.0,74.0,24.0,51.0,30.0,64.0,,,111.0,19.0,,,81.5,69.5,1608.5,1391.5
40,99.5,39.5,69.5,26.5,38.5,51.5,53.5,38.5,33.5,33.5,43.5,52.5,72.5,80.5,71.5,73.5,77.5,77.5,46.5,73.5,75.5,76.5,56.5,77.5,58.5,30.5,64.5,109.5,117.5,126.5,134.5,107.5,157.5,146.5,141.5,125.5,40.5,17.5,24.5,17.5,19.5,13.5,-5.5,12.5,6.5,-5.5,15.5,25.5,62.5,127.5,167.5,152.5,131.5,194.5,169.5,195.5,180.5,211.5,239.5,262.5,61.5,62.5,37.5,50.5,53.5,48.5,55.5,47.5,48.5,70.5,98.5,120.5,,,105.5,16.5,,,81.0,41.0,2082.0,1888.0
60,100.5,70.5,72.5,28.5,65.5,59.5,61.5,50.5,60.5,37.5,86.5,72.5,91.5,105.5,86.5,78.5,100.5,109.5,68.5,100.5,89.5,100.5,82.5,105.5,60.5,50.5,113.5,216.5,233.5,300.5,305.5,310.5,364.5,325.5,402.5,258.5,45.5,31.5,27.5,6.5,39.5,33.5,8.5,25.5,11.5,34.5,18.5,46.5,89.5,399.5,436.5,481.5,457.5,550.5,495.5,539.5,562.5,583.5,694.5,672.5,90.5,62.5,66.5,59.5,56.5,66.5,55.5,77.5,73.5,147.5,206.5,333.5,,,128.5,25.5,,,106.0,64.0,2723.0,2496.0
80,104.0,57.0,55.0,29.0,39.0,66.0,63.0,59.0,58.0,66.0,83.0,93.0,85.0,80.0,83.0,76.0,88.0,80.0,63.0,96.0,87.0,87.0,49.0,106.0,82.0,40.0,144.0,325.0,397.0,531.0,539.0,572.0,714.0,576.0,780.0,446.0,40.0,22.0,18.0,21.0,17.0,32.0,9.0,25.0,10.0,12.0,17.0,24.0,66.0,835.0,991.0,1123.0,1095.0,1343.0,1139.0,1273.0,1279.0,1346.0,1640.0,1588.0,79.0,71.0,60.0,66.0,72.0,60.0,51.0,74.0,97.0,206.0,402.0,645.0,,,130.0,24.0,,,119.5,84.5,3344.5,3167.5
100,124.0,71.0,62.0,35.0,59.0,51.0,70.0,49.0,83.0,74.0,291.0,416.0,106.0,92.0,94.0,95.0,95.0,102.0,79.0,103.0,102.0,92.0,83.0,101.0,69.0,47.0,175.0,427.0,578.0,877.0,906.0,993.0,1230.0,994.0,1363.0,720.0,61.0,32.0,31.0,39.0,28.0,16.0,16.0,30.0,17.0,5.0,30.0,29.0,97.0,1795.0,2238.0,2544.0,2508.0,3089.0,2623.0,2862.0,2906.0,3039.0,3641.0,3429.0,77.0,74.0,61.0,76.0,74.0,85.0,78.0,97.0,136.0,297.0,684.0,1262.0,,,135.0,43.0,,,118.0,104.0,3649.0,3620.0
120,136.0,91.0,115.0,61.0,80.0,104.0,114.0,100.0,162.0,244.0,1195.0,1597.0,116.0,129.0,117.0,125.0,105.0,132.0,100.0,124.0,121.0,115.0,103.0,125.0,97.0,94.0,216.0,575.0,904.0,1484.0,1459.0,1653.0,2160.0,1626.0,2282.0,1123.0,89.0,70.0,56.0,65.0,52.0,60.0,51.0,47.0,29.0,43.0,40.0,74.0,111.0,2990.0,3981.0,4791.0,4804.0,5837.0,4989.0,5543.0,5632.0,5847.0,6965.0,6542.0,121.0,116.0,109.0,105.0,102.0,97.0,96.0,109.0,167.0,436.0,988.0,1967.0,,,180.0,92.0,,,156.0,108.0,4432.0,4357.0
140,181.0,143.0,122.0,95.0,114.0,127.0,170.0,165.0,488.0,863.0,3938.0,4694.0,133.0,154.0,127.0,139.0,140.0,150.0,115.0,149.0,160.0,144.0,124.0,150.0,123.0,115.0,282.0,829.0,1467.0,2597.0,2480.0,2884.0,3754.0,2748.0,3793.0,1609.0,120.0,77.0,85.0,98.0,51.0,71.0,57.0,68.0,54.0,56.0,53.0,80.0,131.0,4458.0,6269.0,7972.0,8082.0,9874.0,8503.0,9391.0,9491.0,9880.0,11703.0,11021.0,159.0,145.0,125.0,134.0,105.0,128.0,124.0,149.0,212.0,553.0,1380.0,2817.0,,,224.0,157.0,,,199.0,185.0,5529.0,5451.0
160,236.0,181.0,195.0,122.0,231.0,375.0,2247.0,1977.0,4785.0,4162.0,12359.0,13423.0,190.0,205.0,169.0,178.0,167.0,185.0,158.0,193.0,214.0,176.0,159.0,187.0,177.0,167.0,401.0,1434.0,2560.0,4628.0,4415.0,5176.0,6702.0,4848.0,6124.0,2228.0,117.0,116.0,115.0,120.0,100.0,99.0,92.0,100.0,100.0,96.0,96.0,122.0,173.0,6849.0,9722.0,12954.0,13358.0,16259.0,14154.0,15445.0,15586.0,16242.0,19112.0,17664.0,195.0,175.0,182.0,183.0,160.0,170.0,177.0,205.0,303.0,796.0,2204.0,4415.0,,,271.0,187.0,,,298.5,267.5,7006.5,6936.5
180,359.5,357.5,497.5,354.5,1234.5,5558.5,16401.5,14835.5,20170.5,16297.5,29680.5,31096.5,267.5,276.5,247.5,256.5,257.5,256.5,243.5,296.5,289.5,256.5,234.5,257.5,224.5,231.5,794.5,2907.5,4920.5,8372.5,7981.5,9039.5,11119.5,8102.5,9894.5,3060.5,201.5,159.5,164.5,163.5,136.5,139.5,132.5,126.5,118.5,132.5,157.5,143.5,213.5,11442.5,16097.5,21638.5,21956.5,26911.5,23270.5,25074.5,25331.5,26149.5,30469.5,27667.5,255.5,250.5,227.5,245.5,232.5,227.5,249.5,252.5,458.5,1395.5,3906.5,7606.5,,,376.5,292.5,,,398.5,383.5,9142.5,9322.5
