time,e20x33_0,e20x33_1,e20x33_2,e20x33_3,e20x33_4,e20x33_5,e20x32gp411_0,e20x32gp411_1,e20x32gp411_2,e20x32gp411_3,e20x32gp411_4,e20x32gp411_5,e32x33_0,e32x33_1,e32x33_2,e32x33_3,e32x33_4,e32x33_5,e32x30SspGyrB_0,e32x30SspGyrB_1,e32x30SspGyrB_2,e32x30SspGyrB_3,e32x30SspGyrB_4,e32x30SspGyrB_5,e34x33_0,e34x33_1,e34x33_2,e34x33_3,e34x33_4,e34x33_5,e34x30MjaKlbA_0,e34x30MjaKlbA_1,e34x30MjaKlbA_2,e34x30MjaKlbA_3,e34x30MjaKlbA_4,e34x30MjaKlbA_5,e38x33_0,e38x33_1,e38x33_2,e38x33_3,e38x33_4,e38x33_5,e38x32gp418_0,e38x32gp418_1,e38x32gp418_2,e38x32gp418_3,e38x32gp418_4,e38x32gp418_5,e41x33_0,e41x33_1,e41x33_2,e41x33_3,e41x33_4,e41x33_5,e41x32NrdJ1_0,e41x32NrdJ1_1,e41x32NrdJ1_2,e41x32NrdJ1_3,e41x32NrdJ1_4,e41x32NrdJ1_5,e42x33_0,e42x33_1,e42x33_2,e42x33_3,e42x33_4,e42x33_5,e42x32STIMPDH1_0,e42x32STIMPDH1_1,e42x32STIMPDH1_2,e42x32STIMPDH1_3,e42x32STIMPDH1_4,e42x32STIMPDH1_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,57.0,76.0,69.0,79.0,90.0,65.0,23.0,52.0,44.0,69.0,53.0,65.0,80.0,99.0,88.0,86.0,95.0,101.0,71.0,54.0,70.0,69.0,69.0,66.0,75.0,83.0,100.0,111.0,114.0,113.0,71.0,83.0,73.0,75.0,78.0,67.0,84.0,78.0,72.0,103.0,90.0,102.0,45.0,70.0,46.0,67.0,74.0,65.0,57.0,85.0,67.0,75.0,90.0,84.0,28.0,39.0,27.0,40.0,37.0,32.0,23.0,75.0,69.0,57.0,70.0,70.0,47.0,55.0,55.0,71.0,71.0,61.0,,,24.0,48.0,,,32.0,44.0,197.0,109.0
20,38.5,50.5,47.5,48.5,52.5,56.5,12.5,36.5,41.5,39.5,42.5,38.5,49.5,66.5,65.5,52.5,59.5,75.5,59.5,56.5,55.5,51.5,61.5,64.5,51.5,73.5,73.5,86.5,79.5,96.5,43.5,71.5,62.5,66.5,51.5,63.5,57.5,65.5,77.5,88.5,82.5,73.5,61.5,72.5,74.5,66.5,78.5,67.5,57.5,73.5,70.5,75.5,82.5,70.5,13.5,32.5,21.5,21.5,27.5,19.5,30.5,82.5,78.5,51.5,62.5,67.5,34.5,59.5,47.5,48.5,48.5,50.5,,,67.5,41.5,,,22.5,50.5,180.5,131.5
40,31.0,47.0,37.0,35.0,43.0,47.0,-6.0,23.0,27.0,17.0,38.0,29.0,38.0,52.0,48.0,46.0,46.0,68.0,28.0,49.0,36.0,47.0,50.0,37.0,49.0,57.0,65.0,73.0,75.0,63.0,21.0,47.0,48.0,40.0,37.0,49.0,41.0,56.0,47.0,79.0,73.0,56.0,49.0,69.0,47.0,53.0,64.0,66.0,44.0,62.0,56.0,62.0,64.0,55.0,5.0,17.0,6.0,9.0,21.0,11.0,16.0,73.0,55.0,38.0,55.0,44.0,17.0,51.0,36.0,37.0,42.0,49.0,,,51.0,42.0,,,32.5,50.5,219.5,142.5
60,31.0,65.0,46.0,34.0,28.0,49.0,-19.0,25.0,25.0,21.0,30.0,36.0,39.0,61.0,55.0,49.0,44.0,61.0,35.0,42.0,37.0,44.0,40.0,58.0,37.0,71.0,61.0,95.0,73.0,92.0,33.0,56.0,32.0,48.0,50.0,52.0,48.0,56.0,49.0,78.0,84.0,69.0,49.0,83.0,47.0,60.0,58.0,65.0,48.0,76.0,63.0,55.0,70.0,51.0,5.0,22.0,9.0,15.0,21.0,21.0,18.0,82.0,65.0,48.0,49.0,46.0,22.0,51.0,33.0,36.0,42.0,50.0,,,88.0,41.0,,,43.0,42.0,280.0,150.0
80,37.5,46.5,43.5,36.5,32.5,55.5,12.5,22.5,32.5,31.5,31.5,31.5,34.5,51.5,57.5,61.5,39.5,76.5,34.5,40.5,48.5,41.5,45.5,48.5,37.5,53.5,62.5,112.5,105.5,112.5,45.5,51.5,32.5,39.5,50.5,51.5,51.5,64.5,48.5,95.5,90.5,71.5,50.5,60.5,51.5,52.5,61.5,67.5,42.5,71.5,60.5,69.5,92.5,58.5,4.5,21.5,18.5,3.5,28.5,14.5,39.5,82.5,64.5,50.5,51.5,62.5,21.5,56.5,34.5,30.5,44.5,40.5,,,93.5,50.5,,,59.0,60.0,326.0,196.0
100,37.5,54.5,44.5,71.5,46.5,129.5,31.5,28.5,40.5,35.5,37.5,40.5,47.5,66.5,44.5,79.5,64.5,173.5,49.5,35.5,66.5,53.5,45.5,66.5,51.5,72.5,77.5,229.5,245.5,262.5,70.5,48.5,56.5,61.5,56.5,66.5,58.5,65.5,64.5,146.5,171.5,128.5,68.5,83.5,60.5,55.5,81.5,69.5,56.5,82.5,74.5,102.5,146.5,101.5,39.5,31.5,19.5,29.5,34.5,30.5,59.5,109.5,73.5,44.5,86.5,61.5,33.5,66.5,40.5,42.5,52.5,41.5,,,131.5,53.5,,,57.0,52.0,368.0,219.0
120,38.0,43.0,55.0,91.0,68.0,291.0,40.0,32.0,55.0,55.0,43.0,72.0,56.0,56.0,70.0,145.0,97.0,431.0,80.0,55.0,78.0,66.0,74.0,139.0,68.0,67.0,96.0,589.0,632.0,703.0,94.0,68.0,74.0,78.0,99.0,111.0,66.0,67.0,66.0,273.0,384.0,269.0,97.0,94.0,73.0,88.0,142.0,113.0,77.0,92.0,85.0,182.0,341.0,170.0,64.0,44.0,25.0,29.0,88.0,49.0,80.0,124.0,82.0,61.0,129.0,81.0,47.0,73.0,34.0,46.0,78.0,53.0,,,181.0,49.0,,,81.5,56.5,426.5,232.5
140,34.0,61.0,59.0,151.0,92.0,674.0,58.0,35.0,79.0,65.0,53.0,129.0,64.0,85.0,79.0,299.0,193.0,1041.0,111.0,54.0,97.0,83.0,110.0,253.0,63.0,84.0,120.0,1404.0,1431.0,1581.0,113.0,77.0,83.0,117.0,182.0,209.0,78.0,80.0,72.0,681.0,832.0,540.0,122.0,88.0,77.0,98.0,281.0,205.0,93.0,103.0,116.0,353.0,792.0,327.0,88.0,56.0,31.0,38.0,175.0,96.0,102.0,190.0,120.0,100.0,257.0,82.0,74.0,84.0,45.0,40.0,84.0,52.0,,,237.0,56.0,,,118.0,78.0,531.0,286.0
160,46.0,52.0,55.0,304.0,174.0,2100.0,87.0,39.0,182.0,118.0,80.0,217.0,64.0,91.0,104.0,674.0,352.0,2819.0,151.0,52.0,260.0,155.0,177.0,478.0,60.0,102.0,199.0,3561.0,2805.0,2945.0,163.0,86.0,111.0,237.0,369.0,374.0,102.0,94.0,110.0,1950.0,1768.0,1026.0,160.0,116.0,89.0,144.0,551.0,342.0,130.0,192.0,174.0,1116.0,2274.0,605.0,120.0,91.0,41.0,58.0,393.0,176.0,155.0,730.0,177.0,149.0,829.0,138.0,89.0,108.0,55.0,59.0,112.0,70.0,,,319.0,66.0,,,159.0,74.0,655.0,326.0
180,72.5,77.5,78.5,945.5,322.5,4328.5,137.5,59.5,1207.5,208.5,144.5,387.5,81.5,103.5,166.5,1990.5,683.5,5614.5,217.5,87.5,1348.5,314.5,327.5,847.5,97.5,141.5,430.5,6903.5,5070.5,5075.5,247.5,107.5,182.5,515.5,711.5,619.5,142.5,106.5,185.5,3802.5,2844.5,1740.5,234.5,153.5,148.5,281.5,1065.5,615.5,171.5,1168.5,638.5,2964.5,4253.5,1365.5,187.5,125.5,73.5,112.5,1049.5,358.5,239.5,2180.5,722.5,407.5,2028.5,201.5,133.5,165.5,74.5,64.5,228.5,86.5,,,432.5,82.5,,,258.5,101.5,901.5,429.5
