time,e15SspGyrB,e22SspGyrB,e32SspGyrB,e33SspGyrB,e34SspGyrB,e41SspGyrB,e42SspGyrB,e15TerThyXS2,e22TerThyXS2,e38TerThyXS2,e16TerThyXS1,e33TerThyXS1,e15STPhoRadA,e16STPhoRadA,e17STPhoRadA,e20STPhoRadA,e22STPhoRadA,e26STPhoRadA,e32STPhoRadA,e33STPhoRadA,e34STPhoRadA
0,865.0,542.57,-255.06,-460.36,1396.61,2607.87,1001.17,3074.07,5128.69,-98941.85,-20361.33,31066.56,2557.81,-329.19,1231.0,7644.86,978.9,-513.19,977.02,526.09,1998.59
20,-5631.87,16083.0,15846.15,87346.15,-29278.85,-249903.85,-448653.85,-24756.79,-31848.29,-32232.28,-17591.35,-7204.98,-6562.5,-5052.66,20942.93,-317403.85,307179.49,-54562.94,-1076153.85,-22385.73,-20009.27
40,-2787.1,-2430.98,-2223.95,-3298.76,-1237.34,-238.95,-3712.77,-2212.6,-1720.43,2593.3,6296.45,-3253.0,-3536.96,-3284.46,-2977.84,-1098.21,-1323.9,-1237.34,-2636.3,2172.9,29032.26
60,-3167.37,-692.7,1924.84,-1405.56,7541.17,2415.46,4448.56,14123.58,7505.06,6264.0,13162.93,-3818.18,-3629.25,-3215.2,-480.16,4302.83,-892.03,512.22,2130.34,1082.13,30547.85
80,-1446.41,671.95,316.13,309.45,3907.0,1085.81,1788.62,12143.23,9149.73,1550.52,11321.95,-2779.83,-2574.53,-1493.9,-39.34,1334.97,275.8,554.05,-47.13,2774.13,8895.54
100,-88.82,797.21,-588.11,1465.06,2787.24,1353.2,925.93,3949.49,3915.74,1026.56,2697.09,152.59,-468.98,492.74,586.81,1909.35,1418.32,1000.61,589.69,1571.42,2440.18
120,-71.66,113.15,500.14,-56.92,776.13,441.7,730.71,474.95,847.5,73.96,435.29,-478.2,2.24,428.93,89.88,738.0,346.29,247.59,254.63,629.06,836.66
140,91.37,252.91,553.42,571.91,892.44,443.3,330.9,442.11,726.76,108.78,552.52,-38.71,149.08,491.62,403.45,751.2,304.56,216.06,419.6,488.89,920.97
160,214.67,269.46,290.09,159.4,393.56,252.49,143.43,331.83,315.39,103.47,165.81,25.4,176.09,238.81,383.68,408.9,226.61,222.22,217.99,45.15,556.17
180,115.24,185.89,222.19,128.63,356.46,196.61,193.78,113.31,119.17,160.03,181.34,29.01,139.48,251.26,207.69,247.86,181.11,152.22,197.53,156.04,220.71
200,286.08,98.16,197.08,147.2,456.83,291.82,78.85,71.56,90.94,163.27,88.66,66.06,92.32,161.18,128.24,211.65,148.05,105.57,167.09,112.76,255.9
220,1911.59,172.64,1029.89,126.75,3283.12,1259.26,152.73,61.65,106.08,434.12,124.39,82.33,171.47,215.16,179.45,385.53,251.97,165.12,339.31,204.54,305.46
240,4556.67,366.89,4634.61,258.36,10124.14,4022.35,203.26,219.82,165.24,671.25,618.15,223.12,221.1,329.08,322.75,2002.24,268.57,316.18,609.13,331.36,1007.11
260,8131.1,446.73,8425.0,293.78,16855.27,6712.3,345.13,278.7,152.61,904.21,1488.88,220.0,362.08,942.79,404.76,3860.45,273.57,554.06,1078.72,443.48,2196.04
280,10958.11,512.44,12673.22,379.67,23834.44,9836.64,354.08,351.16,145.63,1119.0,2904.89,292.59,580.83,1908.65,588.21,5950.0,389.48,813.83,1569.1,644.65,3687.73
300,12482.81,638.01,14603.92,532.08,27475.37,12186.65,490.39,481.57,182.26,1281.71,5305.74,403.94,780.22,3198.22,772.88,7762.07,492.25,1055.45,1904.85,942.37,5421.1
320,13354.73,955.18,16571.52,677.07,30530.65,13231.67,730.43,632.01,318.84,1438.67,7715.36,515.73,940.14,5354.42,1026.3,9477.33,714.38,1247.86,2086.31,1223.26,6854.13
340,13858.87,1345.41,17994.96,767.3,32531.12,13822.37,1012.48,632.39,406.96,1553.08,9139.25,538.69,966.08,8136.34,1185.83,10768.36,988.29,1399.79,2219.85,1428.33,7950.31
360,14628.04,1837.34,19281.23,853.49,33198.54,13934.29,1292.19,619.64,445.25,1659.32,9621.13,557.28,1058.56,10889.41,1380.85,11877.95,1290.88,1564.26,2428.55,1738.1,8472.02
380,15862.99,2526.82,21722.47,1042.26,33934.7,14710.28,1557.66,677.84,548.74,1734.27,9963.51,570.93,1137.39,13678.27,1951.49,13732.96,1818.88,1764.33,2800.2,2463.81,9102.84
400,16880.23,3219.59,24149.35,1138.59,34755.66,15221.13,2124.25,667.16,585.39,1825.63,9988.81,618.36,1252.62,15955.91,2495.87,15753.83,2356.87,1992.59,3110.03,3287.73,9795.59
420,17628.3,3909.16,26440.16,1200.05,35567.57,15904.68,2743.99,666.81,608.53,1898.39,9850.75,651.86,1312.24,18419.73,3063.14,17306.94,2917.51,2229.07,3397.13,4148.19,10224.86
440,18139.62,4562.48,28266.75,1267.83,36104.49,16227.52,3321.56,675.19,656.8,1893.86,9700.27,612.1,1302.68,20543.64,3561.89,18608.75,3399.62,2379.99,3588.97,4910.68,10714.51
460,19011.39,5074.68,29314.95,1388.58,36262.71,16522.97,3912.32,674.22,623.59,1932.49,9506.91,598.91,1342.67,22720.38,4046.22,19563.64,3777.15,2538.0,3834.62,5711.15,10974.93
480,19509.19,5643.67,31051.66,1478.08,36734.87,16924.68,4445.29,650.93,647.03,1980.46,9451.56,585.94,1392.12,24876.31,4453.03,20476.37,4300.49,2695.77,4046.72,6365.36,11332.49
500,19832.27,6153.5,32158.09,1533.65,36875.82,17137.44,4869.65,675.33,701.47,1975.73,9357.69,571.63,1456.4,26636.45,4735.01,21310.47,4672.62,2817.07,4153.29,6939.56,11664.77
520,20022.37,6419.54,32926.88,1589.93,36943.74,17345.31,5194.41,695.45,749.62,2026.26,9226.87,616.48,1489.53,27864.68,4997.04,21520.57,5000.07,2918.77,4231.09,7288.72,11903.93
540,20579.59,6757.21,33458.39,1546.01,37276.74,17502.34,5428.66,616.16,711.37,1979.77,9145.96,613.73,1492.38,29006.97,5176.16,21877.72,5195.93,2955.59,4216.62,7615.0,12083.93
560,20662.27,7099.48,33897.24,1606.52,37340.46,17513.69,5662.27,657.88,760.21,2070.3,9181.82,597.47,1575.42,29817.9,5387.61,22091.33,5535.35,3082.39,4339.41,7940.02,12157.78
