0,1,2,3,4,5,6
2.92927706394182e-14,4.1612472590700834e-14,0.005668894884539386,4.316271257059228e-19,4917.189119080991,0.10883996364569068,62462842.55014091
1.4140685172759309e-14,8.661054070283875e-15,0.005668900616496071,8.940203072100966e-17,4917.1848974215445,0.10883985927921372,62462842.551559694
8.26859855217643e-20,1.2544724677504405e-20,0.005668904413946284,4.719038949598134e-22,4917.182045092432,0.10883978763067934,62462842.55267356
3.3163513918108103e-13,4.672635518092341e-19,0.005668908028156835,7.270743652785078e-21,4917.180936936552,0.1088397633134134,62462842.55353263
1.513164833691447e-15,1.243168451345791e-15,0.005668909849642123,3.0937526096095474e-18,4917.178318250884,0.10883969611524302,62462842.5553069
9.728420817409757e-15,4.7423284947026624e-14,0.0056688743138363,1.3484223663007012e-12,4917.202489776407,0.1088402823173671,62462842.55548837
1.6631218915345243e-15,1.5662991617544807e-15,0.005668870202795414,4.492702320513176e-14,4917.199558718571,0.10884021023102881,62462842.55645702
2.3887517143878544e-12,8.919819240708059e-16,0.005668896010320618,1.454231787331687e-15,4917.181635241824,0.10883977260979194,62462842.55757211
1.459928015512943e-13,7.238449026641984e-13,0.005668913199614919,9.567124799026402e-13,4917.17675439576,0.10883966396930214,62462842.558300845
5.693037025735003e-16,3.0776565329593626e-16,0.00566886522744752,2.0553431087521317e-20,4917.203729244513,0.10884031287872638,62462842.5593404
8.910239773327136e-12,1.431295105493966e-11,0.005668874335897143,8.324653328556883e-13,4917.204278982426,0.1088403369755055,62462842.55968672
6.342438208488217e-14,1.1969376808430845e-13,0.0056688717039513215,2.9901252477736543e-15,4917.193847009167,0.10884006703741225,62462842.560562424
4.8292551992486494e-15,4.78560427510592e-16,0.005668865969336115,2.315251468931875e-19,4917.198229108196,0.10884017457531418,62462842.56138255
3.3268639794226454e-13,1.438125825323906e-13,0.005668918406080568,3.3458830175090255e-15,4917.17295011349,0.10883956526804185,62462842.56150353
8.702612675643114e-26,1.1115819782734961e-28,0.005668925892057223,7.142742607339163e-22,4917.178968491459,0.1088397307499139,62462842.56437581
7.424619679409152e-20,8.756052976633463e-15,0.00566892831136604,1.0989544312227814e-18,4917.168790902974,0.10883946879390602,62462842.56788101
9.754816372010735e-13,2.216606503708092e-14,0.005668852550838574,1.927802036825039e-14,4917.209842033329,0.10884046002333246,62462842.56821223
1.4913994011703373e-14,1.328410106359762e-14,0.00566884558471093,9.951537598326366e-13,4917.212481946618,0.108840519522267,62462842.57521121
6.904770825796608e-14,9.398532541864367e-15,0.005668851305978198,3.15440497701833e-17,4917.219095982199,0.10884069300251534,62462842.57802824
1.839937916787077e-14,3.789126052526838e-15,0.005668937767525655,3.593846473459045e-15,4917.161142661991,0.10883928030783781,62462842.581772506
9.431661713376725e-15,1.0648917824987006e-13,0.0056688325150690885,1.4379359521344648e-14,4917.2211998667435,0.10884072989577216,62462842.59151378
2.4911293529523814e-13,3.13478636581152e-13,0.0056689354475589725,4.7829429958798235e-15,4917.157528078374,0.10883918597670338,62462842.592170805
9.036242250463224e-12,4.1895979356458535e-12,0.005668926503861505,1.251358276221576e-14,4917.158924502426,0.10883921595960537,62462842.59472904
4.894717883945874e-12,1.3899151030216819e-12,0.005668834358384465,2.1016142808716924e-14,4917.229575240929,0.10884094848817263,62462842.60360167
