,1,2,3,4,5,6,7,8,9,10,11,12
A,A148.1,A149.2,A150.1N,A151.6N,A152.4,A153.5N,A154.2,A155.1N,A156.1,A171.1,A173.1,A177.2
B,A179.1N,A180.2N,A181.2NN,A182.1N,A186.1,A187.1,A189.1,A190.1,A191.1,A195.3,A199.1,A202.1N
C,A205.1,A206.2,A221.3,A223.1,A224.2,A225.1,A226.2N,A228.1N,A230.1N,A231.1N,A232.1,A233.1N
D,A235.2,A236.2,A239.1,A241.1N,A242.4N,A243.1,A245.1,A247.1,A247.3,A250.7,A251.2,A253.2
E,A256.1N,A257.1,A258.1,A258.2N,A259.3N,A260.1N,A261.2,A264.1,A267.3N,A268.3,A269.1,A273.3
F,A273.4,A274.4,A280.1N,A283.1NN,A286.1N,A287.2,A293.1,A294.2,A298.3,A299.2,A304.1N,A309.2
G,A313.1,A320.2N,A321.1N,A323.1,A325.9,A330.1N,A334.1N,A335.3NN,A336.1,A337.5NN,A340.1,A342.2
H,A343.2,A345.2,A347.1,3K3-0,3K3-0,3K-E422,3K-E422,4A3-0,4A3-0,E422,E422,B
