time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
940,141191.0,20128.0,152877.0,171878.0,162444.0,81502.0,36634.0,72949.0,120700.0,3219.0,256583.0,
960,142434.0,20206.0,152633.0,171145.0,161810.0,81861.0,36814.0,72807.0,121011.0,3293.0,256563.0,
980,142772.0,20111.0,152440.0,170478.0,161745.0,81591.0,36670.0,72816.0,120166.0,3326.0,256580.0,
1000,144315.0,20182.0,152014.0,170358.0,161992.0,81587.0,37058.0,72872.0,120374.0,3408.0,256594.0,
1020,152422.0,20249.0,152013.0,170030.0,162031.0,81505.0,36714.0,72969.0,120335.0,3423.0,256585.0,
1040,148834.0,20125.0,151675.0,168968.0,161520.0,81209.0,36825.0,72726.0,120094.0,3428.0,256541.0,
1060,147006.0,20276.0,152604.0,169026.0,161832.0,81136.0,37039.0,72760.0,120362.0,3538.0,256560.0,
1080,147129.0,20243.0,152375.0,168316.0,161338.0,81047.0,37018.0,72798.0,120413.0,3542.0,256572.0,
1100,143562.0,20146.0,151599.0,166847.0,160634.0,80733.0,36994.0,72844.0,119639.0,3573.0,256566.0,
1120,148931.0,20154.0,151744.0,166911.0,160931.0,80893.0,37104.0,72818.0,119660.0,3593.0,256534.0,
1140,147041.0,20087.0,152192.0,165827.0,160876.0,80714.0,36931.0,72491.0,120331.0,3611.0,256566.0,
1160,148538.0,20178.0,150745.0,164882.0,159247.0,80470.0,36990.0,72430.0,119287.0,3683.0,256558.0,
1180,143954.0,20037.0,150812.0,163681.0,158491.0,79538.0,36819.0,72214.0,118868.0,3690.0,256546.0,
1200,152055.0,20055.0,150868.0,163767.0,159374.0,80095.0,36894.0,72702.0,119182.0,3704.0,256544.0,
1220,160719.0,20172.0,151286.0,163954.0,159717.0,80274.0,36861.0,72544.0,119793.0,3739.0,256554.0,
1240,150721.0,20176.0,150518.0,162550.0,159106.0,79655.0,36782.0,72308.0,119317.0,3812.0,256580.0,
1260,145895.0,20130.0,149948.0,161974.0,158036.0,79912.0,36717.0,72269.0,119230.0,3905.0,256575.0,
1280,153462.0,20185.0,150809.0,161566.0,157180.0,79682.0,36798.0,72408.0,119067.0,3850.0,256548.0,
1300,161418.0,20240.0,150718.0,160953.0,158191.0,79168.0,36834.0,72731.0,118850.0,3886.0,256564.0,
1320,154237.0,20078.0,150571.0,160502.0,157537.0,79203.0,37081.0,72759.0,118487.0,3900.0,256573.0,
1340,154334.0,20062.0,150066.0,159098.0,156785.0,78411.0,36765.0,72326.0,118124.0,3876.0,256540.0,
1360,152551.0,20174.0,151868.0,157732.0,156251.0,78169.0,36701.0,72381.0,119455.0,3982.0,256545.0,
1380,151411.0,20106.0,150774.0,157937.0,155587.0,78190.0,36659.0,73129.0,120065.0,4038.0,256578.0,
1400,166027.0,20129.0,151521.0,157844.0,155803.0,78369.0,36634.0,73472.0,121425.0,4019.0,256577.0,
1420,166420.0,20113.0,151455.0,156589.0,155173.0,77827.0,36530.0,73321.0,121323.0,4052.0,256573.0,
1440,157905.0,20122.0,150757.0,156026.0,154107.0,77746.0,36530.0,72864.0,122460.0,4118.0,256556.0,
