time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,-68.0,-34.0,-41.0,-13.0,-1.0,16.0,43.0,30.0,14.0,4.0,11011.0,
20,36.0,64.0,32.0,67.0,68.0,60.0,100.0,97.0,63.0,60.0,9383.0,
40,29.0,43.0,15.0,37.0,3.0,53.0,63.0,54.0,35.0,51.0,9341.0,
60,46.0,60.0,21.0,50.0,45.0,91.0,93.0,67.0,71.0,72.0,9519.0,
80,62.0,28.0,38.0,64.0,46.0,60.0,109.0,62.0,56.0,49.0,10364.0,
100,31.0,38.0,62.0,11.0,73.0,47.0,92.0,83.0,64.0,41.0,10829.0,
120,56.0,69.0,95.0,98.0,83.0,120.0,136.0,92.0,97.0,62.0,11852.0,
140,89.0,144.0,166.0,104.0,130.0,163.0,176.0,149.0,128.0,131.0,13486.0,
160,123.0,172.0,159.0,165.0,190.0,195.0,248.0,188.0,142.0,146.0,15625.0,
180,209.0,291.0,284.0,236.0,277.0,328.0,346.0,296.0,219.0,252.0,18579.0,
200,299.0,446.0,397.0,327.0,426.0,439.0,542.0,443.0,238.0,326.0,22363.0,
220,408.0,626.0,572.0,522.0,649.0,653.0,774.0,591.0,338.0,453.0,27631.0,
240,582.0,811.0,875.0,700.0,831.0,902.0,1062.0,841.0,476.0,648.0,34397.0,
260,805.0,1027.0,1088.0,926.0,1056.0,1147.0,1305.0,1014.0,627.0,810.0,45297.0,
280,991.0,1222.0,1295.0,1138.0,1265.0,1390.0,1517.0,1208.0,842.0,918.0,58966.0,
300,1119.0,1414.0,1477.0,1315.0,1521.0,1594.0,1765.0,1462.0,1015.0,1057.0,76721.0,
320,1363.0,1640.0,1727.0,1593.0,1745.0,1826.0,2021.0,1618.0,1201.0,1222.0,99732.0,
340,1504.0,1773.0,1880.0,1735.0,1947.0,1944.0,2192.0,1848.0,1366.0,1386.0,126487.0,
360,1733.0,1920.0,2068.0,1888.0,2170.0,2152.0,2371.0,2011.0,1494.0,1536.0,159398.0,
380,1854.0,2050.0,2146.0,2074.0,2288.0,2300.0,2506.0,2123.0,1676.0,1612.0,193815.0,
400,1994.0,2165.0,2292.0,2176.0,2424.0,2440.0,2614.0,2249.0,1824.0,1699.0,223824.0,
420,2112.0,2312.0,2445.0,2316.0,2571.0,2596.0,2805.0,2390.0,2000.0,1836.0,248925.0,
