time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,-42.0,-49.0,-35.0,-19.0,32.0,1.0,11.0,18.0,37.0,6.0,4942.0,
20,-38.0,-12.0,-15.0,-25.0,3.0,-10.0,24.0,-22.0,-13.0,-11.0,4029.0,
40,28.0,-15.0,11.0,23.0,41.0,21.0,59.0,26.0,9.0,17.0,4441.0,
60,4.0,2.0,17.0,20.0,62.0,26.0,64.0,19.0,15.0,23.0,4737.0,
80,47.0,29.0,34.0,25.0,36.0,64.0,38.0,42.0,19.0,9.0,5243.0,
100,-6.0,22.0,53.0,-4.0,72.0,31.0,64.0,46.0,36.0,60.0,5972.0,
120,23.0,25.0,58.0,18.0,56.0,31.0,86.0,32.0,47.0,42.0,6992.0,
140,21.0,41.0,47.0,57.0,46.0,47.0,56.0,28.0,34.0,10.0,8723.0,
160,42.0,82.0,89.0,52.0,101.0,112.0,131.0,70.0,72.0,69.0,10902.0,
180,53.0,47.0,106.0,84.0,91.0,109.0,123.0,78.0,85.0,63.0,14191.0,
200,126.0,191.0,183.0,151.0,206.0,201.0,260.0,186.0,157.0,145.0,18398.0,
220,230.0,302.0,310.0,248.0,316.0,285.0,334.0,282.0,180.0,214.0,24072.0,
240,366.0,441.0,445.0,418.0,496.0,481.0,505.0,411.0,340.0,388.0,34233.0,
260,439.0,616.0,571.0,512.0,580.0,615.0,699.0,573.0,444.0,475.0,46622.0,
280,592.0,782.0,764.0,688.0,728.0,823.0,903.0,727.0,579.0,623.0,64322.0,
300,732.0,975.0,960.0,831.0,979.0,1047.0,1118.0,912.0,793.0,794.0,86125.0,
320,847.0,1078.0,1107.0,1025.0,1127.0,1141.0,1289.0,1086.0,927.0,903.0,114103.0,
340,975.0,1220.0,1286.0,1181.0,1298.0,1349.0,1428.0,1234.0,1090.0,1051.0,150443.0,
360,1080.0,1341.0,1421.0,1321.0,1411.0,1464.0,1598.0,1391.0,1200.0,1146.0,177715.0,
380,1213.0,1443.0,1541.0,1498.0,1561.0,1604.0,1750.0,1520.0,1376.0,1288.0,196216.0,
400,1301.0,1524.0,1690.0,1610.0,1697.0,1727.0,1874.0,1607.0,1464.0,1363.0,212501.0,
