time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,-73.0,-114.0,-26.0,0.0,-16.0,-21.0,28.0,-13.0,9.0,32.0,11146.0,
20,68.0,-49.0,49.0,23.0,34.0,51.0,66.0,48.0,42.0,63.0,9592.0,
40,43.0,-33.0,47.0,53.0,18.0,22.0,52.0,34.0,61.0,43.0,9621.0,
60,37.0,-12.0,37.0,62.0,11.0,45.0,47.0,42.0,43.0,53.0,9734.0,
80,87.0,11.0,71.0,59.0,48.0,70.0,89.0,58.0,98.0,79.0,10335.0,
100,49.0,-16.0,114.0,50.0,44.0,84.0,49.0,60.0,75.0,67.0,10996.0,
120,48.0,-10.0,87.0,110.0,64.0,72.0,67.0,80.0,65.0,60.0,12016.0,
140,93.0,9.0,122.0,68.0,121.0,131.0,113.0,102.0,92.0,107.0,13818.0,
160,59.0,34.0,137.0,92.0,124.0,130.0,158.0,159.0,100.0,127.0,15854.0,
180,147.0,45.0,165.0,135.0,190.0,226.0,253.0,210.0,168.0,147.0,19023.0,
200,251.0,137.0,301.0,267.0,338.0,327.0,390.0,371.0,211.0,289.0,23077.0,
220,332.0,218.0,460.0,424.0,447.0,482.0,540.0,488.0,359.0,369.0,28177.0,
240,414.0,311.0,530.0,511.0,576.0,571.0,639.0,596.0,424.0,519.0,34060.0,
260,487.0,432.0,688.0,626.0,701.0,725.0,788.0,755.0,563.0,638.0,42238.0,
280,640.0,558.0,757.0,803.0,808.0,872.0,928.0,824.0,666.0,686.0,49720.0,
300,749.0,691.0,888.0,871.0,936.0,962.0,1090.0,1027.0,766.0,840.0,59798.0,
320,944.0,792.0,1122.0,1136.0,1161.0,1166.0,1321.0,1248.0,960.0,1011.0,71711.0,
340,1091.0,949.0,1290.0,1316.0,1355.0,1357.0,1536.0,1412.0,1135.0,1162.0,85894.0,
360,1250.0,1164.0,1457.0,1533.0,1581.0,1591.0,1690.0,1659.0,1292.0,1327.0,101249.0,
380,1425.0,1321.0,1612.0,1739.0,1724.0,1775.0,1882.0,1830.0,1472.0,1450.0,119173.0,
400,1626.0,1487.0,1818.0,1937.0,1918.0,1977.0,2064.0,2011.0,1649.0,1578.0,139041.0,
420,1822.0,1698.0,1957.0,2125.0,2106.0,2202.0,2244.0,2190.0,1808.0,1740.0,158582.0,
440,1933.0,1857.0,2080.0,2299.0,2275.0,2330.0,2350.0,2304.0,1954.0,1876.0,183355.0,
460,2056.0,1978.0,2184.0,2476.0,2403.0,2452.0,2455.0,2378.0,2109.0,1913.0,205582.0,
480,2176.0,2038.0,2295.0,2574.0,2507.0,2530.0,2495.0,2489.0,2190.0,1958.0,227156.0,
500,2270.0,2191.0,2347.0,2593.0,2584.0,2678.0,2621.0,2541.0,2284.0,2086.0,244688.0,
520,2325.0,2224.0,2390.0,2732.0,2618.0,2699.0,2660.0,2645.0,2299.0,2089.0,256616.0,
540,2398.0,2340.0,2490.0,2800.0,2732.0,2808.0,2765.0,2735.0,2396.0,2175.0,256622.0,
560,2530.0,2419.0,2563.0,2887.0,2823.0,2928.0,2871.0,2871.0,2517.0,2270.0,256639.0,
