time,e11x32gp411,e11x32NrdJ1,e11x32STPhoRadA,e11x32CthTer,e11x32NrdA2,e11x33NrdA2,e11x33MjaKlbA,e15x32NpuSspS2,e15x30NpuSspS1,e15x32gp411,e15x30gp418,e15x32gp418,e15x32STIMPDH1,e15x30SspGyrB,e15x30TerThyXS2,e15x30TerThyXS1,e15x30TvoVMA,e15x30STPhoRadA,e15x32STPhoRadA,e15x30CthTer,e15x32CthTer,e15x32NrdA2,e15x30MjaKlbA,e16x32M86,e16x32gp418,e16x32gp418,e16x30STsSspDnaX,e16x30TerThyXS1,e16x30STPhoRadA,e16x32STPhoRadA,e16x30CthTer,e16x32CthTer,e16x30SaPdpol,e16x33NrdA2,e16x30MjaKlbA,e16x33MjaKlbA,e17x32M86LS1,e17x32M86,e17x30NpuSspS1LS2,e17x30NpuSspS1,e17x32gp411,e17x32gp418,e17x32NrdJ1,e17x33NrdJ1,e17x32STIMPDH1,e17x30STSspDnaXLS7,e17x30STSspDnaX,e17x30TvoVMA,e17x30STPhoRadA,e17x32STPhoRadA,e17x30CthTer,e17x32CthTer,e17x30MPMDnaB,e17x30SaPdpol,e17x32NrdA2,e17x32NrdA2,e17x33NrdA2,e17x30MjaKlbA,e17x33MjaKlbA,e20x32M86,e20x32STNpuSspS2,e20x32gp411,e20x30gp418,e20x32gp418,e20x32NrdJ1,e20x33NrdJ1,e20x30STIMPDH1,e20x32STIMPDH1,e20x30STsSspDnaX,e20x30TerThyXS1,e20x30TvoVMA,e20x30STPhoRadA,e20x32STPhoRadA,e20x32CthTer,e20x30SaPdpol,e20x32NrdA2,e20x33NrdA2,e20x30MjaKlbA,e20x30MjaKlbA,e20x33MjaKlbA,e22x32gp411,e22x30gp418,e22x30gp418,e22x32gp418,e22x32NrdJ1,e22x33NrdJ1,e22x32STIMPDH1,e22x30STsSspDnaX,e22x30SspGyrB,e22x30STPhoRadA,gfp_med,gfp_med,gfp_low
200,2831.35,4588.53,3656.17,231.55,7356.3,7364.99,297.41,2699.68,619.62,2019.32,267.36,288.47,566.0,2167.93,70.81,92.85,88.31,299.88,448.72,254.97,213.87,429.55,240.88,4543.1,1403.12,802.1,4841.24,1132.04,310.79,1320.76,147.79,379.93,131.38,3722.56,85.52,897.28,131.15,3742.14,264.17,381.44,818.89,4781.21,2829.96,5112.55,528.44,4306.6,1506.03,102.41,250.88,623.09,444.31,114.73,70.78,97.07,2685.82,3055.49,5491.56,368.51,2142.35,5808.61,1314.32,3720.04,3838.41,3746.81,4199.24,5934.05,1570.86,2311.02,4380.29,28.05,-43.76,1475.1,3666.09,213.54,106.85,1870.78,2430.13,1309.68,1459.31,3294.87,221.58,25.15,78.57,555.92,635.85,700.65,429.29,318.94,214.35,99.3,76926.71,78970.84,12274.91
220,6249.65,9641.92,7706.28,777.25,14695.24,12400.83,574.84,3967.68,1154.67,3195.54,351.51,274.13,1074.49,3797.67,240.69,137.36,124.34,667.79,849.14,506.33,356.48,699.52,529.72,7531.6,2021.76,1328.75,10673.17,2994.84,884.3,3849.89,809.28,1015.81,332.98,7887.02,253.79,1850.81,47.07,6886.34,765.05,926.2,1542.39,7328.85,5607.03,9478.72,1216.79,10280.67,3723.12,184.11,546.32,1692.1,1505.78,528.13,214.31,303.89,7258.6,7245.49,10120.8,854.63,4010.87,8853.06,2039.43,6932.52,6931.97,5392.04,8417.02,11705.96,3728.58,4982.82,9344.84,130.76,12.36,3566.21,5700.13,290.26,254.25,4767.06,5261.88,3459.61,3435.29,5533.25,448.58,196.51,171.15,1031.76,1045.78,1397.64,513.53,709.56,335.08,106.81,77556.56,71149.1,13344.93
240,9254.81,15433.12,11404.18,1405.73,22858.23,17801.13,867.91,5402.87,1632.65,4351.43,465.52,318.27,1491.74,5164.9,302.93,148.8,53.02,947.56,1220.54,651.48,408.78,934.96,662.65,10679.15,2728.41,1563.19,16133.3,4583.53,2184.62,5951.04,1501.27,1537.52,479.45,11714.42,452.87,3013.69,15.42,9282.62,909.47,1217.69,1981.9,9393.04,7526.77,12829.26,1577.67,14832.03,5214.78,190.89,618.03,2462.4,2310.01,773.53,323.56,377.98,10649.15,10444.21,15030.36,1069.51,6060.27,11649.31,2813.52,9244.33,8998.37,6654.75,11587.14,14791.98,4782.58,6911.85,13477.14,117.82,-14.48,4987.94,7695.48,323.51,327.46,7097.89,8122.16,4605.1,4819.88,7839.09,715.57,344.8,395.42,1575.33,1594.38,2160.56,590.4,1080.92,457.33,166.17,83462.08,85927.06,14925.4
260,13788.26,20462.29,15115.61,2065.95,29927.63,23459.88,1157.98,7198.36,2135.17,5649.91,517.86,334.68,1979.82,7224.78,305.48,150.7,85.17,1229.21,1705.08,838.78,492.36,1220.05,838.65,15018.79,3655.31,1942.38,20818.68,6232.91,3635.17,8027.95,2210.94,2222.75,582.37,16650.94,737.87,4938.34,571.28,11723.78,1137.64,1540.71,2349.16,11981.46,9467.52,16992.04,1754.55,18152.56,6687.74,182.21,687.76,2986.04,2937.34,1194.35,365.4,394.82,13993.68,13780.18,19817.17,1203.63,8619.23,15597.48,3685.13,12008.97,11736.02,8399.39,14510.39,19492.06,5476.39,8382.59,16184.64,99.05,0.57,6396.97,9944.63,330.36,371.1,9591.21,11772.95,5623.15,5655.68,10598.76,981.06,500.62,511.01,2301.23,2029.01,2935.4,631.84,1498.34,457.87,181.91,92911.54,95741.98,16009.55
280,17170.76,25788.55,18504.35,2623.8,37174.67,29170.0,1567.02,8769.29,2770.79,6626.48,647.5,378.03,2476.48,8702.7,386.92,132.63,35.83,1541.57,2138.7,1026.79,590.79,1393.7,1099.44,19933.96,4340.34,2468.91,26350.28,8484.15,5074.6,11070.2,3131.82,3181.94,807.79,22504.58,1080.71,7645.59,1778.36,14394.19,1498.03,1978.49,2580.73,14018.85,11255.92,20110.9,2031.96,22791.35,8766.7,184.12,858.45,3700.26,3818.41,1731.43,387.83,385.74,18702.21,17750.62,25779.77,1399.43,10913.02,17914.89,3984.19,14149.02,13276.92,9352.27,17747.55,23615.86,6206.66,9616.26,20045.18,86.11,34.46,7946.62,11232.7,388.09,444.44,12413.05,15290.95,7729.64,7632.94,12020.59,1204.92,654.86,743.45,2931.01,2446.06,3520.73,720.62,1791.82,518.48,207.2,102272.04,105695.53,16838.91
300,20367.37,31812.71,22353.42,3458.92,45083.81,35534.05,2004.38,9576.99,3085.96,7271.56,623.62,377.56,2783.41,9536.45,418.21,155.06,42.43,1785.91,2455.64,1168.46,618.95,1547.27,1358.43,23292.41,4516.06,2850.18,33069.47,11299.41,6726.3,13210.44,4419.25,3957.13,1192.01,28653.95,1771.16,9809.7,3668.1,15436.73,1711.18,2192.52,2657.42,14489.78,11707.1,20665.93,2060.27,28541.22,9509.43,208.44,964.69,4319.6,4660.94,2262.69,471.47,478.67,22797.1,20767.47,29599.45,1503.05,11997.49,18181.02,3929.69,14504.0,13757.43,9428.51,18562.51,24289.1,6563.93,10043.87,23001.98,127.74,-29.16,9061.83,11756.22,407.35,467.13,14065.34,16808.48,8864.19,8903.74,12145.72,1423.22,950.8,1037.33,3503.55,2818.01,4020.3,793.81,2127.06,673.37,252.83,111073.99,112801.96,17498.78
320,24615.55,37072.84,26200.69,4343.69,52898.21,42496.76,2253.11,9764.18,3041.34,7415.28,622.56,389.75,2968.26,9855.94,482.96,188.67,75.84,1857.94,2490.67,1143.47,594.42,1607.12,1531.5,23862.64,4442.99,2909.49,40266.81,14057.72,8337.51,16925.89,5707.55,4391.82,1521.98,33834.49,2650.58,10707.31,6291.36,16143.11,1822.16,2332.84,2715.78,14016.73,11980.92,20736.04,2198.57,33575.33,9627.15,288.24,1108.13,4590.85,5379.25,2464.42,539.12,576.97,26041.5,23059.47,30685.88,1683.31,11668.99,17446.43,3808.64,14755.72,13245.21,9175.58,19482.48,24579.06,7077.53,11253.58,24698.28,160.18,-3.29,10082.33,11917.85,421.25,518.29,15369.82,16836.56,9783.88,9725.18,11691.52,1704.06,1302.14,1422.58,3773.77,3098.96,4256.77,906.59,2505.01,896.69,393.48,123633.01,126796.06,18236.35
340,28166.94,42995.45,31631.42,5370.39,61781.5,48803.1,2204.86,9798.02,2983.72,7684.58,654.73,403.18,3085.4,10056.35,485.18,194.31,104.41,2019.76,2570.58,1191.14,633.67,1631.02,1628.53,24308.15,4398.69,2997.32,47025.17,15015.73,10500.04,20064.1,6290.64,4520.58,1607.75,36201.14,3130.1,11242.1,9082.8,15386.49,1777.61,2310.26,2742.4,13693.03,12191.47,20171.35,2283.48,36268.07,9306.88,301.68,1212.94,4565.57,5465.6,2394.58,582.67,647.69,26392.69,23195.5,29383.03,1778.27,11527.98,16986.15,3850.64,14468.47,13583.26,9010.26,19446.14,24270.45,7655.92,12000.96,25728.16,194.15,9.4,10646.46,12172.16,447.72,550.73,15150.98,16012.59,9815.74,9512.58,11578.49,1874.16,1555.95,1697.25,3981.3,3374.0,4554.79,1037.04,2680.24,1182.59,578.71,139238.32,142048.28,18867.66
360,31656.1,47958.19,35770.13,6009.68,71968.82,48005.37,2212.7,10037.73,2940.1,7995.49,647.8,428.36,3295.28,10685.72,505.17,229.48,95.49,2105.72,2619.03,1194.33,649.43,1703.63,1688.5,24267.91,4353.97,2868.94,50999.01,15606.54,13215.18,21666.53,6395.95,4465.03,1674.63,38469.82,3637.84,11709.59,12233.1,15652.58,1743.27,2309.18,3076.24,13590.09,13153.98,20957.14,2472.12,36410.21,9153.57,331.12,1413.52,4824.46,5420.83,2352.07,613.55,795.24,27282.21,24296.42,29582.14,1963.06,11288.49,16801.25,3843.84,14924.63,13945.94,8815.88,20281.69,24782.97,8206.25,12793.42,24939.48,181.67,-4.93,11252.97,12606.48,468.94,544.3,14791.49,15285.24,9903.17,9736.39,11431.17,2093.39,1692.81,1909.59,4215.7,3852.75,4945.67,1174.6,2888.94,1439.9,765.72,147938.93,151473.22,19389.79
380,36178.52,53682.73,35603.81,5570.38,75896.73,47387.74,2132.7,9998.75,2846.73,8332.77,602.42,362.57,3439.91,10954.31,438.08,154.25,79.72,2185.48,2661.47,1176.95,610.86,1738.88,1686.95,23315.87,4219.43,2798.12,53777.17,15568.94,15914.79,23426.25,6448.58,4301.6,1649.63,40368.15,4258.6,11506.17,15208.81,15643.53,1697.28,2256.04,3320.17,13291.8,13889.31,21486.12,2623.94,37148.37,9109.63,298.48,1654.38,5044.13,5374.34,2282.66,527.7,937.19,29323.05,25493.98,29919.65,2107.27,11007.87,16122.26,3802.36,15278.38,14382.5,8502.94,21097.22,25397.72,8951.17,13397.18,24949.93,141.59,-36.4,12164.71,12990.41,431.71,503.85,15267.17,15449.93,10054.07,9878.94,11141.32,2382.66,1854.83,2090.64,4362.0,4257.53,5401.56,1311.32,3067.83,1780.82,957.11,154024.83,155670.47,19791.66
