,1,2,3,4,5,6,7,8,9,10,11,12
A,A5.1,A8.1,A18.2N,A20.1N,A23.1N,A24.4N,A26.4N,A29.1,A30.1,A31.3,A32.6,A33.5N
B,A37.1N,A39.3,A40.3,A41.2,A42.2,A43.4,A44.3,A45.3N,A46.1N,A49.6N,A51.2N,A53.1
C,A59.1N,A59.2N,A64.1,A67.2,A69.3,A70.1,A71.1,A72.1,A74.2N,A76.1,A77.1NN,A78.3N
D,A79.2,A79II.2,A82.2,A82II.12,A83.4,A85.3N,A86.3N,A87.1,A89.1,A90.1N,A90II.3,A94.2
E,A95.2,A96.1,A97.1,A98.1,A99.8N,A100.4,A101.2N,A101.2NN,A102.1N,A103.2,A104.1,A105.1
F,A107.1,A109.1,A110.1,A111.1,A112.1,A113.2N,A114.3,A115.3N,A116.2N,A119.1,A120.4,A121.4
G,A122.1N,A124.1N,A126.2N,A127.7,A128.1,A129.1N,A129.2N,A130.1N,A135.2,A136.2,A136.3,A137.1
H,A138.8N,A139.1,A141.1N,A142.5N,A143.1,A147.4,3K3-0,3K-E422,3K-E422,4A3-0,E422,B
