group,cell-line,induction,1,2,3,4,5,6,7,8,9,10,11,12
A,Top-10,-/-,A18,A29,A76,A109,A195,A259,A267,A294,A323,C-,C+,B
B,Top-10,+/-,A18,A29,A76,A109,A195,A259,A267,A294,A323,C-,C+,B
C,Top-10,-/+,A18,A29,A76,A109,A195,A259,A267,A294,A323,C-,C+,B
D,Top-10,+/+,A18,A29,A76,A109,A195,A259,A267,A294,A323,C-,C+,B
E,Mario-C,-/-,A18,A29,A76,A109,A195,A259,A267,A294,A323,C-,C+,B
F,Mario-C,+/-,A18,A29,A76,A109,A195,A259,A267,A294,A323,C-,C+,B
G,Mario-C,-/+,A18,A29,A76,A109,A195,A259,A267,A294,A323,C-,C+,B
H,Mario-C,+/+,A18,A29,A76,A109,A195,A259,A267,A294,A323,C-,C+,B
