time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,-8.0,-10.0,-7.0,-17.0,41.0,70.0,97.0,22.0,44.0,74.0,10760.0,
20,26.0,43.0,32.0,32.0,49.0,71.0,78.0,35.0,71.0,50.0,9136.0,
40,41.0,78.0,44.0,26.0,56.0,64.0,71.0,46.0,79.0,67.0,9246.0,
60,30.0,16.0,31.0,36.0,38.0,39.0,40.0,0.0,68.0,4.0,9243.0,
80,47.0,30.0,45.0,-2.0,34.0,72.0,85.0,42.0,91.0,76.0,9685.0,
100,89.0,91.0,83.0,79.0,111.0,110.0,77.0,80.0,96.0,105.0,10284.0,
120,62.0,104.0,53.0,57.0,98.0,69.0,98.0,80.0,87.0,64.0,11212.0,
140,110.0,173.0,145.0,122.0,161.0,180.0,160.0,116.0,113.0,143.0,12941.0,
160,142.0,189.0,189.0,130.0,167.0,223.0,217.0,187.0,163.0,130.0,14802.0,
180,194.0,299.0,253.0,173.0,229.0,284.0,318.0,287.0,204.0,195.0,17707.0,
200,291.0,431.0,385.0,290.0,347.0,397.0,440.0,408.0,271.0,314.0,21753.0,
220,360.0,575.0,478.0,394.0,447.0,511.0,536.0,538.0,344.0,446.0,27146.0,
240,535.0,791.0,719.0,612.0,688.0,746.0,752.0,730.0,593.0,647.0,34172.0,
260,635.0,944.0,835.0,708.0,823.0,936.0,902.0,837.0,683.0,705.0,46461.0,
280,796.0,1100.0,1015.0,898.0,896.0,1075.0,1083.0,1025.0,814.0,861.0,60672.0,
300,934.0,1263.0,1211.0,1098.0,1160.0,1275.0,1183.0,1237.0,1021.0,1019.0,79772.0,
320,1110.0,1438.0,1424.0,1272.0,1324.0,1460.0,1519.0,1412.0,1202.0,1167.0,102902.0,
340,1232.0,1588.0,1554.0,1422.0,1508.0,1636.0,1643.0,1563.0,1361.0,1324.0,128921.0,
360,1383.0,1732.0,1776.0,1581.0,1690.0,1840.0,1871.0,1760.0,1522.0,1496.0,161587.0,
380,1481.0,1839.0,1891.0,1775.0,1873.0,1988.0,2091.0,1935.0,1723.0,1579.0,193127.0,
400,1657.0,1986.0,2007.0,1952.0,1983.0,2162.0,2160.0,2046.0,1811.0,1736.0,225966.0,
420,1798.0,2102.0,2130.0,2083.0,2129.0,2310.0,2334.0,2201.0,1958.0,1836.0,256261.0,
440,1874.0,2226.0,2312.0,2206.0,2274.0,2460.0,2467.0,2320.0,2096.0,1929.0,256648.0,
460,1987.0,2307.0,2403.0,2386.0,2466.0,2631.0,2605.0,2448.0,2209.0,2062.0,256659.0,
480,2097.0,2416.0,2480.0,2502.0,2550.0,2691.0,2568.0,2505.0,2364.0,2086.0,256646.0,
500,2153.0,2452.0,2615.0,2584.0,2637.0,2773.0,2734.0,2614.0,2417.0,2196.0,256618.0,
520,2260.0,2551.0,2690.0,2676.0,2715.0,2922.0,2862.0,2709.0,2554.0,2268.0,256630.0,
540,2269.0,2547.0,2720.0,2764.0,2766.0,2960.0,2888.0,2745.0,2608.0,2315.0,256582.0,
560,2447.0,2658.0,2805.0,2869.0,2919.0,3086.0,2952.0,2829.0,2661.0,2447.0,256610.0,
580,2517.0,2736.0,2948.0,2973.0,2975.0,3196.0,2997.0,2919.0,2781.0,2480.0,256621.0,
