time,e22x32STPhoRadA,e22x30CthTer,e22x32CthTer,e22x30MPMDnaB,e22x30SaPdpol,e22x32NrdA2,e22x33NrdA2,e22x30MjaKlbA,e22x33MjaKlbA,e26x30TerThyXS1,e26x30STPhoRadA,e26x30MPMDnaB,e26x32NrdA2,e26x33NrdA2,e26x30MjaKlbA,e26x33MjaKlbA,e32x30NpuSspS1,e32x32gp411,e32x32gp418,e32x32NrdJ1,e32x33NrdJ1,e32x30SspGyrB,e32x30STPhoRadA,e32x32CthTer,e32x32NrdA2,e32x33NrdA2,e33x30SspGyrB,e33x30TerThyXS1,e33x30TvoVMA,e33x30STPhoRadA,e33x32STPhoRadA,e33x32CthTer,e33x30SaPdpol,e33x32NrdA2,e33x33NrdA2,e33x30MjaKlbA,e34x32M86,e34x30STNpuSspS2,e34x32gp411,e34x32gp418,e34x32NrdJ1,e34x33NrdJ1,e34x32STIMPDH1,e34x30SspGyrB,e34x30SspGyrB,e34x30TvoVMA,e34x30STPhoRadA,e34x30CthTer,e34x30SaPdpol,e34x32NrdA2,e34x33NrdA2,e34x33NrdA2,e34x30MjaKlbA,e34x33MjaKlbA,e38x32M86,e38x30NpuSspS1,e38x32gp418,e38x32NrdJ1,e38x33NrdJ1,e38x30SspGyrB,e38x30SspGyrB,e38x30TerThyXS2,e38x32CthTer,e38x32NrdA2,e38x33MjaKlbA,e41x32M86,e41x32gp418,e41x32NrdJ1,e41x30STsSspDnaX,e41x30SspGyrB,e41x32STPhoRadA,e41x32NrdA2,e42x32M86,e42x32NrdJ1,e42x33NrdJ1,e42x32STIMPDH1,e42x30SspGyrB,e42x32STPhoRadA,e42x30SaPdpol,e42x32NrdA2,e42x33NrdA2,e42x30MjaKlbA,e15,e17,e20,e26,e33,gfp_med_1,gfp_med_2,gfp_low_1,gfp_low_2
200,283.76,282.81,254.26,218.72,233.61,553.96,399.18,108.97,450.99,245.12,185.26,250.58,245.87,191.08,167.31,185.21,336.55,883.32,3167.04,8344.37,15586.26,4675.01,792.19,551.35,1694.19,963.75,72.67,58.43,105.28,76.56,101.54,102.85,33.97,92.46,92.78,146.15,2477.31,135.29,2294.22,939.98,3665.88,3569.37,1352.76,5693.75,6468.84,185.13,851.31,830.96,213.28,1659.7,875.92,761.97,207.42,361.99,325.08,66.48,1469.11,287.61,515.63,219.48,55.5,-42.96,31.73,134.82,99.23,104.54,303.89,266.66,297.49,445.08,-22.94,963.29,111.07,40.52,478.15,-84.48,17.64,79.77,45.71,86.46,4.05,30.77,-30.38,100.31,121.37,170.51,120.91,147639.2,146875.54,19588.4,20206.14
220,275.47,231.69,256.55,130.78,155.69,1408.95,1009.68,156.6,772.3,228.17,313.63,220.86,247.38,208.47,93.43,193.12,525.34,1743.81,6124.88,19733.8,30395.97,9559.82,2279.55,845.2,5475.03,2989.03,31.24,85.6,-1.55,7.8,86.08,61.83,-26.22,187.43,277.72,210.16,7098.64,1806.84,6991.94,1659.53,10085.16,7494.23,5990.65,11909.53,11007.14,105.74,2713.74,1725.1,191.47,5192.23,1674.28,1589.55,1969.84,880.82,1405.17,383.13,3673.95,436.96,1308.5,163.63,72.49,89.53,138.65,112.51,698.35,224.67,1332.33,2514.09,6256.69,3245.38,699.36,2642.2,246.05,361.2,2096.51,64.4,104.39,225.5,-62.93,223.99,680.75,-42.33,-29.67,135.13,160.43,94.89,128.29,133401.58,133591.2,22729.4,22720.74
240,415.77,528.99,607.27,294.53,335.57,2614.97,2042.7,293.92,1332.52,285.63,911.07,209.28,397.75,554.91,129.17,219.75,854.86,3081.62,8088.37,34086.02,43521.8,15895.61,4018.55,1083.55,11152.64,4926.69,213.94,225.57,103.14,319.17,711.72,191.03,83.85,678.42,699.45,552.87,12613.36,3695.21,11694.53,2421.33,16514.66,11000.93,10481.06,18477.85,14720.59,213.75,5290.46,3222.89,615.68,9138.68,2598.43,2590.43,4502.56,1512.76,3226.23,970.44,5698.65,763.57,2086.29,285.63,154.09,242.04,201.21,556.11,2219.48,876.29,2301.63,7415.85,13316.71,7252.84,2541.99,4649.9,1560.33,1468.48,4494.27,250.2,429.77,1057.24,-80.48,1118.86,2013.91,-71.96,60.25,167.41,269.27,196.77,193.68,129397.09,136844.91,25096.79,26006.32
260,636.46,765.66,987.99,291.83,479.15,4085.53,3328.74,469.99,1979.32,378.42,1681.69,234.96,698.98,925.02,325.52,397.71,1110.36,4253.18,9870.05,46792.19,55458.36,21051.3,5166.49,1336.55,15355.6,6669.9,426.38,391.84,154.58,698.73,1736.25,296.92,159.95,1300.93,1454.43,946.12,17622.6,6085.37,15658.34,3315.28,22202.0,14770.14,14546.44,23600.52,17874.15,285.91,7251.85,4229.16,1051.77,13035.74,3382.3,3408.57,7460.34,2125.25,4709.28,1447.22,7181.53,994.75,2640.08,342.06,140.96,492.87,324.41,888.76,4053.94,1577.96,3218.98,11072.55,20306.08,10166.41,4213.78,6187.91,2795.24,2614.03,6255.08,1080.04,864.43,1615.7,55.55,2055.21,2845.11,40.69,64.36,246.1,309.03,271.42,210.03,141618.65,144831.45,27982.31,28297.02
280,594.5,852.23,1407.3,215.67,487.67,5631.39,4664.45,541.54,2478.18,298.47,2478.18,327.11,1000.77,1246.69,205.94,429.2,1122.54,4777.78,11857.73,58087.19,67234.66,26146.44,6384.0,1593.36,19265.35,9025.4,389.46,399.6,58.08,834.69,2462.3,319.19,110.95,1961.2,2167.7,1310.15,22827.66,7572.87,18771.93,4176.13,27251.3,18376.8,17809.34,28249.33,21341.83,210.24,8910.95,5090.09,1095.66,17073.43,4253.04,4411.21,9949.61,2561.91,6608.68,1695.72,9459.46,1116.72,3171.42,288.42,58.02,450.77,291.53,1130.49,5987.4,2074.17,3990.57,13724.07,24892.73,12512.69,5122.12,7141.42,3678.88,3216.32,7818.03,1940.65,1079.96,1784.98,15.17,2653.63,3702.45,-17.28,-11.92,203.41,255.37,136.07,119.81,151661.42,161367.68,29598.41,29969.84
300,830.87,1026.4,1924.2,193.83,546.73,7129.92,5973.47,676.01,3177.66,186.24,3198.68,302.86,1302.78,1624.99,220.4,516.88,1344.59,5056.29,14388.2,73089.69,81926.11,33106.91,8063.16,1738.91,25456.83,11223.21,503.21,483.59,29.9,1072.4,3387.87,380.25,161.36,2626.45,2789.47,1564.96,31663.96,9509.44,24185.86,5488.09,35304.37,23508.43,22777.07,35065.51,25696.02,201.48,10949.78,6573.06,1511.52,22688.1,6238.17,6392.16,12468.41,3482.59,8772.72,2287.64,12044.19,1185.6,3826.6,334.24,128.28,604.17,314.28,1548.7,8437.92,2795.73,5416.2,17525.49,31297.9,15722.88,6118.72,9199.74,5141.17,4065.63,10545.89,2861.78,1319.23,2321.06,-101.59,3410.27,5188.94,-75.99,57.84,192.28,347.3,154.98,160.34,182429.38,182180.75,32166.35,32921.27
320,1116.26,1279.12,2390.66,261.63,709.05,8060.41,6930.82,861.66,3408.69,309.99,3482.16,359.24,1521.62,1757.78,205.77,567.04,1470.67,5251.87,13919.95,80817.27,87906.88,35380.04,8853.99,1760.08,27172.48,11172.18,586.96,619.77,35.75,1275.0,3929.63,485.99,191.21,2877.08,2961.3,1893.79,35137.2,10882.12,26388.77,5442.53,37820.79,25136.2,26145.54,38315.8,25991.19,198.52,12812.75,8089.66,1672.86,25968.86,7360.91,7532.42,13722.41,3835.21,9756.25,2531.35,12729.22,1284.47,4255.97,430.25,202.92,631.85,304.18,1859.72,9762.43,3543.82,6131.05,20132.88,36001.06,18563.34,7262.36,10981.33,6487.2,5048.69,11824.33,3272.06,1619.01,2706.44,-97.21,4449.84,6534.08,-66.67,31.0,272.06,339.43,185.57,156.08,196562.99,204194.33,33079.8,33150.9
340,1608.96,1599.68,2876.63,415.57,992.44,9097.9,7642.91,1200.58,3702.58,383.64,3714.26,340.54,1773.89,1939.44,298.74,651.4,1710.06,5611.51,13363.74,87739.81,89920.63,37778.07,9440.44,1736.31,29358.94,10729.45,734.38,710.95,76.94,1680.5,4663.12,605.85,255.48,3129.64,2968.89,2060.61,37960.44,12897.53,28165.56,5366.12,40257.63,26457.53,28776.3,40979.59,27673.45,304.84,14566.43,9481.24,1970.71,30302.55,8326.44,8748.31,15934.9,4244.43,11274.37,3014.46,14701.73,1502.33,4676.98,507.11,319.27,745.85,456.64,2214.42,11305.64,4413.38,6554.67,21845.87,42502.44,20934.44,8519.43,13105.1,8875.25,6238.6,13370.41,3878.85,2054.72,3254.98,-135.9,5774.01,7593.78,-91.58,44.31,285.51,391.59,284.24,205.9,212533.89,226583.07,34482.51,35021.77
360,1952.16,1906.48,3155.69,535.16,1242.66,9706.67,8159.42,1411.17,3853.93,408.8,3795.64,360.14,1844.73,1947.5,442.93,705.39,1759.41,5553.13,13165.62,87520.03,86915.36,38123.55,9313.56,1735.24,28244.4,10599.52,804.47,745.9,117.22,1907.13,5320.39,639.08,367.13,3248.16,2968.01,2184.95,36291.66,14920.43,28633.4,5297.18,39659.95,25331.1,29817.93,41951.37,26571.98,349.06,16034.97,9370.91,2155.26,32801.72,8228.82,8779.84,17688.82,4193.81,11752.98,3166.86,15123.15,1623.83,4956.16,502.48,332.59,911.16,597.11,2455.93,12058.21,4889.35,6595.39,23849.72,45795.53,22587.03,9401.44,14393.71,10007.85,7474.72,13489.82,5313.55,2441.97,3504.92,-46.43,7698.25,7741.46,-58.33,71.35,358.43,383.36,343.36,216.47,242535.38,253204.54,35814.05,35799.89
380,2431.96,2120.88,3456.69,591.55,1371.35,10496.63,8875.65,1623.0,4001.89,427.16,3820.15,376.98,1954.03,2067.43,568.08,752.98,1881.14,5505.79,12936.96,87209.85,88505.85,39529.38,9630.66,1754.72,28130.01,10385.64,878.57,762.53,94.07,2214.51,6072.71,676.05,362.27,3379.5,2940.7,2288.18,35873.86,15665.16,28207.97,5309.18,39121.56,25781.6,29570.23,41209.8,26812.0,324.09,16431.44,9012.4,2062.08,33219.53,8282.95,8763.19,19628.97,3931.54,12390.84,3488.86,16039.7,1709.43,5201.6,523.43,313.51,977.66,569.42,2475.38,12152.47,4975.35,6586.97,24961.17,46071.52,22661.98,9794.6,15740.94,10146.13,8144.15,13958.11,6298.17,2791.59,3415.16,31.35,8703.66,7871.8,2.19,104.51,365.02,423.08,378.72,178.5,267206.06,275727.69,36724.19,36715.22
