time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,-27.0,3.0,-6.0,-9.0,-14.0,9.0,47.0,23.0,17.0,21.0,4971.0,
20,20.0,0.0,8.0,36.0,56.0,30.0,45.0,48.0,26.0,33.0,4340.0,
40,33.0,26.0,74.0,57.0,55.0,47.0,70.0,71.0,65.0,52.0,4707.0,
60,63.0,36.0,39.0,65.0,38.0,76.0,90.0,94.0,64.0,71.0,5101.0,
80,3.0,45.0,72.0,29.0,55.0,58.0,52.0,33.0,80.0,45.0,5493.0,
100,14.0,35.0,38.0,52.0,47.0,59.0,53.0,54.0,27.0,27.0,6249.0,
120,92.0,63.0,91.0,80.0,78.0,94.0,114.0,90.0,46.0,64.0,7448.0,
140,16.0,23.0,62.0,43.0,56.0,87.0,50.0,61.0,27.0,10.0,9327.0,
160,42.0,28.0,74.0,68.0,42.0,109.0,81.0,93.0,56.0,60.0,11507.0,
180,120.0,122.0,139.0,138.0,167.0,139.0,178.0,155.0,147.0,133.0,14893.0,
200,132.0,163.0,160.0,200.0,186.0,199.0,246.0,178.0,160.0,130.0,19301.0,
220,217.0,282.0,272.0,252.0,338.0,276.0,356.0,286.0,211.0,254.0,25417.0,
240,297.0,385.0,362.0,364.0,393.0,400.0,445.0,361.0,327.0,384.0,36103.0,
260,402.0,500.0,494.0,528.0,514.0,522.0,626.0,513.0,410.0,496.0,48851.0,
280,536.0,639.0,600.0,654.0,662.0,666.0,734.0,645.0,560.0,643.0,66937.0,
300,669.0,765.0,733.0,812.0,843.0,857.0,909.0,844.0,703.0,785.0,88545.0,
320,794.0,933.0,913.0,966.0,970.0,975.0,1148.0,947.0,777.0,898.0,117812.0,
340,959.0,1057.0,1024.0,1170.0,1179.0,1131.0,1293.0,1157.0,979.0,1060.0,151097.0,
360,1060.0,1225.0,1214.0,1352.0,1337.0,1301.0,1447.0,1296.0,1115.0,1177.0,174629.0,
380,1178.0,1304.0,1316.0,1432.0,1432.0,1430.0,1570.0,1377.0,1217.0,1261.0,188887.0,
400,1334.0,1462.0,1436.0,1626.0,1562.0,1594.0,1705.0,1569.0,1368.0,1368.0,203491.0,
420,1461.0,1539.0,1574.0,1739.0,1700.0,1669.0,1803.0,1643.0,1478.0,1442.0,216695.0,
