time,e11x32STPhoRadA,e15x32NpuSspS2,e16x33NrdA2,e20x32gp411,e32x30SspGyrB,e34x30MjaKlbA,e38x32gp418,e41x32NrdJ1,e42x32STIMPDH1,negative_control,positive_control,blank
0,0.014,0.028,0.026,0.017,0.019,0.014,0.03,0.03,0.028,0.06,0.033,
20,0.016,0.022,0.017,0.016,0.015,0.013,0.017,0.019,0.015,0.024,0.017,
40,0.016,0.022,0.016,0.016,0.016,0.013,0.015,0.019,0.015,0.023,0.018,
60,0.021,0.024,0.021,0.02,0.019,0.015,0.018,0.025,0.019,0.024,0.02,
80,0.028,0.034,0.029,0.027,0.029,0.023,0.026,0.032,0.025,0.031,0.022,
100,0.046,0.05,0.047,0.042,0.046,0.036,0.046,0.046,0.035,0.045,0.029,
120,0.071,0.097,0.075,0.07,0.076,0.058,0.076,0.073,0.054,0.077,0.042,
140,0.112,0.131,0.118,0.109,0.122,0.095,0.174,0.205,0.083,0.12,0.055,
160,0.177,0.218,0.195,0.181,0.204,0.149,0.215,0.174,0.119,0.2,0.082,
180,0.262,0.305,0.296,0.275,0.293,0.232,0.306,0.258,0.211,0.395,0.129,
200,0.324,0.388,0.366,0.407,0.412,0.32,0.39,0.324,0.242,0.392,0.194,
220,0.388,0.461,0.431,0.42,0.468,0.394,0.451,0.397,0.294,0.485,0.262,
240,0.429,0.547,0.5,0.481,0.508,0.426,0.538,0.455,0.367,0.627,0.331,
260,0.471,0.658,0.596,0.566,0.597,0.464,0.65,0.521,0.411,0.773,0.412,
280,0.512,0.802,0.714,0.683,0.723,0.548,0.777,0.612,0.465,0.853,0.496,
300,0.569,0.89,0.818,0.792,0.83,0.599,0.833,0.702,0.535,0.887,0.602,
320,0.636,0.934,0.852,0.836,0.906,0.687,0.855,0.803,0.644,0.938,0.74,
340,0.695,0.968,0.872,0.865,0.938,0.774,0.907,0.908,0.725,0.976,0.858,
360,0.743,1.014,0.898,0.916,0.964,0.821,0.924,0.863,0.832,1.031,0.932,
380,0.778,1.065,0.944,0.937,1.002,0.863,0.979,0.901,0.851,1.076,0.959,
400,0.775,1.1,0.987,0.966,1.034,0.878,1.026,0.941,0.88,1.096,0.988,
420,0.781,1.126,0.999,1.014,1.104,0.896,1.032,0.985,0.922,1.109,1.001,
440,0.801,1.163,1.033,1.032,1.096,0.925,1.055,0.994,0.959,1.13,1.048,
460,0.805,1.2,1.137,1.073,1.12,0.963,1.08,1.016,0.986,1.15,1.069,
480,0.812,1.205,1.067,1.056,1.142,0.983,1.1,1.102,1.142,1.175,1.09,
500,0.828,1.253,1.144,1.084,1.19,1.082,1.226,1.069,1.05,1.178,1.13,
520,0.861,1.225,1.099,1.092,1.187,1.022,1.116,1.082,1.067,1.166,1.135,
540,0.876,1.236,1.096,1.088,1.187,1.036,1.116,1.095,1.086,1.17,1.153,
560,0.886,1.226,1.093,1.09,1.179,1.056,1.118,1.118,1.128,1.169,1.155,
580,0.877,1.231,1.09,1.093,1.179,1.16,1.244,1.131,1.111,1.218,1.249,
600,0.904,1.228,1.112,1.087,1.185,1.052,1.12,1.122,1.138,1.164,1.164,
