code_name,ind1_lvl,ind2_lvl,short_name,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min
A109,0,1,e20x32gp411,-3037.66,-2051.02,-1726.63,-637.49,-762.04,-455.67,-434.66,-118.28,-112.55,-18.61,327.49,579.38,769.67,911.64,1012.6,1117.64,1118.54,1128.72,1128.53,1180.76,1172.16,1235.17,1257.07,1166.8,1136.99,1182.7,1177.59,1209.74,1103.0,1162.29,1248.78,1156.98,1194.67,1257.96,1202.87,1198.71,1251.1,855.22,1172.86,1248.58,1273.9,1096.08,346.96,1170.77,1232.14,1233.4,1166.53,1282.17,495.22,578.66,1257.05,1144.55,1315.45,1212.28,337.01,1364.18,1311.89,1340.38,1392.6,1479.68,1353.23,880.02,1357.58,1459.89,1421.98,1162.14,1385.23,1438.16,1422.87,1339.06,1369.91,1499.9
A109,0,2,e20x32gp411,-2557.23,-1288.57,-1170.82,-1296.37,-867.12,-369.07,-217.09,-94.11,-83.52,119.84,514.32,721.87,823.98,1016.26,1175.2,1346.85,1349.9,1356.79,1344.97,1423.51,1480.06,1511.06,1508.64,1460.03,1452.47,1474.68,1465.93,1550.07,1454.05,1427.47,1599.3,1510.61,1556.32,1609.84,1593.7,1568.66,1624.06,1541.65,1574.76,1736.97,1684.93,1736.7,1738.78,1699.02,1747.36,1745.78,1680.15,1842.28,1865.32,1898.28,1939.3,1929.0,1935.64,1933.6,1927.1,1938.73,1931.13,1926.85,1981.19,2112.82,1975.97,2130.58,2040.68,2109.62,2137.47,2141.73,2175.47,2117.4,2151.24,2037.23,2140.94,2168.29
A18,1,0,e11x32STPhoRadA,-3549.4,-3802.59,-1381.51,-2150.72,-679.98,-603.14,-338.71,-208.66,-242.2,-168.24,158.75,1986.36,5351.14,9955.95,13324.96,15065.21,15831.91,15774.78,16252.09,16277.16,17025.47,16818.55,16464.49,16692.8,16661.99,16794.81,16272.81,16387.48,16520.38,16061.74,16226.5,16338.93,16216.41,16370.31,15894.93,16202.84,16885.71,16526.95,16295.4,16559.52,16446.51,16626.6,16215.99,16876.2,16689.18,16408.42,17066.7,16888.28,17217.56,16897.85,17301.01,17188.09,16985.6,17426.79,17286.45,17329.83,17905.28,17706.7,18011.79,17729.08,17880.84,17483.05,17703.13,18507.04,18306.53,17764.99,17755.22,18298.36,18663.84,18286.53,18912.64,18939.73
A18,1,1,e11x32STPhoRadA,92.02,1106.4,-252.92,-258.01,298.83,49.1,95.13,-34.93,-32.21,510.55,3254.22,9039.41,15394.65,21845.56,30159.01,37530.83,43795.24,47651.41,47692.85,48986.72,50077.6,50373.14,49727.32,49965.52,49958.95,49418.94,50175.87,50147.19,49822.07,49430.07,49538.07,50235.32,49541.31,48847.48,48888.35,49301.48,51039.75,48136.02,48609.44,48541.48,48880.15,49254.51,47592.27,48169.57,48760.59,49090.56,48307.08,49334.68,48570.17,49447.59,49555.3,50203.61,50454.31,49895.57,50312.83,51073.72,50556.77,50687.18,51557.74,52408.64,52163.4,52893.73,53468.19,53372.84,53045.89,53696.77,53673.12,53979.99,53790.76,55324.86,54884.18,56122.12
A18,1,2,e11x32STPhoRadA,3174.52,2276.9,736.75,586.0,331.43,901.13,419.57,24.93,56.06,1949.79,5864.33,11181.65,16409.18,21527.66,26344.33,32347.45,37437.66,42222.78,43936.4,42286.18,43851.27,44983.72,44813.32,44649.17,44730.31,44606.32,44622.88,44737.13,44512.25,44272.34,44072.13,44558.05,43853.32,43147.75,43164.56,43219.56,45156.63,42582.24,42552.03,42371.22,42563.27,42968.35,41881.19,42381.91,42065.3,41868.81,41628.04,42046.32,41306.04,42121.12,42437.48,42375.53,42764.22,42836.6,42681.19,43368.9,42857.14,43035.26,43398.99,43897.6,44208.67,44577.33,44737.27,45029.66,44838.53,44759.03,45401.71,45695.39,45462.67,46087.17,45777.89,46678.94
A29,1,0,e15x32NpuSspS2,2193.08,2737.17,25.59,1581.42,165.14,388.88,-35.04,11.03,-10.8,-1.74,219.67,779.54,1487.92,1836.79,2010.37,2079.25,2060.87,2114.64,2089.54,2144.58,2230.27,2220.52,2236.13,2268.24,2212.46,2283.76,2279.35,2284.74,2304.27,2299.93,2349.72,2421.03,2409.26,2373.72,2397.47,2420.04,2547.49,2450.67,2425.38,2514.44,2578.27,2584.76,2574.05,2531.18,2524.27,2521.7,2577.29,2602.43,2596.46,2669.31,2711.31,2604.0,2707.04,2658.19,2696.31,2785.06,2697.91,2673.69,2781.04,2878.04,2825.06,2861.77,2774.44,2787.63,2922.45,2981.86,2925.2,3024.18,2934.73,2939.21,2940.26,3058.1
A29,1,1,e15x32NpuSspS2,951.25,2528.28,1404.92,1123.42,288.69,38.42,-42.28,-66.9,8.73,276.42,982.01,1764.8,2616.83,3390.51,3933.24,4026.09,3922.46,4009.09,3991.49,4141.98,4188.11,4283.23,4290.57,4316.39,4230.98,4360.55,4316.12,4371.78,4260.51,4369.1,4372.05,4490.53,4445.57,4449.68,4449.48,4495.1,4768.25,4574.69,4599.56,4772.73,4693.59,4758.35,4698.17,4579.81,4679.19,4674.67,4660.71,4844.9,4805.34,4976.33,5034.21,4984.3,5053.25,5070.31,4994.18,5173.03,4914.99,5048.45,5257.09,5399.72,5320.01,5337.16,5345.78,5333.86,5560.77,5502.71,5530.64,5611.9,5512.46,5601.69,5648.93,5840.16
A29,1,2,e15x32NpuSspS2,-147.33,1993.9,859.4,617.79,540.92,132.48,29.51,25.5,64.33,607.92,1440.7,1936.86,2359.57,2906.72,3366.47,3605.58,3551.43,3500.78,3668.61,3650.37,3753.96,3790.22,3866.11,3840.38,3835.35,3881.17,3882.54,3949.86,3933.07,3932.68,3944.82,4028.01,4039.69,3945.26,3984.38,4016.51,4241.78,3993.04,4025.77,4020.52,4213.46,4320.86,4092.98,4218.97,4277.96,4274.44,4205.72,4366.03,4236.31,4414.58,4549.77,4482.19,4434.73,4384.32,4405.06,4567.09,4558.09,4363.23,4503.35,4692.94,4613.73,4650.7,4696.02,4861.24,4763.07,4715.11,4723.28,4848.1,4835.55,4980.6,4844.64,4984.58
A76,1,0,e16x33NrdA2,5419.15,3517.31,1365.33,1491.01,406.49,614.62,339.6,167.23,75.8,86.66,150.03,1051.73,3401.57,6610.2,9105.99,10389.3,10526.43,10725.23,10831.47,10939.71,10902.47,10855.25,10711.64,10642.77,10400.36,10196.53,10411.01,10514.7,10204.0,10403.48,10343.71,10646.71,10563.98,10464.25,10556.97,10589.87,11105.84,10500.39,10691.35,10599.67,10649.05,10883.21,10498.49,10408.63,10778.04,10798.68,10745.26,10955.18,10606.64,11205.22,11226.27,11282.92,11292.59,11081.36,11284.71,11561.58,11132.13,11380.03,11623.36,11909.31,11767.06,11899.54,12020.7,11780.77,12074.56,12121.02,12136.6,12204.01,11936.01,12171.89,12108.56,12512.79
A76,1,1,e16x33NrdA2,2765.85,2645.76,588.78,787.51,581.61,554.41,73.22,-3.61,-65.03,225.34,1635.06,5044.95,9761.46,16432.4,23469.59,29170.92,31595.11,31620.11,32543.75,32652.16,32690.9,32165.25,31381.45,31120.55,30280.75,30662.74,30255.83,30376.57,29643.57,29992.8,29882.81,30422.32,30135.03,30361.77,30625.22,30779.25,32289.45,30839.43,30576.22,30788.22,30870.52,31502.45,30729.48,30787.76,31369.48,31703.75,31372.9,31854.18,30485.97,32241.98,32237.29,32454.92,32545.99,32385.85,32817.31,33174.87,32482.77,33122.64,33662.42,34091.16,33970.22,34407.25,34145.84,33909.46,34526.36,34949.29,34828.66,35077.48,35289.24,35949.88,35552.1,35977.85
