code_name,ind1_lvl,ind2_lvl,short_name,0 h ,0 h 20 min,0 h 40 min,1 h ,1 h 20 min,1 h 40 min,2 h ,2 h 20 min,2 h 40 min,3 h ,3 h 20 min,3 h 40 min,4 h ,4 h 20 min,4 h 40 min,5 h ,5 h 20 min,5 h 40 min,6 h ,6 h 20 min,6 h 40 min,7 h ,7 h 20 min,7 h 40 min,8 h ,8 h 20 min,8 h 40 min,9 h ,9 h 20 min,9 h 40 min,10 h ,10 h 20 min,10 h 40 min,11 h ,11 h 20 min,11 h 40 min,12 h ,12 h 20 min,12 h 40 min,13 h ,13 h 20 min,13 h 40 min,14 h ,14 h 20 min,14 h 40 min,15 h ,15 h 20 min,15 h 40 min,16 h ,16 h 20 min,16 h 40 min,17 h ,17 h 20 min,17 h 40 min,18 h ,18 h 20 min,18 h 40 min,19 h ,19 h 20 min,19 h 40 min,20 h ,20 h 20 min,20 h 40 min,21 h ,21 h 20 min,21 h 40 min,22 h ,22 h 20 min,22 h 40 min,23 h ,23 h 20 min,23 h 40 min
A18,0,0,e11x32STPhoRadA,-78.96738,-45.8304,-57.59525,-15.06912,-29.3607,-25.517580000000002,-36.2544,-54.26144999999999,-70.50281,-28.48326,-43.71081,-50.37120000000001,-75.16554000000001,-80.58232,-57.20488,-27.55778,-6.9959999999999996,38.89495,20.67986,-20.293499999999998,1.3797,38.61176,40.39524999999999,-6.46926,9.335429999999999,89.64949999999999,-120.03368,-14.346480000000001,-21.74627,-92.93223,-140.4704,-67.6172,-25.358100000000004,27.99208,-3.02294,17.29614,-9.10336,66.73912,91.6448,158.00297999999998,160.77823999999998,104.22892,159.22760000000002,166.33952,77.21688999999999,27.4344,146.30496,226.40592,279.43904999999995,184.59252999999998,309.49875,251.71968,199.9127,240.9961,193.20344999999998,270.99285999999995,291.85263000000003,137.19,332.87329,429.1448,316.84284,298.32178,298.4337,281.35152,385.00014,319.50476,397.3053,403.21112,306.32411999999994,335.51838000000004,282.26748,397.84992000000005
A18,0,1,e11x32STPhoRadA,-44.63248,-52.88498,-2.47584,-19.83721,-11.659620000000002,-4.93284,-19.04805,-16.18513,-53.3103,-38.47529,-46.03711,-0.48213,-4.499199999999999,-37.68864,-20.582240000000002,72.35130000000001,130.97747999999999,173.35979999999998,181.82072,227.21196,249.705,263.51652,302.2824,261.8037,297.01602,311.04687,290.82942,278.53696,309.85045999999994,191.91567999999998,281.65124999999995,260.92248,310.83156,247.56654,239.47504,251.62778999999995,303.21594,331.70136999999994,257.04378,379.55674999999997,395.68418999999994,320.57988,380.20752,397.56811,336.20468,313.29385,407.20419999999996,396.31329,554.7618,428.47708,558.3816599999999,470.21106,460.04952,516.7207500000001,489.25359,451.39059000000003,510.36008999999996,449.33968,534.5961599999999,552.6381,483.61039999999997,509.24095000000005,453.68892,589.88052,595.8383,479.39453999999995,515.04689,617.47644,584.2435200000001,469.85328000000004,556.01821,580.2564
A18,0,2,e11x32STPhoRadA,-37.24756,-17.707520000000002,-15.20883,-21.437739999999998,-20.21095,9.91232,-9.62712,-19.999460000000003,-40.792500000000004,-42.45948,-24.99512,4.36932,42.589760000000005,-3.9936000000000003,6.048900000000001,49.73996,112.512,140.20031999999998,226.40855,230.46501,212.77912,274.77797000000004,258.84612,278.19190000000003,303.76008,302.72074,304.14685,347.07483,286.4809,254.74175999999997,306.58907999999997,304.9594,378.23976,271.22888,290.05244999999996,287.34406,307.34235,318.20192000000003,321.51712000000003,457.8814,396.31845,363.00683999999995,427.94879999999995,405.54096,367.1121,331.03069999999997,418.4968,392.97915,483.83971,382.91113,515.7763600000001,476.11068,419.92753999999996,449.79843999999997,423.09962,453.40752,481.51466,422.0179,570.1926,558.9176,494.67215999999996,493.46045999999996,434.79504,635.2528000000001,561.17867,475.06176,540.29282,549.04794,547.8698,432.4495,529.2034000000001,473.0253
A29,0,0,e15x32NpuSspS2,4.996969999999999,-20.5128,-14.608800000000002,-2.4294700000000002,-10.72852,-23.210639999999998,-11.2908,-5.628,-35.66365999999999,-24.4053,-9.19656,1.7102799999999998,61.13718,65.85208,88.89948000000001,110.28773999999999,93.4592,121.584,130.73084,129.55367999999999,147.56356000000002,202.23578,142.15848,153.6927,186.58512,240.1113,209.91434999999998,179.69013,186.76379999999997,119.6345,207.29543999999999,163.70274999999998,218.00394,239.18619999999999,162.61202,190.67732999999998,205.22862,258.57217999999995,220.71869999999998,299.71630999999996,273.07008,261.48348000000004,321.59952,322.5516,232.11124999999996,235.94435,264.22268,283.05781999999994,344.28114,315.136,371.69748000000004,318.5439,324.76757,365.4005,303.02635999999995,345.24548,410.33448,294.0297,450.096,480.0918,351.3825,356.28672,338.47956,475.00551,433.53332,356.83655999999996,413.04560000000004,393.02495999999996,403.06487000000004,366.98731,399.90242,402.16661999999997
A29,0,1,e15x32NpuSspS2,-16.212600000000002,-2.38896,-19.475710000000003,-12.5496,-17.91006,-15.106170000000002,-45.358019999999996,-26.42,-39.62762000000001,-24.271160000000002,-1.08824,16.621000000000002,44.92817,40.8086,61.0888,97.60215000000001,89.00143999999999,133.13044,140.18807999999999,160.19289,164.9308,199.25748000000002,217.95696000000004,212.95414,238.42607999999998,241.15947999999997,249.42735999999996,234.23738,229.0473,205.58383999999998,293.09742,279.28992,296.1022,267.3417,218.892,243.51222,290.83486999999997,288.85982,246.88144,331.91563,364.43169,273.46544,364.89727999999997,366.89057999999994,286.64484999999996,283.92972,359.0208,341.75652,373.54752,317.60567999999995,475.32755999999995,361.60965,347.20938,375.22944,400.95429,-75.93983999999999,453.35914,354.56095,525.84762,501.07805999999994,448.53978,398.93535,409.88206,546.9298,469.05828,436.49825,496.72735,517.3684499999999,479.0151,373.92348000000004,476.6608,470.00575999999995
A29,0,2,e15x32NpuSspS2,-9.73656,-5.03955,-1.34064,10.7889,-24.83334,-4.756500000000001,-36.42114,-31.491800000000005,-19.03896,-24.81864,17.64216,65.73655000000001,47.25019999999999,22.021739999999998,48.91263,104.26350000000001,104.20828,130.4856,123.264,134.79606,173.08375,205.22403000000003,215.77188,175.40694000000002,217.8555,274.97310000000004,238.40926,221.65908,239.71972,217.1712,225.321,274.85084,296.24892,266.92150000000004,223.21112,289.75842,270.7695,240.27469,219.50012,311.48655,304.1598,245.6178,304.94888,325.64446,272.19116,278.17668,264.95811,356.91048,392.90207,329.68865,419.4792,342.00565,295.76595,327.88275,334.30502999999993,372.75055,399.44335,326.19168,428.77458,470.34000000000003,347.97461999999996,416.7059,315.0239,507.20196000000004,437.83999000000006,370.95748,447.12379000000004,434.06774,457.12480000000005,336.92245,417.63944000000004,400.33320000000003
A76,0,0,e16x33NrdA2,28.36448,20.32069,5.62528,-36.389,14.55284,15.238340000000003,11.599,6.882750000000001,1.0972,10.826339999999998,3.4300800000000002,30.341220000000003,13.594560000000001,22.8411,57.33018,144.69257000000002,190.39674,180.4641,208.34688,233.48149,242.08443999999997,271.18728000000004,293.74614,258.04548,248.1729,268.03959,291.24323999999996,275.75825,216.73175999999998,265.70692,328.80285,326.51088,383.94958,341.11656,333.36478999999997,329.35677999999996,379.17010999999997,310.09626999999995,337.83,389.487,424.31592,319.9944,321.26859999999994,375.30636999999996,370.1872399999999,354.27537,337.81827,366.64675,419.36352000000005,447.6,462.57152,478.19780000000003,403.68219,394.88575,460.1526,504.9799,446.62552,411.56196,476.54594999999995,578.97191,410.82846,500.04726,481.87348,525.9664799999999,511.06068999999997,494.17099999999994,467.93136,473.71723999999995,449.97876,454.82148,427.26383000000004,534.29202
A76,0,1,e16x33NrdA2,52.38376,7.4769499999999995,-9.91746,12.04992,1.18368,-16.38277,-12.479560000000001,-17.767599999999998,-15.93342,-20.58498,-6.2688999999999995,13.64136,23.88636,35.38669,43.695,90.24078,141.4254,152.61246,165.29285,234.15394,215.34695000000002,254.15078000000003,274.28544000000005,232.33633999999998,236.63729999999998,275.22382,271.74224,309.54305,259.7201,247.14276,306.17519999999996,272.51993999999996,344.04345,342.84624,346.20534,328.69115999999997,364.74214,300.86368000000004,316.12725,406.76559999999995,421.04147,335.60927,420.93050999999997,369.16815,364.13964,335.4638,342.65349000000003,434.3619,397.45288,459.08086,483.91,450.48684,391.95744,331.25092,440.83596,494.74303,451.30435,388.90465,445.5179,576.6618,460.06991999999997,469.37295,470.45910000000003,546.1028,-648.388,402.68334,495.33756000000005,476.19990000000007,462.32511000000005,461.23676000000006,461.87960000000004,518.6901200000001
A76,0,2,e16x33NrdA2,1.62767,-7.7532000000000005,-22.16112,-27.33192,-14.49244,-14.646749999999999,-35.96,-30.673100000000005,-39.802879999999995,-32.67215,-19.79148,16.463499999999996,18.801639999999995,-12.469920000000002,12.135760000000001,61.78559,75.17948,157.24231999999998,138.417,197.28119999999998,163.55173000000002,219.77988,234.42804,211.34750000000003,171.80772,258.03483,249.3505,245.29944,194.00969999999998,214.04989999999998,283.3571,267.61769999999996,303.36152,281.5844,237.32352,255.84011999999998,265.53612000000004,267.07616,303.31329,194.91456000000002,367.06356,322.87606,322.455,358.74296,341.95545999999996,349.28403,295.70464,376.53504,328.7105,426.258,421.81080000000003,396.95691,351.83214,305.36735999999996,315.0069,387.04157999999995,322.88776,315.32189999999997,407.18892,483.27512999999993,344.31618,409.2963,391.53995000000003,398.68202,376.6298,367.01249,334.65726,371.517,359.06892,342.6776,347.61069000000003,399.32905999999997
A109,0,0,e20x32gp411,-25.95615,-38.09666,-61.281,-0.22847,-18.88898,-23.29128,-35.233200000000004,-31.8155,-59.07744000000001,-14.3978,10.478800000000001,128.75216,268.78411,336.77844,428.35800000000006,508.3850800000001,530.4460799999999,572.3915400000001,591.0359000000001,629.92428,644.5923,669.4281599999999,670.0661799999999,653.49504,660.9502899999999,645.3094699999999,709.43937,702.86526,624.4749,647.59695,717.14433,697.38555,724.5583799999999,716.95808,736.92234,732.9954799999999,710.3600399999999,734.3322,727.2654699999999,826.97604,801.9271100000001,679.2192,763.6659999999999,741.24954,787.57743,777.7176000000001,710.43981,777.35254,751.2938,801.7113,859.0133999999999,855.03722,751.35789,703.24225,776.9832,833.9588,812.3265,785.6924399999999,804.03048,957.2066699999999,776.5161999999999,782.1405,797.3087999999999,813.9193399999999,814.0347800000001,777.8592,766.0811600000001,797.59419,783.6496000000001,749.7890400000001,720.7356,788.0051
