group,1,2,3,4,5,6,7,8,9,10,11,12
A,A323,A323,A323,A323,A323,A323,,,,,,
B,A323,A323,A323,A323,A323,A323,,,,,,
C,A323,A323,A323,A323,A323,A323,,,,,,
D,A323,A323,A323,A323,A323,A323,,,,,,
E,A323,A323,A323,A323,A323,A323,,,,,,
F,A323,A323,A323,A323,A323,A323,,,,,,
G,3K3-N,3K3-N,3K3-N,,,,4A3-N,4A3-N,4A3-N,4A3-P,4A3-P,4A3-P
H,BK,BK,BK,,,,BA,BA,BA,,,
