Group,Cell-line,Induction,1,2,3,4,5,6,7,8,9,10,11,12
A,ECF20/33,-/-,ECF20/33--,ECF20/33--,ECF20/33--,ECF20/33--,ECF20/33,ECF20/33,ECF20/33,ECF20/33,C-,C+,B,B
B,ECF20/33,+/-,ECF20/33--,ECF20/33--,ECF20/33--,ECF20/33--,ECF20/33,ECF20/33,ECF20/33,ECF20/33,C-,C+,B,B
C,ECF20/33,-/+,ECF20/33--,ECF20/33--,ECF20/33--,ECF20/33--,ECF20/33,ECF20/33,ECF20/33,ECF20/33,C-,C+,B,B
D,ECF20/33,+/+,ECF20/33--,ECF20/33--,ECF20/33--,ECF20/33--,ECF20/33,ECF20/33,ECF20/33,ECF20/33,C-,C+,B,B
E,ECF11/15,-/-,ECF11/15--,ECF11/15--,ECF11/15--,ECF11/15--,ECF11/15,ECF11/15,ECF11/15,ECF11/15,C-,C+,B,B
F,ECF11/15,+/-,ECF11/15--,ECF11/15--,ECF11/15--,ECF11/15--,ECF11/15,ECF11/15,ECF11/15,ECF11/15,C-,C+,B,B
G,ECF11/15,-/+,ECF11/15--,ECF11/15--,ECF11/15--,ECF11/15--,ECF11/15,ECF11/15,ECF11/15,ECF11/15,C-,C+,B,B
H,ECF11/15,+/+,ECF11/15--,ECF11/15--,ECF11/15--,ECF11/15--,ECF11/15,ECF11/15,ECF11/15,ECF11/15,C-,C+,B,B
