time,pBAD/Ara_12,pBAD/Ara_13,pBAD/Ara_14,pBAD/Ara_15,pBAD/Ara_16,pBAD/Ara_17,pBAD/Ara_18,pBAD/Ara_19,pBAD/Ara_20,pBAD/Ara_21,pBAD/Ara_22,pBAD/Ara_23,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,pBAD/Ara_6,pBAD/Ara_7,pBAD/Ara_8,pBAD/Ara_9,pBAD/Ara_10,pBAD/Ara_11,pCymRC/Cuma_12,pCymRC/Cuma_13,pCymRC/Cuma_14,pCymRC/Cuma_15,pCymRC/Cuma_16,pCymRC/Cuma_17,pCymRC/Cuma_18,pCymRC/Cuma_19,pCymRC/Cuma_20,pCymRC/Cuma_21,pCymRC/Cuma_22,pCymRC/Cuma_23,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,pCymRC/Cuma_6,pCymRC/Cuma_7,pCymRC/Cuma_8,pCymRC/Cuma_9,pCymRC/Cuma_10,pCymRC/Cuma_11,pRhaB/Rha_12,pRhaB/Rha_13,pRhaB/Rha_14,pRhaB/Rha_15,pRhaB/Rha_16,pRhaB/Rha_17,pRhaB/Rha_18,pRhaB/Rha_19,pRhaB/Rha_20,pRhaB/Rha_21,pRhaB/Rha_22,pRhaB/Rha_23,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,pRhaB/Rha_6,pRhaB/Rha_7,pRhaB/Rha_8,pRhaB/Rha_9,pRhaB/Rha_10,pRhaB/Rha_11,Blank_Kan_0,Blank_Kan_0,negative-control-kan_0,negative-control-kan_0,Blank_Amp_0,Blank_Amp_0,negative-control-amp_0,negative-control-amp_0,positive-control-amp_0,positive-control-amp_0
0,57.5,87.5,68.5,80.5,71.5,85.5,72.5,51.5,51.5,35.5,39.5,44.5,51.5,33.5,39.5,49.5,19.5,53.5,44.5,50.5,28.5,27.5,35.5,34.5,34.5,32.5,17.5,21.5,10.5,11.5,2.5,-0.5,17.5,-5.5,20.5,17.5,26.5,23.5,20.5,23.5,9.5,15.5,10.5,0.5,3.5,1.5,4.5,12.5,44.5,43.5,33.5,22.5,18.5,23.5,17.5,17.5,21.5,20.5,24.5,31.5,22.5,33.5,30.5,39.5,14.5,30.5,8.5,12.5,24.5,23.5,13.5,24.5,,,11.5,13.5,,,45.0,55.0,733.0,854.0
20,63.0,78.0,77.0,80.0,75.0,81.0,83.0,56.0,52.0,39.0,44.0,39.0,51.0,49.0,46.0,52.0,43.0,53.0,35.0,49.0,41.0,35.0,44.0,29.0,33.0,31.0,24.0,23.0,14.0,20.0,2.0,-6.0,5.0,13.0,12.0,22.0,36.0,32.0,19.0,32.0,25.0,22.0,16.0,7.0,10.0,10.0,15.0,5.0,41.0,44.0,38.0,34.0,29.0,24.0,22.0,16.0,11.0,18.0,23.0,23.0,34.0,25.0,37.0,38.0,37.0,30.0,16.0,21.0,14.0,13.0,16.0,16.0,,,39.0,33.0,,,50.5,52.5,710.5,794.5
40,66.0,78.0,80.0,80.0,69.0,80.0,66.0,40.0,48.0,43.0,44.0,43.0,42.0,41.0,42.0,35.0,26.0,34.0,36.0,38.0,38.0,32.0,35.0,19.0,34.0,20.0,31.0,48.0,31.0,50.0,39.0,30.0,36.0,22.0,34.0,4.0,28.0,14.0,13.0,22.0,11.0,21.0,20.0,5.0,12.0,1.0,5.0,8.0,39.0,62.0,51.0,68.0,55.0,54.0,58.0,55.0,53.0,67.0,72.0,17.0,27.0,24.0,30.0,29.0,27.0,21.0,11.0,2.0,27.0,31.0,37.0,16.0,,,31.0,40.0,,,44.0,59.0,924.0,1012.0
60,60.0,83.0,78.0,76.0,70.0,85.0,79.0,51.0,34.0,48.0,54.0,42.0,56.0,42.0,48.0,39.0,34.0,41.0,36.0,42.0,41.0,46.0,43.0,33.0,27.0,30.0,65.0,88.0,104.0,123.0,114.0,97.0,109.0,103.0,103.0,9.0,27.0,20.0,16.0,30.0,12.0,12.0,-1.0,1.0,0.0,4.0,-4.0,9.0,42.0,144.0,173.0,185.0,179.0,183.0,183.0,182.0,188.0,206.0,207.0,14.0,36.0,36.0,35.0,34.0,30.0,19.0,21.0,12.0,33.0,63.0,97.0,15.0,,,26.0,32.0,,,59.5,49.5,1234.5,1382.5
80,69.0,79.0,69.0,73.0,71.0,78.0,72.0,35.0,35.0,39.0,44.0,53.0,57.0,49.0,36.0,26.0,20.0,47.0,36.0,33.0,33.0,33.0,26.0,35.0,38.0,29.0,82.0,153.0,179.0,228.0,217.0,215.0,218.0,225.0,239.0,3.0,25.0,17.0,20.0,16.0,6.0,7.0,-6.0,-1.0,-3.0,-2.0,-2.0,0.0,56.0,317.0,368.0,402.0,400.0,425.0,416.0,425.0,429.0,470.0,478.0,12.0,33.0,24.0,25.0,30.0,23.0,16.0,11.0,14.0,42.0,92.0,189.0,29.0,,,31.0,33.0,,,56.0,68.0,1562.0,1710.0
100,80.5,78.5,81.5,85.5,87.5,82.5,70.5,50.5,40.5,55.5,102.5,57.5,58.5,48.5,42.5,50.5,18.5,33.5,44.5,29.5,31.5,30.5,36.5,28.5,39.5,28.5,103.5,195.5,269.5,346.5,351.5,333.5,366.5,383.5,454.5,8.5,14.5,16.5,14.5,10.5,4.5,16.5,0.5,-3.5,-3.5,-4.5,-3.5,6.5,38.5,692.5,824.5,917.5,900.5,954.5,939.5,968.5,958.5,1013.5,1046.5,16.5,42.5,41.5,24.5,33.5,28.5,17.5,8.5,14.5,61.5,160.5,355.5,22.5,,,39.5,30.5,,,65.5,72.5,1869.5,2011.5
120,78.5,84.5,90.5,93.5,84.5,89.5,90.5,68.5,77.5,114.5,404.5,137.5,60.5,49.5,50.5,45.5,39.5,41.5,45.5,37.5,47.5,41.5,36.5,45.5,44.5,38.5,121.5,261.5,392.5,544.5,564.5,532.5,604.5,608.5,764.5,8.5,36.5,35.5,29.5,25.5,11.5,27.5,11.5,9.5,9.5,11.5,13.5,16.5,52.5,1286.5,1600.5,1876.5,1849.5,1937.5,1941.5,1968.5,1982.5,2060.5,2125.5,32.5,57.5,41.5,42.5,55.5,37.5,33.5,24.5,26.5,91.5,231.5,582.5,31.5,,,49.5,53.5,,,99.5,88.5,2238.5,2436.5
140,99.0,104.0,94.0,101.0,96.0,106.0,109.0,96.0,167.0,316.0,1268.0,372.0,76.0,68.0,70.0,58.0,37.0,52.0,66.0,57.0,40.0,49.0,54.0,41.0,53.0,51.0,141.0,354.0,616.0,896.0,955.0,897.0,1018.0,1026.0,1221.0,17.0,60.0,41.0,26.0,41.0,22.0,26.0,27.0,23.0,18.0,18.0,21.0,20.0,77.0,1980.0,2651.0,3176.0,3202.0,3432.0,3430.0,3514.0,3491.0,3643.0,3753.0,31.0,73.0,63.0,49.0,56.0,62.0,41.0,29.0,50.0,111.0,300.0,774.0,58.0,,,68.0,64.0,,,110.0,106.0,2770.0,3027.0
160,124.5,126.5,131.5,130.5,124.5,146.5,213.5,502.5,890.5,1361.5,3766.5,1101.5,95.5,75.5,85.5,73.5,73.5,75.5,76.5,74.5,62.5,75.5,68.5,66.5,75.5,74.5,194.5,539.5,1054.5,1606.5,1700.5,1591.5,1796.5,1805.5,1989.5,31.5,70.5,61.5,59.5,57.5,52.5,49.5,47.5,36.5,34.5,43.5,34.5,34.5,88.5,2899.5,4024.5,5047.5,5142.5,5518.5,5506.5,5654.5,5596.5,5843.5,6020.5,51.5,93.5,73.5,86.5,77.5,77.5,78.5,54.5,68.5,158.5,408.5,1084.5,72.5,,,92.5,95.5,,,134.0,132.0,3485.0,3802.0
180,179.0,199.0,220.0,240.0,360.0,1768.0,3654.0,5733.0,6218.0,6615.0,10474.0,3465.0,132.0,116.0,122.0,114.0,105.0,110.0,108.0,104.0,103.0,99.0,106.0,98.0,103.0,90.0,321.0,1013.0,1982.0,2926.0,3093.0,2883.0,3190.0,3157.0,3267.0,46.0,99.0,90.0,83.0,80.0,74.0,79.0,71.0,57.0,55.0,57.0,54.0,60.0,112.0,4563.0,6301.0,8020.0,8217.0,8783.0,8768.0,9000.0,8858.0,9243.0,9470.0,82.0,135.0,105.0,111.0,113.0,102.0,101.0,85.0,106.0,231.0,685.0,1830.0,94.0,,,122.0,129.0,,,192.5,185.5,4742.5,5172.5
