group,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,PBAD-mC,PBAD-mC,PBAD-mC,PBAD-mC,PBAD-mC,PBAD-mC,PBAD-mC,PBAD-mC,PBAD-mC,PBAD-mC,PBAD-mC,PBAD-mC
E,PCin-mC,PCin-mC,PCin-mC,PCin-mC,PCin-mC,PCin-mC,PCin-mC,PCin-mC,PCin-mC,PCin-mC,PCin-mC,PCin-mC
F,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC,PSalTTC-mC
G,,,,,,,,,,,,
H,BK,BK,BK,NK,NK,NK,,,,mC,mC,mC
