group,1,2,3,4,5,6,7,8,9,10,11,12
A,P62,P62,P62,P62,P62,P62,P62,P62,P62,P62,P62,P62
B,P63,P63,P63,P63,P63,P63,P63,P63,P63,P63,P63,P63
C,P73,P73,P73,P73,P73,P73,P73,P73,P73,P73,P73,P73
D,P65,P65,P65,P65,P65,P65,P65,P65,P65,P65,P65,P65
E,P66,P66,P66,P66,P66,P66,P66,P66,P66,P66,P66,P66
F,P72,P72,P72,P72,P72,P72,P72,P72,P72,P72,P72,P72
G,BK,BK,BK,3K3-N,3K3-N,3K3-N,BA,BA,4A3-N,4A3-N,4A3-P,4A3-P
H,BK,BK,BK,3K3-N,3K3-N,3K3-N,BA,BA,4A3-N,4A3-N,4A3-P,4A3-P
