user_id,transactions
16921,1
20772,1
20833,1
20906,1
21164,1
20430,1
19437,1
3774,1
3175,1
33025,1
32611,1
33151,1
28630,1
35685,1
35266,1
18348,1
19926,1
7046,1
18463,1
14407,1
15243,1
15294,1
13059,1
13060,1
13063,1
13064,1
13066,1
13067,1
13069,1
13086,1
13087,1
13089,1
13091,1
13103,1
13104,1
13105,1
13107,1
13115,1
13143,1
13147,1
13153,1
13175,1
13198,1
13202,1
13204,1
13212,1
13231,1
13232,1
12987,1
12988,1
13245,1
13248,1
13250,1
13251,1
12996,1
12998,1
12999,1
13262,1
13264,1
13265,1
13267,1
13268,1
13269,1
13046,1
13047,1
13048,1
11704,1
11986,1
19023,1
30600,1
19348,1
20680,1
19946,1
37634,1
23310,1
37393,1
37416,1
29741,1
21550,1
21298,1
28988,1
21565,1
35905,1
37198,1
29007,1
29008,1
43098,1
26994,1
22132,1
30581,1
18060,1
31633,1
33944,1
30899,1
21431,1
19398,1
28870,1
35021,1
19154,1
17641,1
37362,1
20735,1
37124,1
41997,1
20752,1
27929,1
37150,1
19505,1
21557,1
20790,1
20280,1
36408,1
20559,1
22115,1
28017,1
22145,1
18083,1
36262,1
18371,1
35294,1
20711,1
21238,1
21498,1
20733,1
11578,1
12920,1
12154,1
12956,1
12959,1
12972,1
11493,1
22278,1
12809,1
37397,1
28698,1
13085,1
15392,1
18976,1
17448,1
11564,1
28205,1
14894,1
14640,1
14641,1
14899,1
14644,1
14646,1
17467,1
13123,1
13124,1
17223,1
11850,1
17486,1
17742,1
16730,1
1884,1
34170,1
12935,1
16008,1
12681,1
17039,1
11178,1
10924,1
14770,1
20915,1
17601,1
14537,1
30424,1
14810,1
13276,1
15069,1
18653,1
15586,1
11510,1
17400,1
14842,1
13051,1
18685,1
30207,1
16171,1
17276,1
17031,1
17034,1
17042,1
17082,1
16611,1
17390,1
10788,1
17674,1
17168,1
15675,1
18166,1
14114,1
13824,1
16919,1
16880,1
13074,1
13078,1
13079,1
10575,1
13138,1
12945,1
13219,1
13220,1
13223,1
13224,1
6578,1
4294,1
16421,1
16678,1
16447,1
16485,1
19051,1
16238,1
16512,1
16538,1
16547,1
16559,1
16863,1
16867,1
16915,1
16925,1
16936,1
16685,1
16943,1
16946,1
16949,1
16953,1
16954,1
16957,1
16712,1
13387,1
16971,1
16716,1
16718,1
16719,1
16721,1
16977,1
16732,1
16994,1
17524,1
17526,1
17528,1
17529,1
16762,1
17530,1
16763,1
17533,1
16766,1
17534,1
16768,1
17284,1
17287,1
16777,1
17289,1
16779,1
17041,1
17297,1
17553,1
19351,1
17564,1
17567,1
17568,1
17059,1
17102,1
16851,1
16890,1
4668,1
12291,1
12292,1
12293,1
12294,1
12295,1
12296,1
12297,1
12307,1
12310,1
12338,1
12340,1
13108,1
14136,1
14140,1
14141,1
11839,1
13121,1
13122,1
12869,1
13125,1
11847,1
13651,1
13652,1
13653,1
13654,1
13655,1
12889,1
12636,1
13922,1
13925,1
12392,1
12652,1
13933,1
12437,1
13720,1
13721,1
13722,1
13985,1
12450,1
13986,1
13987,1
12452,1
13988,1
12453,1
12454,1
12710,1
12455,1
13735,1
13736,1
12713,1
13738,1
13739,1
15285,1
12984,1
14010,1
12230,1
12492,1
13006,1
12495,1
13007,1
13009,1
14033,1
11731,1
13011,1
14038,1
14043,1
12786,1
12790,1
3570,1
14848,1
14849,1
15440,1
14680,1
15996,1
15790,1
14846,1
21826,1
38478,1
31881,1
37534,1
33706,1
29635,1
32218,1
22239,1
21483,1
10389,1
10400,1
10429,1
19149,1
16129,1
16132,1
20268,1
16446,1
18508,1
19358,1
18598,1
19371,1
16117,1
17125,1
18996,1
17722,1
18765,1
17243,1
15737,1
17078,1
14356,1
18374,1
11798,1
14871,1
11065,1
11348,1
12631,1
22385,1
14454,1
12168,1
19101,1
19357,1
11189,1
19381,1
12135,1
15365,1
15110,1
15489,1
15030,1
17699,1
16950,1
16951,1
16754,1
19124,1
11780,1
13581,1
13070,1
11793,1
13587,1
560,1
11826,1
11078,1
12616,1
15689,1
11851,1
11874,1
12131,1
11876,1
11879,1
10618,1
12417,1
10627,1
12444,1
12445,1
11942,1
11970,1
11977,1
11734,1
11995,1
11996,1
10722,1
12267,1
12268,1
22318,1
13630,1
13632,1
13529,1
30480,1
32277,1
26930,1
20549,1
24389,1
22105,1
33173,1
31428,1
37849,1
32250,1
14337,1
14338,1
14340,1
14346,1
14348,1
12301,1
11022,1
14350,1
11024,1
12365,1
12366,1
12368,1
12369,1
12373,1
10857,1
10861,1
14452,1
12408,1
14462,1
11933,1
11935,1
11939,1
11940,1
11944,1
11946,1
11948,1
11950,1
12468,1
12739,1
12740,1
12485,1
12741,1
12742,1
12487,1
12743,1
12488,1
12744,1
14538,1
11237,1
14571,1
12524,1
14572,1
12526,1
12527,1
12528,1
14576,1
12529,1
12531,1
12532,1
11768,1
12537,1
11770,1
14589,1
16404,1
13849,1
13861,1
13862,1
13905,1
13907,1
14426,1
13945,1
17794,1
17795,1
13959,1
13963,1
14057,1
21248,1
13573,1
11032,1
13853,1
21277,1
14367,1
18739,1
33594,1
14658,1
16706,1
17989,1
19525,1
19539,1
11354,1
19547,1
14190,1
18806,1
19594,1
14223,1
19608,1
20927,1
20928,1
21440,1
18123,1
19662,1
37332,1
29910,1
20962,1
34047,1
16405,1
17666,1
21001,1
20749,1
16403,1
18213,1
16448,1
14671,1
16474,1
16234,1
12139,1
17806,1
15763,1
16310,1
12772,1
16359,1
16360,1
12009,1
13045,1
14582,1
13049,1
17959,1
18155,1
10605,1
10606,1
10607,1
10369,1
10456,1
12810,1
12814,1
12827,1
12829,1
12830,1
12831,1
12832,1
12076,1
13455,1
14548,1
14836,1
15463,1
13688,1
15143,1
4649,1
14131,1
30272,1
17733,1
17734,1
43079,1
15694,1
22360,1
37980,1
21353,1
16496,1
21109,1
33398,1
30587,1
15748,1
33210,1
33216,1
30148,1
21958,1
15313,1
15355,1
13052,1
13580,1
3375,1
13416,1
13533,1
19478,1
17444,1
15815,1
11559,1
11430,1
10418,1
13119,1
13161,1
13172,1
13186,1
13187,1
13194,1
13196,1
13205,1
13210,1
13228,1
13039,1
13042,1
4262,1
18434,1
18180,1
16389,1
16391,1
18183,1
16393,1
18185,1
18186,1
18192,1
16401,1
17427,1
17430,1
17431,1
17436,1
18214,1
18216,1
18222,1
18223,1
17201,1
17202,1
17204,1
16442,1
17213,1
17218,1
17474,1
17219,1
18504,1
16972,1
18519,1
16472,1
17496,1
18521,1
16477,1
17501,1
18529,1
18530,1
17508,1
16486,1
17513,1
16490,1
16492,1
16493,1
17007,1
18295,1
17786,1
18306,1
18576,1
18578,1
17558,1
18331,1
18332,1
17310,1
18335,1
18336,1
17063,1
16810,1
16811,1
17077,1
17079,1
17080,1
16328,1
18128,1
18907,1
18398,1
18401,1
18408,1
18409,1
14930,1
14429,1
14455,1
14742,1
14234,1
14235,1
14756,1
3303,1
17676,1
14665,1
15192,1
14438,1
14440,1
14447,1
14448,1
14748,1
14754,1
14755,1
17648,1
4661,1
15740,1
15063,1
15949,1
14432,1
14948,1
11370,1
6145,1
13583,1
12309,1
12319,1
11808,1
11812,1
12074,1
12846,1
11326,1
14144,1
12876,1
6479,1
11602,1
14172,1
11870,1
12638,1
11366,1
13422,1
10870,1
11894,1
11898,1
12671,1
12933,1
12422,1
12934,1
19346,1
11938,1
13743,1
13744,1
13746,1
12724,1
15798,1
12471,1
12990,1
12992,1
17602,1
12232,1
4049,1
12242,1
14045,1
12510,1
12002,1
12258,1
4076,1
13815,1
12540,1
5886,1
18599,1
19126,1
19127,1
19129,1
15588,1
14355,1
16735,1
10915,1
15806,1
17933,1
18190,1
29456,1
14870,1
13591,1
13081,1
14617,1
