time,pBAD/Ara_0,pBAD/Ara_1,pBAD/Ara_2,pBAD/Ara_3,pBAD/Ara_4,pBAD/Ara_5,e11x33_0,e11x33_1,e11x33_2,e11x33_3,e11x33_4,e11x33_5,pCin/OHC14_0,pCin/OHC14_1,pCin/OHC14_2,pCin/OHC14_3,pCin/OHC14_4,pCin/OHC14_5,e15x33_0,e15x33_1,e15x33_2,e15x33_3,e15x33_4,e15x33_5,pCymRC/Cuma_0,pCymRC/Cuma_1,pCymRC/Cuma_2,pCymRC/Cuma_3,pCymRC/Cuma_4,pCymRC/Cuma_5,e16x33_0,e16x33_1,e16x33_2,e16x33_3,e16x33_4,e16x33_5,pLuxB/AHL_0,pLuxB/AHL_1,pLuxB/AHL_2,pLuxB/AHL_3,pLuxB/AHL_4,pLuxB/AHL_5,e11x32STPhoRadA_0,e11x32STPhoRadA_1,e11x32STPhoRadA_2,e11x32STPhoRadA_3,e11x32STPhoRadA_4,e11x32STPhoRadA_5,pPhlF/DAPG_0,pPhlF/DAPG_1,pPhlF/DAPG_2,pPhlF/DAPG_3,pPhlF/DAPG_4,pPhlF/DAPG_5,e15x32NpuSspS2_0,e15x32NpuSspS2_1,e15x32NpuSspS2_2,e15x32NpuSspS2_3,e15x32NpuSspS2_4,e15x32NpuSspS2_5,pSalTTC/Sal_0,pSalTTC/Sal_1,pSalTTC/Sal_2,pSalTTC/Sal_3,pSalTTC/Sal_4,pSalTTC/Sal_5,e16x33NrdA2_0,e16x33NrdA2_1,e16x33NrdA2_2,e16x33NrdA2_3,e16x33NrdA2_4,e16x33NrdA2_5,pRhaB/Rha_0,pRhaB/Rha_1,pRhaB/Rha_2,pRhaB/Rha_3,pRhaB/Rha_4,pRhaB/Rha_5,Blank_Kan_1,Blank_Kan_1,negative-control-kan_1,negative-control-kan_1,Blank_Amp_1,Blank_Amp_1,negative-control-amp_1,negative-control-amp_1,positive-control-amp_1,positive-control-amp_1
0,2.5,5.5,26.5,22.5,27.5,15.5,5.5,19.5,15.5,16.5,14.5,11.5,19.5,19.5,22.5,14.5,13.5,11.5,5.5,12.5,14.5,16.5,13.5,2.5,24.5,27.5,25.5,23.5,28.5,18.5,23.5,27.5,25.5,21.5,27.5,15.5,22.5,28.5,25.5,32.5,31.5,19.5,-4.5,8.5,9.5,7.5,11.5,10.5,376.5,420.5,300.5,418.5,417.5,426.5,17.5,22.5,15.5,18.5,23.5,18.5,16.5,17.5,27.5,24.5,35.5,16.5,0.5,15.5,15.5,17.5,17.5,12.5,-63.5,31.5,30.5,36.5,30.5,23.5,,,12.5,-1.5,,,37.0,25.0,294.0,230.0
20,-10.5,-0.5,10.5,11.5,9.5,11.5,-3.5,6.5,3.5,5.5,1.5,6.5,-6.5,-0.5,3.5,5.5,-1.5,-4.5,-9.5,-3.5,-4.5,-6.5,-3.5,-3.5,0.5,7.5,11.5,10.5,6.5,8.5,8.5,16.5,8.5,12.5,6.5,2.5,19.5,18.5,18.5,21.5,20.5,11.5,-16.5,-2.5,-7.5,-13.5,-7.5,-13.5,548.5,565.5,557.5,605.5,539.5,546.5,5.5,13.5,11.5,10.5,8.5,5.5,13.5,13.5,15.5,21.5,19.5,24.5,2.5,3.5,7.5,8.5,7.5,0.5,-69.5,25.5,19.5,22.5,23.5,19.5,,,6.5,4.5,,,45.0,37.0,279.0,277.0
40,-12.0,-7.0,0.0,9.0,6.0,-2.0,-11.0,2.0,1.0,-4.0,1.0,1.0,-9.0,-3.0,-8.0,-9.0,-3.0,-10.0,-18.0,-5.0,-8.0,0.0,-11.0,-15.0,-3.0,10.0,17.0,14.0,16.0,14.0,-6.0,-3.0,-1.0,4.0,4.0,0.0,8.0,44.0,60.0,74.0,72.0,71.0,-23.0,-15.0,-9.0,-17.0,-17.0,-13.0,646.0,664.0,654.0,691.0,632.0,663.0,-5.0,-1.0,3.0,6.0,5.0,5.0,6.0,2.0,5.0,10.0,7.0,53.0,-7.0,0.0,3.0,5.0,-3.0,1.0,-71.0,44.0,48.0,45.0,50.0,51.0,,,10.0,-1.0,,,36.0,39.0,380.0,384.0
60,-5.5,6.5,16.5,9.5,5.5,8.5,-0.5,4.5,2.5,10.5,3.5,7.5,-2.5,-0.5,3.5,2.5,6.5,-3.5,-18.5,3.5,-4.5,0.5,1.5,-2.5,3.5,25.5,44.5,50.5,53.5,56.5,3.5,12.5,15.5,14.5,9.5,10.5,17.5,95.5,140.5,177.5,175.5,178.5,-14.5,-7.5,-4.5,-5.5,-12.5,-10.5,769.5,790.5,762.5,804.5,743.5,773.5,-2.5,4.5,13.5,8.5,4.5,7.5,7.5,19.5,12.5,15.5,21.5,85.5,-2.5,8.5,16.5,6.5,11.5,3.5,-60.5,121.5,122.5,130.5,136.5,144.5,,,12.5,4.5,,,43.0,37.0,487.0,513.0
80,-1.5,-0.5,12.5,13.5,12.5,14.5,1.5,4.5,6.5,6.5,-0.5,9.5,-4.5,-0.5,0.5,15.5,30.5,27.5,-12.5,-4.5,1.5,-0.5,-1.5,1.5,3.5,32.5,45.5,75.5,95.5,114.5,0.5,10.5,8.5,7.5,5.5,11.5,20.5,166.5,255.5,322.5,330.5,332.5,-20.5,-11.5,-7.5,-5.5,-6.5,-11.5,959.5,963.5,917.5,960.5,873.5,907.5,-4.5,4.5,8.5,14.5,8.5,12.5,15.5,6.5,14.5,17.5,17.5,145.5,-3.5,5.5,4.5,7.5,7.5,11.5,-72.5,265.5,280.5,286.5,293.5,315.5,,,18.5,5.5,,,41.0,48.0,610.0,646.0
100,0.5,1.5,18.5,24.5,39.5,43.5,-3.5,3.5,5.5,1.5,11.5,2.5,3.5,1.5,6.5,66.5,123.5,122.5,-11.5,-0.5,-9.5,5.5,-1.5,-4.5,0.5,44.5,60.5,114.5,161.5,192.5,3.5,8.5,10.5,13.5,15.5,10.5,20.5,263.5,472.5,592.5,613.5,629.5,-22.5,-10.5,-11.5,-17.5,-2.5,-6.5,1255.5,1212.5,1155.5,1190.5,1067.5,1102.5,-7.5,8.5,6.5,11.5,10.5,9.5,13.5,15.5,9.5,19.5,20.5,249.5,-4.5,2.5,9.5,7.5,7.5,7.5,-66.5,570.5,603.5,628.5,619.5,670.5,,,11.5,6.5,,,55.5,52.5,727.5,764.5
120,8.5,15.5,41.5,100.5,158.5,191.5,6.5,15.5,13.5,15.5,34.5,47.5,14.5,12.5,9.5,159.5,273.5,262.5,-3.5,7.5,5.5,8.5,12.5,14.5,12.5,45.5,81.5,172.5,264.5,340.5,8.5,20.5,21.5,18.5,18.5,29.5,27.5,416.5,770.5,999.5,1058.5,1097.5,-13.5,3.5,-1.5,0.5,12.5,15.5,1747.5,1640.5,1525.5,1539.5,1392.5,1426.5,9.5,19.5,22.5,23.5,22.5,29.5,20.5,20.5,22.5,26.5,45.5,424.5,8.5,15.5,20.5,24.5,20.5,19.5,-57.5,1029.5,1115.5,1172.5,1184.5,1256.5,,,24.5,17.5,,,55.0,55.0,854.0,922.0
140,15.0,15.0,92.0,312.0,453.0,533.0,8.0,21.0,11.0,36.0,87.0,126.0,16.0,14.0,22.0,286.0,505.0,481.0,1.0,11.0,9.0,12.0,25.0,19.0,12.0,53.0,104.0,280.0,468.0,624.0,13.0,20.0,23.0,21.0,33.0,42.0,40.0,660.0,1225.0,1571.0,1660.0,1726.0,-11.0,1.0,-2.0,15.0,46.0,63.0,2421.0,2278.0,2076.0,2088.0,1856.0,1878.0,7.0,20.0,23.0,25.0,33.0,38.0,22.0,31.0,21.0,33.0,54.0,702.0,6.0,19.0,23.0,33.0,33.0,46.0,-50.0,1678.0,1860.0,1957.0,1976.0,2094.0,,,34.0,23.0,,,63.5,61.5,1075.5,1160.5
160,26.5,59.5,330.5,899.5,1160.5,1295.5,17.5,15.5,26.5,84.5,221.5,310.5,29.5,23.5,36.5,492.5,850.5,811.5,8.5,18.5,22.5,26.5,34.5,54.5,30.5,66.5,147.5,502.5,871.5,1164.5,23.5,38.5,29.5,44.5,62.5,80.5,57.5,1110.5,1966.5,2485.5,2596.5,2678.5,-2.5,5.5,15.5,57.5,122.5,147.5,3312.5,3118.5,2859.5,2873.5,2566.5,2568.5,15.5,27.5,35.5,42.5,66.5,79.5,35.5,38.5,32.5,49.5,79.5,1155.5,29.5,32.5,37.5,44.5,72.5,98.5,-32.5,2585.5,2937.5,3090.5,3119.5,3320.5,,,38.5,23.5,,,92.0,87.0,1377.0,1484.0
180,41.0,1136.0,1971.0,2711.0,2957.0,3128.0,26.0,50.0,131.0,379.0,621.0,752.0,42.0,43.0,74.0,1103.0,1709.0,1614.0,24.0,36.0,62.0,93.0,111.0,116.0,36.0,111.0,289.0,988.0,1576.0,2040.0,34.0,50.0,100.0,173.0,206.0,287.0,83.0,1898.0,3132.0,3850.0,3991.0,4072.0,8.0,23.0,46.0,206.0,305.0,334.0,4408.0,4182.0,3962.0,3967.0,3565.0,3522.0,34.0,43.0,55.0,106.0,166.0,195.0,59.0,55.0,55.0,65.0,151.0,2286.0,35.0,47.0,61.0,140.0,235.0,288.0,-12.0,4212.0,4753.0,4931.0,4915.0,5130.0,,,57.0,42.0,,,112.0,109.0,1815.0,1973.0
